pool_id,config,config_label,target_r,level_id,session_date,year,source,side,entry_time,exit_time,entry_price,exit_price,level,anchor,raw_stop_pts,effective_stop_pts,target_pts,pnl_pts_baseline,pnl_pts_effective,mae_pts,mfe_pts,mae_mfe_status,exit_reason,effective_exit_reason,gap_through,is_flat,rolling_pf_window_trades,rolling_pf_threshold,rolling_pf_reentry,r_multiple_baseline,r_multiple_effective
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,0_lower,2013-01-07,2013,external_2013_2015,lower,2013-01-07 09:18:00-05:00,2013-01-07 10:10:00-05:00,2705.355285880853,2712.480285880853,2705.355285880853,4.75,7.125,7.125,7.125,7.125,7.125,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,4_upper,2013-01-10,2013,external_2013_2015,upper,2013-01-10 07:57:00-05:00,2013-01-10 08:14:00-05:00,2731.8337231926243,2734.8337231926243,2731.8337231926243,2.0,3.0,3.0,3.0,-3.0,-3.0,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,2_upper,2013-01-10,2013,external_2013_2015,upper,2013-01-10 08:24:00-05:00,2013-01-10 10:30:00-05:00,2737.880347359795,2727.380347359795,2737.880347359795,7.0,10.5,10.5,10.5,10.5,10.5,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,7_upper,2013-01-14,2013,external_2013_2015,upper,2013-01-13 20:58:00-05:00,2013-01-14 01:02:00-05:00,2748.082434952682,2742.832434952682,2748.082434952682,3.5,5.25,5.25,5.25,5.25,5.25,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,7_lower,2013-01-14,2013,external_2013_2015,lower,2013-01-14 07:47:00-05:00,2013-01-14 09:02:00-05:00,2728.042565047318,2728.042565047318,2728.042565047318,5.0,7.5,7.5,7.5,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,8_lower,2013-01-15,2013,external_2013_2015,lower,2013-01-15 09:34:00-05:00,2013-01-15 09:54:00-05:00,2712.951717556987,2705.826717556987,2712.951717556987,4.75,7.125,7.125,7.125,-7.125,-7.125,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,11_lower,2013-01-18,2013,external_2013_2015,lower,2013-01-18 07:04:00-05:00,2013-01-18 09:30:00-05:00,2730.601204288801,2730.601204288801,2730.601204288801,6.0,9.0,9.0,9.0,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,20_upper,2013-02-01,2013,external_2013_2015,upper,2013-02-01 08:47:00-05:00,2013-02-01 09:49:00-05:00,2747.0896408295785,2739.5896408295785,2747.0896408295785,5.0,7.5,7.5,7.5,7.5,7.5,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,25_upper,2013-02-08,2013,external_2013_2015,upper,2013-02-08 09:30:00-05:00,2013-02-08 09:40:00-05:00,2760.150625189412,2772.150625189412,2760.150625189412,8.0,12.0,12.0,12.0,-12.0,-12.0,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,26_upper,2013-02-11,2013,external_2013_2015,upper,2013-02-11 04:50:00-05:00,2013-02-11 05:42:00-05:00,2778.535251038489,2778.535251038489,2778.535251038489,2.75,4.125,4.125,4.125,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,28_upper,2013-02-13,2013,external_2013_2015,upper,2013-02-13 09:59:00-05:00,2013-02-13 11:18:00-05:00,2776.2603765613194,2770.6353765613194,2776.2603765613194,3.75,5.625,5.625,5.625,5.625,5.625,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,29_lower,2013-02-14,2013,external_2013_2015,lower,2013-02-14 05:31:00-05:00,2013-02-14 09:42:00-05:00,2759.131960032837,2765.131960032837,2759.131960032837,4.0,6.0,6.0,6.0,6.0,6.0,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,34_upper,2013-02-25,2013,external_2013_2015,upper,2013-02-25 03:12:00-05:00,2013-02-25 04:14:00-05:00,2741.4250052470657,2741.4250052470657,2741.4250052470657,2.75,4.125,4.125,4.125,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,39_lower,2013-03-01,2013,external_2013_2015,lower,2013-03-01 06:20:00-05:00,2013-03-01 07:11:00-05:00,2728.9914061049285,2728.9914061049285,2728.9914061049285,4.5,6.75,6.75,6.75,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
