config,pool_id,source,year,side,effective_exit_reason,pnl_class,n_trades,base_weight,gross_profit_pts,gross_loss_pts,net_pts,points_pf,avg_stop_pts,avg_target_pts,avg_abs_pnl_pts,scenario_id,scenario_family,target_points_pf,scenario_weight,achieved_points_pf
operational_100r,1rr,build_years,2018,lower,BE,scratch_or_flat,13,0.00959409594095941,0.0,-0.0,0.0,inf,36.40384615384615,36.40384615384615,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.009671171256848783,1.35
operational_100r,1rr,build_years,2018,lower,FLAT,scratch_or_flat,6,0.004428044280442804,0.0,-0.0,0.0,inf,38.5,38.5,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.004463617503160977,1.35
operational_100r,1rr,build_years,2018,lower,SL,loss,15,0.01107011070110701,0.0,440.625,-440.625,0.0,29.375,29.375,29.375,operational_100r__pf_1.35__stable,stable,1.35,0.011841270933817073,1.35
operational_100r,1rr,build_years,2018,lower,TP,profit,17,0.012546125461254613,573.0,-0.0,573.0,inf,33.705882352941174,33.705882352941174,33.705882352941174,operational_100r__pf_1.35__stable,stable,1.35,0.011707682535167348,1.35
operational_100r,1rr,build_years,2018,upper,BE,scratch_or_flat,12,0.008856088560885609,0.0,-0.0,0.0,inf,28.75,28.75,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.008927235006321954,1.35
operational_100r,1rr,build_years,2018,upper,FLAT,scratch_or_flat,13,0.00959409594095941,0.0,-0.0,0.0,inf,19.615384615384617,19.615384615384617,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.009671171256848783,1.35
operational_100r,1rr,build_years,2018,upper,SL,loss,15,0.01107011070110701,0.0,352.125,-352.125,0.0,23.475,23.475,23.475,operational_100r__pf_1.35__stable,stable,1.35,0.01170097678062548,1.35
operational_100r,1rr,build_years,2018,upper,TP,profit,21,0.015498154981549815,418.5,-0.0,418.5,inf,19.928571428571427,19.928571428571427,19.928571428571427,operational_100r__pf_1.35__stable,stable,1.35,0.014766505411580628,1.35
operational_100r,1rr,build_years,2018,upper,cutoff,loss,1,0.0007380073800738007,0.0,22.454907435795576,-22.454907435795576,0.0,32.25,32.25,22.454907435795576,operational_100r__pf_1.35__stable,stable,1.35,0.0007461893861914897,1.35
operational_100r,1rr,build_years,2020,lower,BE,scratch_or_flat,7,0.0051660516605166054,0.0,-0.0,0.0,inf,149.10714285714286,149.10714285714286,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.005207553753687807,1.35
operational_100r,1rr,build_years,2020,lower,FLAT,scratch_or_flat,12,0.008856088560885609,0.0,-0.0,0.0,inf,64.6875,64.6875,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.008927235006321954,1.35
operational_100r,1rr,build_years,2020,lower,SL,loss,8,0.005904059040590406,0.0,540.375,-540.375,0.0,67.546875,67.546875,67.546875,operational_100r__pf_1.35__stable,stable,1.35,0.0064007555016523,1.35
operational_100r,1rr,build_years,2020,lower,TP,profit,15,0.01107011070110701,1709.5,-0.0,1709.5,inf,113.96666666666667,113.96666666666667,113.96666666666667,operational_100r__pf_1.35__stable,stable,1.35,0.009059147627901236,1.35
operational_100r,1rr,build_years,2020,upper,BE,scratch_or_flat,24,0.017712177121771217,0.0,-0.0,0.0,inf,52.364583333333336,52.364583333333336,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.017854470012643908,1.35
operational_100r,1rr,build_years,2020,upper,FLAT,scratch_or_flat,19,0.014022140221402213,0.0,-0.0,0.0,inf,49.23026315789474,49.23026315789474,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.014134788760009759,1.35
operational_100r,1rr,build_years,2020,upper,SL,loss,27,0.01992619926199262,0.0,1350.0,-1350.0,0.0,50.0,50.0,50.0,operational_100r__pf_1.35__stable,stable,1.35,0.024091202448585244,1.35
operational_100r,1rr,build_years,2020,upper,TP,profit,21,0.015498154981549815,1046.375,-0.0,1046.375,inf,49.82738095238095,49.82738095238095,49.82738095238095,operational_100r__pf_1.35__stable,stable,1.35,0.013569207596303456,1.35
operational_100r,1rr,build_years,2020,upper,cutoff,loss,3,0.002214022140221402,0.0,127.98810343943842,-127.98810343943842,0.0,86.375,86.375,42.66270114647947,operational_100r__pf_1.35__stable,stable,1.35,0.002270611131380469,1.35
operational_100r,1rr,build_years,2020,upper,cutoff,profit,1,0.0007380073800738007,143.17188991283365,-0.0,143.17188991283365,inf,200.0,200.0,143.17188991283365,operational_100r__pf_1.35__stable,stable,1.35,0.0007297294333754295,1.35
operational_100r,1rr,build_years,2023,lower,BE,scratch_or_flat,12,0.008856088560885609,0.0,-0.0,0.0,inf,53.3125,53.3125,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.008927235006321954,1.35
operational_100r,1rr,build_years,2023,lower,SL,loss,13,0.00959409594095941,0.0,742.875,-742.875,0.0,57.14423076923077,57.14423076923077,57.14423076923077,operational_100r__pf_1.35__stable,stable,1.35,0.010688787724384162,1.35
operational_100r,1rr,build_years,2023,lower,TP,profit,17,0.012546125461254613,1034.625,-0.0,1034.625,inf,60.86029411764706,60.86029411764706,60.86029411764706,operational_100r__pf_1.35__stable,stable,1.35,0.011001992615853171,1.35
operational_100r,1rr,build_years,2023,upper,BE,scratch_or_flat,15,0.01107011070110701,0.0,-0.0,0.0,inf,50.375,50.375,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.011159043757902441,1.35
