rr_config_id,config,target_r,window_start_month,window_end_month,horizon_months,n_trades,n_active_trades,n_flat_trades,gross_profit_pts,gross_loss_pts,net_pts,points_pf,PF_R,avg_R_per_trade,max_dd_pts,max_dd_R,TP,SL,BE,cutoff,FLAT,median_stop_pts,median_target_pts,median_mae_pts,median_mfe_pts
1rr,operational_100r,1.0,2013-01,2013-02,2,13,13,0,42.0,22.125,19.875,1.8983050847457628,2.0,0.23076923076923078,-12.0,-1.0,6,3,4,0,0,7.125,7.125,3.1319600328370143,5.148795711199
1rr,operational_100r,1.0,2013-02,2013-03,2,16,16,0,35.625,28.875,6.75,1.2337662337662338,1.5,0.125,-12.75,-2.0,6,4,6,0,0,6.1875,6.1875,2.1030775332196754,4.378674864034565
1rr,operational_100r,1.0,2013-03,2013-04,2,16,16,0,22.125,54.375,-32.25,0.4068965517241379,0.5714285714285714,-0.1875,-33.0,-3.0,4,7,5,0,0,6.5625,6.5625,3.7280363723916707,4.378674864034565
1rr,operational_100r,1.0,2013-04,2013-05,2,11,11,0,28.5,63.0,-34.5,0.4523809523809524,0.3333333333333333,-0.36363636363636365,-34.5,-3.0,2,6,3,0,0,9.375,9.375,5.639623112340814,2.9885028517269348
1rr,operational_100r,1.0,2013-05,2013-06,2,15,15,0,84.75,40.875,43.875,2.073394495412844,1.5,0.13333333333333333,-13.5,-1.0,6,4,5,0,0,10.125,10.125,3.220044476783187,5.152351428269412
1rr,operational_100r,1.0,2013-06,2013-07,2,18,18,0,90.0,15.375,74.625,5.853658536585366,4.5,0.3888888888888889,-9.375,-1.0,9,2,7,0,0,9.375,9.375,2.6719299442911506,5.870571837837815
1rr,operational_100r,1.0,2013-07,2013-08,2,16,16,0,39.0,44.625,-5.625,0.8739495798319328,1.5,0.125,-33.75,-2.0,6,4,6,0,0,6.5625,6.5625,2.271066841491802,5.197989719439192
1rr,operational_100r,1.0,2013-08,2013-09,2,13,13,0,27.0,67.125,-40.125,0.4022346368715084,0.6666666666666666,-0.15384615384615385,-40.125,-2.0,4,6,3,0,0,7.125,7.125,7.309222493351626,2.3570062708477053
1rr,operational_100r,1.0,2013-09,2013-10,2,10,10,0,28.125,36.166527627160576,-8.041527627160576,0.7776527592015359,1.3060505657888506,0.09373314442967126,-26.416527627160576,-2.0626685557032873,4,3,2,1,0,7.875,7.875,4.899775163502454,4.9570319407639545
1rr,operational_100r,1.0,2013-10,2013-11,2,10,10,0,30.375,13.666527627160576,16.708472372839424,2.222583587335919,4.705135927063296,0.3937331444296713,-0.9165276271605762,-0.06266855570328733,5,1,3,1,0,8.625,8.625,2.081184822733121,5.303378035660899
