sess_date,year,side,touched_at,exit_ts,level,anchor,stop_pts,pnl
2024-01-03,2024,lower,2024-01-03 10:39:00-05:00,2024-01-03 15:00:00-05:00,4748.177907512931,12.0,18.0,18.0
2024-01-05,2024,lower,2024-01-05 01:36:00-05:00,2024-01-05 15:00:00-05:00,4725.157453874812,3.0,4.5,-4.5
2024-01-11,2024,upper,2024-01-11 01:37:00-05:00,2024-01-11 15:00:00-05:00,4832.069382197918,2.75,4.125,-4.125
2024-01-16,2024,lower,2024-01-16 09:51:00-05:00,2024-01-16 15:00:00-05:00,4785.086618397281,11.75,17.625,17.625
2024-01-17,2024,lower,2024-01-17 09:32:00-05:00,2024-01-17 15:00:00-05:00,4762.930617802082,15.25,22.875,-1.4306178020824518
2024-01-19,2024,upper,2024-01-19 02:20:00-05:00,2024-01-19 15:00:00-05:00,4820.852144079044,4.0,6.0,-6.0
2024-01-24,2024,upper,2024-01-24 05:00:00-05:00,2024-01-24 15:00:00-05:00,4917.060156321265,4.0,6.0,-6.0
2024-01-31,2024,lower,2024-01-31 10:12:00-05:00,2024-01-31 15:00:00-05:00,4914.487829711583,16.0,24.0,-12.48782971158289
2024-02-07,2024,upper,2024-02-07 10:28:00-05:00,2024-02-07 15:00:00-05:00,5011.642859215142,11.25,16.875,-6.10714078485762
2024-02-09,2024,upper,2024-02-09 08:33:00-05:00,2024-02-09 15:00:00-05:00,5042.888262762932,3.75,5.625,5.625
2024-02-13,2024,lower,2024-02-13 08:30:00-05:00,2024-02-13 15:00:00-05:00,5015.024072202341,6.0,9.0,-9.0
2024-02-20,2024,lower,2024-02-20 06:03:00-05:00,2024-02-20 15:00:00-05:00,4995.724924093083,7.75,11.625,11.625
2024-02-20,2024,lower,2024-02-20 10:13:00-05:00,2024-02-20 15:00:00-05:00,4984.493762442895,23.25,34.875,6.506237557105123
2024-02-20,2024,lower,2024-02-20 10:13:00-05:00,2024-02-20 15:00:00-05:00,4984.698356851063,23.25,34.875,6.301643148936819
2024-02-22,2024,upper,2024-02-22 03:01:00-05:00,2024-02-22 15:00:00-05:00,5045.894826327895,5.75,8.625,-8.625
2024-02-23,2024,upper,2024-02-23 09:17:00-05:00,2024-02-23 15:00:00-05:00,5111.34538931081,9.25,13.875,13.875
2024-03-01,2024,upper,2024-03-01 10:26:00-05:00,2024-03-01 15:00:00-05:00,5119.510501523284,11.25,16.875,-16.875
2024-03-05,2024,lower,2024-03-05 10:09:00-05:00,2024-03-05 15:00:00-05:00,5106.58970414163,10.25,15.375,-15.375
2024-03-07,2024,upper,2024-03-07 10:44:00-05:00,2024-03-07 15:00:00-05:00,5158.555104112814,16.75,25.125,4.055104112813751
2024-03-08,2024,upper,2024-03-08 09:57:00-05:00,2024-03-08 15:00:00-05:00,5187.546018074853,37.25,55.875,55.875
2024-03-12,2024,upper,2024-03-12 10:28:00-04:00,2024-03-12 15:00:00-04:00,5221.835242466518,30.0,45.0,-16.16475753348186
2024-03-15,2024,lower,2024-03-15 10:06:00-04:00,2024-03-15 15:00:00-04:00,5174.790723550682,41.0,61.5,9.959276449318168
2024-03-18,2024,upper,2024-03-18 09:35:00-04:00,2024-03-18 15:00:00-04:00,5233.335996198057,6.75,10.125,10.125
2024-03-19,2024,lower,2024-03-19 08:25:00-04:00,2024-03-19 15:00:00-04:00,5186.427310486699,13.75,20.625,20.625
2024-03-25,2024,lower,2024-03-25 07:00:00-04:00,2024-03-25 15:00:00-04:00,5278.835891146824,4.25,6.375,6.375
2024-04-01,2024,upper,2024-03-31 19:35:00-04:00,2024-04-01 15:00:00-04:00,5330.833221901375,14.75,22.125,22.125
2024-04-02,2024,lower,2024-04-02 07:47:00-04:00,2024-04-02 15:00:00-04:00,5276.389341806518,8.0,12.0,-12.0
2024-04-04,2024,upper,2024-04-04 08:40:00-04:00,2024-04-04 15:00:00-04:00,5291.703501119688,4.5,6.75,-6.75
2024-04-09,2024,lower,2024-04-09 10:43:00-04:00,2024-04-09 15:00:00-04:00,5211.124453564969,20.25,30.375,30.375
2024-04-10,2024,lower,2024-04-10 08:36:00-04:00,2024-04-10 15:00:00-04:00,5199.481184562104,3.75,5.625,-5.625
2024-04-19,2024,lower,2024-04-18 21:09:00-04:00,2024-04-19 15:00:00-04:00,5013.537724383231,20.5,30.75,-30.75
2024-04-23,2024,upper,2024-04-23 09:45:00-04:00,2024-04-23 15:00:00-04:00,5078.243931547691,16.25,24.375,-24.375
2024-04-24,2024,upper,2024-04-23 23:03:00-04:00,2024-04-24 15:00:00-04:00,5124.462275616769,3.0,4.5,4.5
2024-04-26,2024,upper,2024-04-26 08:30:00-04:00,2024-04-26 15:00:00-04:00,5135.104068973526,6.75,10.125,10.125
2024-05-03,2024,upper,2024-05-03 08:30:00-04:00,2024-05-03 15:00:00-04:00,5142.065026734504,7.25,10.875,-10.875
2024-05-06,2024,upper,2024-05-06 06:31:00-04:00,2024-05-06 15:00:00-04:00,5171.438831739636,4.5,6.75,-6.75
2024-05-07,2024,upper,2024-05-06 23:25:00-04:00,2024-05-07 15:00:00-04:00,5208.331177562588,3.0,4.5,4.5
2024-05-07,2024,upper,2024-05-07 09:10:00-04:00,2024-05-07 15:00:00-04:00,5215.873860382724,6.5,9.75,-9.75
2024-05-10,2024,upper,2024-05-10 03:03:00-04:00,2024-05-10 15:00:00-04:00,5250.819056310265,5.5,8.25,-8.25
2024-05-14,2024,lower,2024-05-14 08:30:00-04:00,2024-05-14 15:00:00-04:00,5221.456943488591,3.0,4.5,4.5
2024-05-15,2024,upper,2024-05-15 08:30:00-04:00,2024-05-15 15:00:00-04:00,5295.793056511409,2.75,4.125,-4.125
2024-05-23,2024,upper,2024-05-22 22:55:00-04:00,2024-05-23 15:00:00-04:00,5352.1854408067975,8.5,12.75,-12.75
2024-05-29,2024,lower,2024-05-29 05:22:00-04:00,2024-05-29 15:00:00-04:00,5291.810460571132,10.5,15.75,-3.560460571132353
2024-05-30,2024,lower,2024-05-29 19:28:00-04:00,2024-05-30 15:00:00-04:00,5264.433909738179,8.25,12.375,-12.375
