date,open,high,low,close
2012-06-01,25.89,28.71,25.89,28.63
2012-06-04,28.69,29.76,27.79,28.17
2012-06-05,28.21,28.21,26.26,26.39
2012-06-06,26.39,26.39,23.75,23.75
2012-06-07,22.99,23.99,22.75,23.81
2012-06-08,23.81,24.44,22.55,22.55
2012-06-11,22.54,24.64,21.86,24.6
2012-06-12,24.58,25.11,23.15,23.15
2012-06-13,24.08,25.07,23.32,24.52
2012-06-14,24.52,25.27,23.78,24.02
2012-06-15,23.88,23.99,21.86,21.86
2012-06-18,21.86,23.02,19.46,19.64
2012-06-19,19.64,19.64,18.41,19.2
2012-06-20,18.82,19.92,17.81,17.81
2012-06-21,17.91,20.87,17.76,20.78
2012-06-22,19.86,20.24,19.07,19.12
2012-06-25,21.23,22.0,21.23,21.28
2012-06-26,21.16,21.75,20.81,20.87
2012-06-27,20.87,21.15,20.31,20.68
2012-06-28,21.64,22.59,21.42,21.51
2012-06-29,19.27,19.85,18.63,18.65
2012-07-02,18.65,19.58,18.55,18.55
2012-07-03,18.56,18.56,17.14,18.56
2012-07-05,18.56,19.22,18.12,18.43
2012-07-06,18.43,19.67,18.43,18.65
2012-07-09,19.67,20.06,19.38,19.6
2012-07-10,19.25,21.14,19.1,20.67
2012-07-11,20.95,21.41,20.34,20.34
2012-07-12,20.34,22.06,20.34,20.97
2012-07-13,20.29,20.3,19.09,19.09
2012-07-16,19.79,20.21,19.23,19.54
2012-07-17,19.54,20.4,18.55,18.91
2012-07-18,19.25,19.29,17.91,18.3
2012-07-19,17.96,18.77,17.41,17.49
2012-07-20,17.49,18.64,17.49,18.2
2012-07-23,21.99,22.86,20.51,20.61
2012-07-24,20.61,23.23,20.49,22.83
2012-07-25,22.8,23.02,21.1,21.44
2012-07-26,21.53,21.53,19.83,20.11
2012-07-27,19.64,19.79,18.5,18.58
2012-07-30,19.39,20.01,19.14,19.74
2012-07-31,19.74,20.55,19.74,20.3
2012-08-01,20.3,20.62,19.61,20.19
2012-08-02,20.34,20.45,18.97,19.08
2012-08-03,17.87,17.95,17.46,17.46
2012-08-06,18.04,18.07,17.47,17.57
2012-08-07,17.57,17.63,17.13,17.41
2012-08-08,17.42,17.85,16.97,16.97
2012-08-09,16.97,17.02,16.39,16.41
2012-08-10,16.33,16.74,15.89,15.89
2012-08-13,15.83,15.83,14.34,14.48
2012-08-14,14.49,15.54,14.48,15.4
2012-08-15,15.64,15.64,14.77,14.77
2012-08-16,14.77,15.42,14.72,14.81
2012-08-17,14.83,14.85,13.79,13.79
2012-08-20,15.02,15.21,14.62,14.62
2012-08-21,14.75,15.58,14.56,15.36
2012-08-22,15.82,15.92,15.22,15.58
2012-08-23,16.03,16.92,16.03,16.68
2012-08-24,16.92,17.08,16.17,16.6
2012-08-27,16.6,17.45,16.6,17.19
2012-08-28,17.18,17.87,17.18,17.64
2012-08-29,17.75,18.18,17.63,18.11
2012-08-30,18.52,19.29,18.51,19.03
2012-08-31,18.59,19.49,17.97,18.35
2012-09-04,19.42,20.25,18.93,19.09
2012-09-05,19.09,19.58,18.79,19.02
2012-09-06,18.96,18.96,17.01,17.01
2012-09-07,17.06,17.18,15.44,15.44
2012-09-10,15.45,17.81,15.45,17.8
2012-09-11,17.8,18.03,17.47,18.01
2012-09-12,18.01,18.01,17.18,17.18
2012-09-13,17.33,17.69,15.87,16.15
2012-09-14,16.15,16.15,15.6,15.89
2012-09-17,15.67,16.2,15.67,15.79
2012-09-18,15.98,16.07,15.05,15.05
2012-09-19,15.05,15.31,14.65,14.84
2012-09-20,15.27,15.29,14.55,14.58
2012-09-21,14.58,14.58,14.07,14.44
2012-09-24,15.86,15.89,15.29,15.34
2012-09-25,15.45,16.82,15.17,16.7
2012-09-26,17.11,18.36,17.08,17.94
2012-09-27,17.88,18.0,16.45,16.45
2012-09-28,16.45,17.23,16.44,17.01
2012-10-01,17.39,18.13,16.9,17.75
2012-10-02,17.58,18.14,17.27,17.3
2012-10-03,17.29,17.47,16.66,16.76
2012-10-04,16.8,16.98,16.52,16.65
2012-10-05,16.06,16.63,15.87,16.48
2012-10-08,17.57,17.84,17.32,17.52
2012-10-09,17.52,19.25,17.52,18.87
2012-10-10,19.02,19.09,18.48,18.48
2012-10-11,18.0,18.33,17.65,18.33
2012-10-12,18.1,18.23,17.53,17.84
2012-10-15,18.31,18.7,17.38,17.55
2012-10-16,17.55,17.55,16.08,17.17
2012-10-17,17.16,18.25,16.54,16.89
2012-10-18,16.91,17.95,16.72,17.61
2012-10-19,17.58,20.1,17.57,20.05
2012-10-22,20.36,20.38,19.11,19.2
2012-10-23,19.2,21.52,19.2,20.66
2012-10-24,20.75,21.67,20.15,21.67
2012-10-25,21.33,21.33,20.11,20.28
2012-10-26,20.19,20.56,19.19,19.58
2012-10-31,19.85,20.74,19.53,20.33
2012-11-01,19.69,19.75,18.33,18.44
2012-11-02,18.03,19.95,17.9,19.95
2012-11-05,19.63,19.84,19.22,19.54
2012-11-06,19.32,19.39,18.55,19.1
2012-11-07,19.1,20.85,19.1,20.42
2012-11-08,20.21,20.64,20.0,20.14
2012-11-09,20.59,20.6,19.35,19.41
2012-11-12,19.41,19.45,18.45,18.62
2012-11-13,19.25,19.39,18.06,19.05
2012-11-14,19.05,19.7,17.81,19.5
2012-11-15,19.5,19.5,18.82,19.23
2012-11-16,19.23,19.64,16.65,18.13
2012-11-19,18.03,18.03,15.57,15.92
2012-11-20,15.87,16.88,15.85,16.18
2012-11-21,16.18,16.75,15.91,16.21
2012-11-23,16.21,16.69,15.53,16.21
2012-11-26,16.21,17.24,16.21,16.81
2012-11-27,16.76,17.03,16.16,16.9
2012-11-28,16.9,18.02,16.75,16.75
2012-11-29,16.75,16.81,16.24,16.4
2012-11-30,16.33,17.24,16.33,16.96
2012-12-03,16.76,17.91,16.76,17.69
2012-12-04,17.68,18.6,17.55,18.37
2012-12-05,18.36,19.58,18.36,18.63
2012-12-06,18.64,19.17,18.35,18.49
2012-12-07,18.16,18.93,18.05,18.35
2012-12-10,19.24,19.24,18.74,18.74
2012-12-11,18.75,18.75,17.96,17.96
2012-12-12,17.96,18.72,17.96,18.58
2012-12-13,18.7,19.67,18.49,19.47
2012-12-14,19.47,20.54,19.47,20.19
2012-12-17,20.75,20.83,19.47,19.47
2012-12-18,19.47,19.65,18.59,18.63
2012-12-19,18.81,19.66,18.81,19.27
2012-12-20,19.27,19.59,19.1,19.32
2012-12-21,19.32,21.77,19.32,20.16
2012-12-24,20.15,20.96,19.92,20.15
2012-12-26,20.88,21.47,20.7,21.18
2012-12-27,21.18,22.6,21.0,21.57
2012-12-28,22.33,23.49,21.99,23.32
2012-12-31,23.32,23.81,20.56,20.56
2013-01-02,18.1,18.36,16.95,16.95
2013-01-03,16.95,17.41,16.77,17.11
2013-01-04,17.11,17.21,15.51,15.51
2013-01-07,17.32,17.45,16.55,16.55
2013-01-08,16.55,17.19,16.43,16.43
2013-01-09,16.32,16.35,16.08,16.08
2013-01-10,16.08,16.56,15.79,16.08
2013-01-11,15.99,16.19,15.77,15.87
2013-01-14,15.77,16.71,15.77,16.13
2013-01-15,16.43,16.72,15.98,16.12
2013-01-16,15.89,15.97,15.12,15.32
2013-01-17,15.32,15.62,14.73,15.07
2013-01-18,15.18,15.18,14.07,14.17
2013-01-22,14.17,15.56,14.03,14.08
2013-01-23,14.01,14.38,13.99,14.28
2013-01-24,14.28,14.99,13.88,14.17
2013-01-25,14.26,14.34,13.78,14.06
2013-01-28,14.67,14.9,14.35,14.39
2013-01-29,14.39,14.66,14.01,14.02
2013-01-30,13.98,14.68,13.43,14.38
2013-01-31,14.38,15.06,14.18,14.83
2013-02-01,14.25,14.42,13.57,13.89
2013-02-04,13.89,15.73,13.89,15.73
2013-02-05,15.33,15.38,13.98,14.83
2013-02-06,14.83,15.02,14.02,14.02
2013-02-07,14.36,15.57,14.36,14.77
2013-02-08,14.15,14.48,13.78,14.14
2013-02-11,14.14,14.41,14.04,14.11
2013-02-12,14.26,14.36,13.06,13.06
2013-02-13,14.12,14.41,13.78,14.41
2013-02-14,14.5,14.5,13.54,13.66
2013-02-15,13.56,13.79,13.04,13.47
2013-02-19,13.47,14.16,13.35,13.42
2013-02-20,13.42,15.34,13.41,15.28
2013-02-21,14.83,17.13,14.83,16.49
2013-02-22,16.49,16.49,15.6,15.68
2013-02-25,15.06,19.85,14.96,19.35
2013-02-26,18.84,19.25,17.91,17.91
2013-02-27,17.91,18.08,15.75,16.34
2013-02-28,16.37,16.39,15.43,16.3
2013-03-01,16.8,17.28,15.63,15.64
2013-03-04,15.64,16.69,15.39,15.39
2013-03-05,15.29,15.29,14.4,14.6
2013-03-06,14.62,14.7,14.28,14.6
2013-03-07,14.54,14.64,14.11,14.23
2013-03-08,13.84,14.44,13.52,13.72
2013-03-11,13.72,13.72,12.39,12.41
2013-03-12,12.4,13.28,12.4,12.84
2013-03-13,12.97,13.31,12.51,12.65
2013-03-14,12.65,12.65,12.19,12.33
2013-03-15,12.23,12.66,11.34,12.03
2013-03-18,12.03,14.3,12.03,13.69
2013-03-19,13.47,15.36,13.2,14.45
2013-03-20,13.53,13.68,12.93,13.42
2013-03-21,13.42,14.48,13.42,14.24
2013-03-22,14.18,14.19,13.7,13.88
2013-03-25,13.85,14.87,13.27,14.35
2013-03-26,13.76,13.83,13.39,13.42
2013-03-27,14.3,14.38,13.44,13.57
2013-03-28,13.45,13.57,12.75,13.28
2013-04-01,13.28,14.64,13.28,14.48
2013-04-02,14.46,14.46,13.5,14.02
2013-04-03,14.0,15.06,13.9,14.94
2013-04-04,14.94,15.77,14.94,15.26
2013-04-05,15.25,16.77,15.25,15.52
2013-04-08,15.44,15.96,14.86,14.89
2013-04-09,14.73,15.07,14.07,14.46
2013-04-10,14.38,14.38,13.5,13.71
2013-04-11,13.68,14.28,13.68,14.09
2013-04-12,14.11,14.6,13.81,13.88
2013-04-15,13.88,17.36,13.88,17.16
2013-04-16,17.2,17.2,15.45,15.72
2013-04-17,15.59,18.77,15.59,18.2
2013-04-18,17.86,19.95,17.66,18.75
2013-04-19,18.07,18.98,16.77,17.17
2013-04-22,17.17,17.4,15.88,16.13
2013-04-23,16.13,16.13,14.55,15.72
2013-04-24,15.73,15.77,14.99,15.4
2013-04-25,15.31,15.97,13.02,15.32
2013-04-26,15.32,15.8,14.51,15.48
2013-04-29,15.45,15.52,14.77,15.32
2013-04-30,15.32,15.92,14.98,15.34
2013-05-01,15.5,16.08,14.64,16.0
2013-05-02,16.0,16.0,14.97,15.19
2013-05-03,14.49,14.94,14.49,14.66
2013-05-06,14.66,14.97,14.56,14.6
2013-05-07,14.52,15.26,14.26,14.27
2013-05-08,14.27,14.74,14.25,14.49
2013-05-09,14.69,14.73,14.15,14.49
2013-05-10,14.46,15.01,14.33,14.34
2013-05-13,14.45,14.73,14.23,14.59
2013-05-14,14.72,14.98,14.25,14.78
2013-05-15,14.78,14.78,13.85,13.88
2013-05-16,13.79,14.09,12.82,13.72
2013-05-17,13.39,13.58,13.05,13.3
2013-05-20,14.08,14.1,13.49,13.53
2013-05-21,13.74,14.47,13.7,14.41
2013-05-22,14.36,15.04,13.26,14.73
2013-05-23,15.52,15.64,14.4,14.89
2013-05-24,14.89,15.39,14.47,14.48
2013-05-28,14.48,15.18,13.49,14.99
2013-05-29,14.97,15.74,14.97,15.18
2013-05-30,15.26,15.26,14.68,14.99
2013-05-31,14.99,15.99,14.16,15.99
2013-06-03,15.98,17.71,15.66,16.79
2013-06-04,16.72,17.39,16.21,16.84
2013-06-05,16.84,17.88,16.84,17.49
2013-06-06,17.55,18.55,17.36,17.4
2013-06-07,17.4,17.4,15.65,15.88
2013-06-10,16.0,16.11,15.66,15.86
2013-06-11,17.0,17.12,16.08,16.88
2013-06-12,16.54,18.7,16.53,18.7
2013-06-13,18.7,18.83,16.92,17.13
2013-06-14,17.12,17.37,16.64,17.28
2013-06-17,16.19,17.38,16.19,16.95
2013-06-18,16.95,16.95,16.41,16.47
2013-06-19,16.43,16.77,14.44,15.12
2013-06-20,15.53,20.15,15.53,20.06
2013-06-21,19.92,20.92,19.11,19.44
2013-06-24,19.41,21.44,19.02,19.83
2013-06-25,19.83,19.83,18.32,18.8
2013-06-26,17.71,17.95,17.17,17.38
2013-06-27,17.38,17.38,16.36,16.72
2013-06-28,17.14,17.48,16.17,16.47
2013-07-01,16.47,16.54,15.29,16.16
2013-07-02,16.15,16.33,15.48,15.94
2013-07-03,15.92,16.49,15.66,15.8
2013-07-05,15.52,16.03,14.88,14.91
2013-07-08,14.97,15.19,14.7,14.77
2013-07-09,14.77,14.77,14.08,14.26
2013-07-10,14.27,14.32,13.91,13.95
2013-07-11,13.95,13.95,13.33,13.87
2013-07-12,13.8,14.44,13.71,13.96
2013-07-15,13.94,14.28,13.94,14.03
2013-07-16,14.02,14.51,13.97,14.25
2013-07-17,14.36,14.51,13.47,13.92
2013-07-18,14.19,14.22,13.03,13.47
2013-07-19,14.51,14.58,13.62,13.75
2013-07-22,14.05,14.18,13.04,13.39
2013-07-23,13.36,13.7,12.66,13.37
2013-07-24,13.13,13.64,13.13,13.27
2013-07-25,13.39,13.71,13.11,13.32
2013-07-26,13.6,13.66,12.93,12.93
2013-07-29,12.93,13.93,12.93,13.65
2013-07-30,13.6,14.19,13.5,13.87
2013-07-31,13.87,14.47,13.24,14.25
2013-08-01,14.18,14.18,13.7,13.88
2013-08-02,13.73,13.79,12.71,12.77
2013-08-05,12.77,13.27,12.77,12.83
2013-08-06,12.88,13.63,12.88,13.35
2013-08-07,13.55,14.02,13.44,13.44
2013-08-08,13.2,13.67,13.0,13.26
2013-08-09,13.31,13.78,13.18,13.63
2013-08-12,13.63,13.63,12.86,12.86
2013-08-13,13.38,13.72,12.36,12.5
2013-08-14,12.79,13.41,12.57,13.3
2013-08-15,14.46,15.13,13.69,14.9
2013-08-16,15.1,15.69,14.18,14.73
2013-08-19,14.73,15.67,14.51,15.53
2013-08-20,15.6,15.6,14.85,15.15
2013-08-21,15.15,16.44,15.06,15.99
2013-08-22,15.58,16.58,14.41,15.44
2013-08-23,15.44,15.44,14.47,14.62
2013-08-26,15.14,15.33,14.45,15.32
2013-08-27,15.32,17.72,15.32,17.63
2013-08-28,17.61,17.61,16.95,17.42
2013-08-29,17.4,17.53,16.65,17.4
2013-08-30,17.38,18.65,17.38,17.53
2013-09-03,17.52,18.53,17.42,17.89
2013-09-04,17.76,17.83,16.71,16.77
2013-09-05,16.77,16.85,16.43,16.51
2013-09-06,16.47,17.2,15.79,16.32
2013-09-09,16.52,16.52,15.32,16.16
2013-09-10,15.74,15.87,15.23,15.24
2013-09-11,15.61,15.61,14.55,14.73
2013-09-12,14.73,15.05,14.61,14.75
2013-09-13,14.58,15.02,14.58,14.7
2013-09-16,14.7,15.2,14.57,15.16
2013-09-17,15.09,15.15,14.57,14.72
2013-09-18,14.72,14.91,13.12,14.15
2013-09-19,14.17,14.17,13.37,13.77
2013-09-20,13.79,13.88,12.97,12.97
2013-09-23,14.09,14.91,14.08,14.64
2013-09-24,14.64,14.76,14.16,14.37
2013-09-25,14.37,14.93,14.37,14.66
2013-09-26,14.28,14.54,14.1,14.36
2013-09-27,14.79,15.69,14.39,15.65
2013-09-30,16.97,17.28,16.55,16.73
2013-10-01,16.73,16.74,15.77,15.97
2013-10-02,16.78,16.82,16.37,16.72
2013-10-03,16.72,19.17,16.69,18.3
2013-10-04,18.34,18.42,17.19,17.32
2013-10-07,18.97,19.86,18.63,19.84
2013-10-08,20.13,22.2,19.94,22.07
2013-10-09,22.07,23.28,20.97,21.68
2013-10-10,20.3,20.3,17.99,18.45
2013-10-11,18.44,18.44,16.85,17.19
2013-10-14,17.19,18.58,17.15,17.47
2013-10-15,17.47,19.04,17.44,18.77
2013-10-16,18.77,18.9,16.09,16.4
2013-10-17,16.37,16.37,13.31,14.49
2013-10-18,14.05,14.17,12.74,13.69
2013-10-21,14.32,14.55,13.61,14.4
2013-10-22,14.4,15.26,14.12,14.96
2013-10-23,14.96,15.84,14.96,15.33
2013-10-24,15.33,15.45,14.22,14.5
2013-10-25,14.51,15.1,13.53,14.91
2013-10-28,14.87,15.45,14.62,14.97
2013-10-29,14.04,15.08,14.04,14.83
2013-10-30,14.83,15.28,13.85,14.72
2013-10-31,14.72,15.2,14.18,14.88
2013-11-01,14.88,15.21,14.27,14.76
2013-11-04,15.06,15.22,14.16,14.37
2013-11-05,14.68,14.92,14.18,14.4
2013-11-06,14.4,14.83,13.25,14.76
2013-11-07,14.76,15.89,13.86,15.67
2013-11-08,15.67,15.67,14.29,14.67
2013-11-11,14.62,14.72,14.16,14.37
2013-11-12,14.53,14.67,13.9,14.14
2013-11-13,14.83,14.88,12.94,13.66
2013-11-14,13.66,13.9,12.99,13.26
2013-11-15,13.26,13.6,12.17,13.13
2013-11-18,13.13,14.49,13.13,14.37
2013-11-19,14.16,14.72,13.9,14.52
2013-11-20,14.52,14.63,12.87,14.44
2013-11-21,14.22,14.23,12.52,14.01
2013-11-22,14.02,14.02,12.94,13.65
2013-11-25,13.84,13.95,13.44,13.74
2013-11-26,13.74,13.78,13.1,13.6
2013-11-27,13.34,13.54,13.01,13.36
2013-11-29,13.36,13.94,13.3,13.93
2013-12-02,13.93,15.03,13.93,14.81
2013-12-03,14.81,15.22,14.58,14.93
2013-12-04,15.24,15.63,14.85,15.08
2013-12-05,15.42,16.33,15.35,16.11
2013-12-06,16.11,16.11,14.69,14.85
2013-12-09,15.26,15.26,14.49,14.8
2013-12-10,14.8,15.14,14.53,14.8
2013-12-11,14.81,15.93,14.81,15.88
2013-12-12,15.88,16.31,15.68,16.0
2013-12-13,15.83,16.32,15.65,15.98
2013-12-16,15.98,17.18,15.98,16.54
2013-12-17,16.65,17.29,16.18,16.47
2013-12-18,16.48,16.83,14.6,15.01
2013-12-19,15.01,15.24,14.32,14.92
2013-12-20,14.81,14.86,13.81,14.48
2013-12-23,14.48,14.55,13.83,14.11
2013-12-24,13.77,14.24,13.47,13.91
2013-12-26,13.91,14.07,13.29,13.93
2013-12-27,13.94,14.57,13.44,14.51
2013-12-30,14.51,15.17,13.95,15.16
2013-12-31,15.16,15.53,14.52,15.44
2014-01-02,16.01,16.31,15.63,15.88
2014-01-03,15.97,16.16,15.63,15.85
2014-01-06,15.85,16.49,15.45,15.82
2014-01-07,14.91,15.5,14.56,15.1
2014-01-08,15.26,15.32,14.4,14.88
2014-01-09,14.81,15.27,14.67,15.1
2014-01-10,15.1,15.1,14.09,14.09
2014-01-13,13.35,15.22,13.35,15.05
2014-01-14,14.78,14.78,13.31,13.52
2014-01-15,13.52,13.73,13.24,13.63
2014-01-16,13.84,14.25,13.47,14.11
2014-01-17,14.11,14.58,12.74,14.2
2014-01-21,14.18,15.06,14.18,14.34
2014-01-22,14.34,14.52,14.22,14.43
2014-01-23,14.44,15.94,14.17,15.33
2014-01-24,15.33,18.84,15.33,18.84
2014-01-27,18.49,20.45,17.7,18.87
2014-01-28,18.48,19.17,17.29,17.65
2014-01-29,18.69,19.31,17.09,18.69
2014-01-30,17.8,18.67,16.76,18.65
2014-01-31,18.13,19.24,17.75,18.97
2014-02-03,19.09,21.89,18.29,21.44
2014-02-04,21.46,21.46,19.71,20.1
2014-02-05,20.53,22.18,19.47,21.15
2014-02-06,21.15,21.15,18.63,19.48
2014-02-07,18.19,18.4,16.56,16.71
2014-02-10,16.71,17.36,16.29,16.53
2014-02-11,16.54,16.63,15.36,15.84
2014-02-12,15.84,16.07,15.55,15.93
2014-02-13,16.48,16.49,15.36,15.49
2014-02-14,15.49,15.82,14.37,14.8
2014-02-18,14.29,15.62,14.29,15.23
2014-02-19,15.64,16.56,14.82,16.32
2014-02-20,16.38,16.76,15.26,15.91
2014-02-21,15.6,16.07,14.3,15.81
2014-02-24,16.09,16.1,15.01,15.24
2014-02-25,15.24,15.69,14.24,15.15
2014-02-26,15.15,15.54,14.14,15.29
2014-02-27,15.31,15.58,14.64,14.79
2014-02-28,14.79,15.58,13.6,15.01
2014-03-03,16.25,17.5,15.6,16.85
2014-03-04,16.0,16.0,15.16,15.41
2014-03-05,15.41,15.45,14.87,15.22
2014-03-06,15.22,15.22,14.47,14.94
2014-03-07,14.53,15.66,14.51,15.23
2014-03-10,15.78,16.11,15.37,15.52
2014-03-11,15.52,15.97,14.76,15.78
2014-03-12,15.76,16.64,15.37,15.54
2014-03-13,15.54,17.75,14.73,17.47
2014-03-14,18.01,19.43,16.51,18.89
2014-03-17,18.89,18.89,16.56,17.47
2014-03-18,19.6,19.6,15.73,15.93
2014-03-19,15.93,16.44,14.5,16.23
2014-03-20,16.79,17.06,16.15,16.18
2014-03-21,16.18,17.37,15.7,17.35
2014-03-24,17.36,19.07,17.27,18.12
2014-03-25,18.12,18.12,15.97,17.12
2014-03-26,16.81,18.17,16.44,18.14
2014-03-27,18.11,18.85,17.61,18.49
2014-03-28,18.49,18.49,16.99,18.09
2014-03-31,18.01,18.2,17.65,18.12
2014-04-01,18.12,18.12,16.23,16.74
2014-04-02,16.51,16.79,16.27,16.37
2014-04-03,16.37,17.14,16.18,16.96
2014-04-04,16.33,19.39,16.33,18.79
2014-04-07,18.79,20.64,18.79,20.05
2014-04-08,20.05,20.59,18.96,19.11
2014-04-09,18.7,18.81,17.27,17.72
2014-04-10,17.72,20.8,17.44,20.59
2014-04-11,21.62,23.18,19.81,22.65
2014-04-14,22.65,22.77,21.67,21.7
2014-04-15,21.7,23.54,20.56,21.91
2014-04-16,23.18,23.21,19.68,20.41
2014-04-17,20.25,20.53,19.12,19.39
2014-04-21,19.79,19.99,18.49,18.53
2014-04-22,18.53,18.53,17.13,17.18
2014-04-23,17.14,17.79,16.84,16.9
2014-04-24,16.52,17.97,14.82,17.17
2014-04-25,17.17,18.95,17.17,18.59
2014-04-28,18.85,20.27,18.13,18.74
2014-04-29,18.61,18.92,17.46,18.33
2014-04-30,18.33,18.96,17.29,17.68
2014-05-01,17.68,17.77,16.61,17.15
2014-05-02,16.78,17.62,16.77,17.03
2014-05-05,17.96,18.16,16.34,16.78
2014-05-06,16.78,17.31,16.64,17.09
2014-05-07,17.08,18.35,17.05,17.4
2014-05-08,17.4,18.08,16.24,17.42
2014-05-09,17.47,17.93,16.35,16.52
2014-05-12,16.16,16.37,14.97,15.49
2014-05-13,15.49,15.76,14.81,15.37
2014-05-14,15.57,15.65,14.9,15.16
2014-05-15,15.16,16.73,15.02,16.06
2014-05-16,16.06,16.35,14.75,15.25
2014-05-19,15.25,16.08,14.83,15.1
2014-05-20,15.11,15.77,14.94,15.34
2014-05-21,15.43,15.43,13.94,14.5
2014-05-22,14.5,14.6,13.86,14.2
2014-05-23,14.21,14.31,13.35,13.45
2014-05-27,14.04,14.15,13.7,13.72
2014-05-28,13.79,14.18,13.77,14.04
2014-05-29,14.02,14.17,13.74,13.84
2014-05-30,13.92,14.14,13.63,13.77
