sess_date,year,side,touched_at,level,anchor,cap,pnl_be60,exit_be60,mae,mfe,uw60,be_dd
2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,6529.134910517963,5.75,8.625,-0.0,BE,-2.365,3.635,False,False
2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,6591.363648739487,6.0,9.0,9.0,TP,-1.386,9.114,False,False
2018-01-09,2018,upper,2018-01-09 08:26:00-05:00,6700.852925468027,5.75,8.625,-0.0,BE,-4.897,0.853,True,True
2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,6644.365418961772,7.0,10.5,10.5,TP,-1.115,10.635,,False
2018-01-10,2018,lower,2018-01-10 10:02:00-05:00,6629.772074531973,35.5,53.25,32.227925468027024,cutoff,0.0,44.478,False,False
2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,6741.759581038228,6.25,9.375,9.375,TP,-2.74,9.51,False,False
2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,6809.770647884909,11.0,16.5,-0.0,BE,-8.479,0.771,True,True
2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,6862.577746742863,23.75,35.625,-0.0,BE,-25.172,0.328,True,True
2018-01-22,2018,upper,2018-01-22 10:12:00-05:00,6869.187003432237,23.75,35.625,-0.0,BE,-18.563,2.687,True,True
2018-01-24,2018,upper,2018-01-24 10:14:00-05:00,6998.255469793344,28.25,42.375,42.375,TP,-5.995,42.755,,False
2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,6956.366742923148,5.5,8.25,8.25,TP,-4.617,8.383,,False
2018-01-30,2018,lower,2018-01-30 10:05:00-05:00,6909.722612509674,36.75,55.125,55.125,TP,-6.973,55.777,False,False
2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,6880.975997086674,32.75,49.125,0.0,BE,-23.226,5.524,True,True
2018-02-02,2018,lower,2018-02-02 05:14:00-05:00,6858.1542886397965,31.0,46.5,0.0,BE,-0.154,16.846,False,False
2018-02-02,2018,lower,2018-02-02 06:36:00-05:00,6848.88704859149,17.25,25.875,25.875,TP,-4.387,26.113,False,False
2018-02-07,2018,upper,2018-02-07 10:08:00-05:00,6684.944584107352,44.75,67.125,-0.0,BE,-27.555,34.945,True,True
2018-02-08,2018,lower,2018-02-08 10:54:00-05:00,6489.755992857791,69.0,103.5,0.0,BE,-32.006,32.994,False,False
2018-02-12,2018,upper,2018-02-12 09:44:00-05:00,6513.528021066135,33.25,49.875,49.875,TP,-3.222,51.278,,False
2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,6590.569710186437,8.0,12.0,-0.0,BE,-11.93,2.32,False,False
2018-02-14,2018,upper,2018-02-14 02:41:00-05:00,6601.510020156329,8.0,12.0,12.0,TP,-0.24,12.26,,False
2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,6727.800168995409,34.0,51.0,0.0,BE,-4.55,13.2,False,False
2018-03-02,2018,lower,2018-03-02 08:01:00-05:00,6674.644394150568,44.5,66.75,0.0,BE,-6.644,23.606,False,False
2018-03-02,2018,lower,2018-03-02 09:44:00-05:00,6655.008211491266,30.25,45.375,45.375,TP,-9.008,47.742,,False
2018-03-08,2018,upper,2018-03-08 02:11:00-05:00,6945.66025015068,11.0,16.5,-0.0,BE,-2.84,11.41,False,False
2018-03-08,2018,upper,2018-03-08 09:08:00-05:00,6967.241668711537,12.25,18.375,18.375,TP,-3.758,20.242,,False
2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,6989.60835460164,16.0,24.0,-0.0,BE,-17.892,0.0,True,True
2018-03-09,2018,upper,2018-03-08 20:09:00-05:00,7013.153575857334,14.25,21.375,21.375,TP,-6.096,22.654,False,False
2018-03-09,2018,upper,2018-03-08 20:26:00-05:00,7017.325979440954,14.25,21.375,21.375,TP,-1.924,21.576,,False
2018-03-09,2018,upper,2018-03-09 08:36:00-05:00,7057.28680551017,6.5,9.75,9.75,TP,0.0,11.287,,False
2018-03-13,2018,upper,2018-03-13 09:42:00-04:00,7211.202029295153,34.0,51.0,51.0,TP,-3.298,52.452,False,False
2018-03-15,2018,lower,2018-03-14 21:10:00-04:00,7027.927462033644,45.25,67.875,67.875,TP,-0.677,69.073,False,False
2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,7019.536644549242,8.75,13.125,-13.125,SL,-14.787,2.713,,False
2018-03-22,2018,lower,2018-03-22 03:59:00-04:00,6815.833165584705,26.75,40.125,0.0,BE,-0.083,26.417,False,False
2018-03-22,2018,lower,2018-03-22 03:59:00-04:00,6818.242298500356,26.75,40.125,0.0,BE,-2.492,24.008,False,False
2018-03-22,2018,lower,2018-03-22 06:50:00-04:00,6796.46474984932,38.0,57.0,0.0,BE,-5.965,21.035,False,False
2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,6796.0404081907745,16.25,24.375,-0.0,BE,-10.71,3.54,True,True
2018-04-10,2018,upper,2018-04-09 22:42:00-04:00,6618.015361193202,70.5,105.75,-0.0,BE,-3.735,49.515,False,False
2018-04-12,2018,upper,2018-04-12 09:59:00-04:00,6674.120573515432,11.75,17.625,-0.0,BE,-16.629,11.371,False,False
2018-04-12,2018,upper,2018-04-12 10:22:00-04:00,6690.253399853834,47.25,70.875,12.253399853833798,cutoff,-0.247,51.003,False,False
2018-04-17,2018,upper,2018-04-17 02:19:00-04:00,6742.225463751627,8.5,12.75,12.75,TP,-4.775,13.725,False,False
2018-04-17,2018,upper,2018-04-17 06:13:00-04:00,6747.283059462454,11.25,16.875,-0.0,BE,-2.717,9.033,False,False
2018-04-17,2018,upper,2018-04-17 10:54:00-04:00,6791.429923534902,29.5,44.25,-0.0,BE,-24.32,4.18,True,True
2018-04-20,2018,lower,2018-04-20 03:30:00-04:00,6754.992006121582,14.25,21.375,0.0,BE,-21.242,1.508,True,True
2018-04-20,2018,lower,2018-04-20 03:35:00-04:00,6744.784812561076,14.25,21.375,0.0,BE,-11.035,16.965,False,False
2018-04-24,2018,lower,2018-04-24 10:24:00-04:00,6615.554947578565,48.0,72.0,0.0,BE,-53.555,14.695,True,True
2018-04-26,2018,upper,2018-04-26 10:04:00-04:00,6618.426920574853,35.75,53.625,-0.0,BE,-28.323,3.927,True,True
2018-04-27,2018,upper,2018-04-27 08:47:00-04:00,6767.945052421435,15.25,22.875,22.875,TP,-4.055,24.195,,False
2018-05-04,2018,upper,2018-05-04 10:25:00-04:00,6692.836225843241,53.5,80.25,-0.0,BE,-51.164,0.0,True,True
2018-05-07,2018,upper,2018-05-07 00:30:00-04:00,6828.16377343615,8.5,12.75,-0.0,BE,-4.836,6.164,False,False
2018-05-14,2018,upper,2018-05-14 10:30:00-04:00,7007.349699090812,27.25,40.875,40.875,TP,-6.15,42.85,False,False
2018-05-15,2018,lower,2018-05-15 08:39:00-04:00,6928.543047509258,21.0,31.5,-31.5,SL,-32.793,1.457,,False
2018-05-17,2018,upper,2018-05-17 10:57:00-04:00,6960.568010688974,19.5,29.25,29.25,TP,-1.432,35.568,False,False
2018-05-23,2018,lower,2018-05-22 21:51:00-04:00,6878.121273342689,10.25,15.375,0.0,BE,-4.121,4.379,True,True
2018-05-23,2018,lower,2018-05-22 23:06:00-04:00,6869.126676304564,10.25,15.375,0.0,BE,-1.377,14.873,False,False
2018-05-23,2018,lower,2018-05-23 03:24:00-04:00,6862.149696078842,12.0,18.0,-18.0,SL,-19.65,2.85,,False
2018-05-24,2018,upper,2018-05-24 03:19:00-04:00,6973.725303921158,16.5,24.75,24.75,TP,-0.025,24.975,False,False
2018-05-24,2018,upper,2018-05-24 03:19:00-04:00,6971.765545524388,16.5,24.75,-0.0,BE,-1.984,9.766,False,False
2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,6988.503726657311,11.75,17.625,-0.0,BE,-15.246,3.004,False,False
2018-05-25,2018,upper,2018-05-24 21:34:00-04:00,7003.623323695436,11.75,17.625,17.625,TP,0.0,18.123,,False
2018-05-29,2018,lower,2018-05-29 02:47:00-04:00,6935.904766379892,12.75,19.125,19.125,TP,0.0,20.845,,False
2018-05-29,2018,lower,2018-05-29 04:32:00-04:00,6899.922722627305,29.25,43.875,43.875,TP,-4.923,44.327,False,False
2018-06-01,2018,upper,2018-06-01 09:55:00-04:00,7036.581952490742,21.75,32.625,-32.625,SL,-33.918,16.332,,False
2018-06-04,2018,upper,2018-06-03 20:18:00-04:00,7092.43659505992,15.5,23.25,-0.0,BE,-7.313,6.437,True,True
2018-06-05,2018,upper,2018-06-05 04:00:00-04:00,7156.635231374005,16.0,24.0,-0.0,BE,-5.865,3.385,True,True
2018-06-07,2018,upper,2018-06-07 02:32:00-04:00,7231.326699234774,3.25,4.875,4.875,TP,-2.923,5.077,,False
2018-06-08,2018,lower,2018-06-08 04:10:00-04:00,7113.548300765226,27.25,40.875,0.0,BE,-12.048,13.952,False,False
2018-06-11,2018,upper,2018-06-11 09:46:00-04:00,7194.487916844135,11.0,16.5,16.5,TP,-0.512,18.238,,False
2018-06-13,2018,upper,2018-06-12 20:23:00-04:00,7254.301705073458,5.25,7.875,-0.0,BE,-0.698,5.552,False,False
2018-06-13,2018,upper,2018-06-13 10:20:00-04:00,7269.677208812118,15.0,22.5,-0.0,BE,-12.323,9.677,True,True
2018-06-14,2018,upper,2018-06-14 10:20:00-04:00,7303.289655676041,33.0,49.5,-0.0,BE,-6.46,31.54,False,False
2018-06-18,2018,lower,2018-06-18 09:34:00-04:00,7214.541889345101,15.0,22.5,22.5,TP,-5.792,23.958,,False
2018-06-19,2018,lower,2018-06-18 21:55:00-04:00,7207.821104982877,13.25,19.875,0.0,BE,-18.821,8.429,True,True
2018-06-19,2018,lower,2018-06-18 22:11:00-04:00,7199.085344323959,30.75,46.125,0.0,BE,-10.085,6.415,False,False
2018-06-19,2018,lower,2018-06-19 03:07:00-04:00,7172.345652503716,18.0,27.0,0.0,BE,-10.346,16.154,False,False
2018-06-19,2018,lower,2018-06-19 10:30:00-04:00,7161.698294926542,45.75,68.625,68.625,TP,-4.198,68.802,False,False
2018-06-20,2018,upper,2018-06-19 20:02:00-04:00,7262.911183414944,14.25,21.375,21.375,TP,-1.089,24.661,False,False
2018-06-20,2018,upper,2018-06-20 08:54:00-04:00,7287.904347496284,10.25,15.375,-15.375,SL,-16.346,4.654,,False
2018-06-21,2018,upper,2018-06-20 21:57:00-04:00,7342.428895017123,9.75,14.625,-14.625,SL,-16.071,0.0,,False
2018-06-22,2018,lower,2018-06-22 10:34:00-04:00,7198.555087663368,54.5,81.75,41.944912336632115,cutoff,0.0,51.195,False,False
