sess_date,year,side,touched_at,level,anchor,cap,pnl_standard,exit_standard
2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,6529.134910517963,5.75,8.625,8.625,TP
2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,6591.363648739487,6.0,9.0,9.0,TP
2018-01-09,2018,upper,2018-01-09 08:26:00-05:00,6700.852925468027,5.75,8.625,8.625,TP
2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,6644.365418961772,7.0,10.5,10.5,TP
2018-01-10,2018,lower,2018-01-10 10:02:00-05:00,6629.772074531973,35.5,53.25,32.227925468027024,cutoff
2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,6741.759581038228,6.25,9.375,9.375,TP
2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,6809.770647884909,11.0,16.5,-16.5,SL
2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,6862.577746742863,23.75,35.625,-35.625,SL
2018-01-24,2018,upper,2018-01-24 10:14:00-05:00,6998.255469793344,28.25,42.375,42.375,TP
2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,6956.366742923148,5.5,8.25,8.25,TP
2018-01-30,2018,lower,2018-01-30 10:05:00-05:00,6909.722612509674,36.75,55.125,55.125,TP
2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,6880.975997086674,32.75,49.125,-49.125,SL
2018-02-07,2018,upper,2018-02-07 10:08:00-05:00,6684.944584107352,44.75,67.125,67.125,TP
2018-02-08,2018,lower,2018-02-08 10:54:00-05:00,6489.755992857791,69.0,103.5,-71.25599285779117,cutoff
2018-02-12,2018,upper,2018-02-12 09:44:00-05:00,6513.528021066135,33.25,49.875,49.875,TP
2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,6590.569710186437,8.0,12.0,12.0,TP
2018-02-14,2018,upper,2018-02-14 02:41:00-05:00,6601.510020156329,8.0,12.0,12.0,TP
2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,6727.800168995409,34.0,51.0,51.0,TP
2018-03-02,2018,lower,2018-03-02 08:01:00-05:00,6674.644394150568,44.5,66.75,66.75,TP
2018-03-02,2018,lower,2018-03-02 09:44:00-05:00,6655.008211491266,30.25,45.375,45.375,TP
2018-03-08,2018,upper,2018-03-08 02:11:00-05:00,6945.66025015068,11.0,16.5,-16.5,SL
2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,6989.60835460164,16.0,24.0,-24.0,SL
2018-03-13,2018,upper,2018-03-13 09:42:00-04:00,7211.202029295153,34.0,51.0,51.0,TP
2018-03-15,2018,lower,2018-03-14 21:10:00-04:00,7027.927462033644,45.25,67.875,67.875,TP
2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,7019.536644549242,8.75,13.125,-13.125,SL
2018-03-22,2018,lower,2018-03-22 03:59:00-04:00,6815.833165584705,26.75,40.125,-40.125,SL
2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,6796.0404081907745,16.25,24.375,-24.375,SL
2018-04-10,2018,upper,2018-04-09 22:42:00-04:00,6618.015361193202,70.5,105.75,-7.2346388067981025,cutoff
2018-04-12,2018,upper,2018-04-12 09:59:00-04:00,6674.120573515432,11.75,17.625,17.625,TP
2018-04-12,2018,upper,2018-04-12 10:22:00-04:00,6690.253399853834,47.25,70.875,12.253399853833798,cutoff
2018-04-17,2018,upper,2018-04-17 02:19:00-04:00,6742.225463751627,8.5,12.75,12.75,TP
2018-04-17,2018,upper,2018-04-17 06:13:00-04:00,6747.283059462454,11.25,16.875,-16.875,SL
2018-04-20,2018,lower,2018-04-20 03:30:00-04:00,6754.992006121582,14.25,21.375,21.375,TP
2018-04-20,2018,lower,2018-04-20 03:35:00-04:00,6744.784812561076,14.25,21.375,21.375,TP
2018-04-24,2018,lower,2018-04-24 10:24:00-04:00,6615.554947578565,48.0,72.0,-72.0,SL
