target,formula_name,formula,coefficients,units,n_train,train_n,train_mean_abs_error,train_rmse,train_median_abs_error,train_bias_mean_residual,quantile,train_pinball_loss
mae_R,unconditional_median,predict = 0.70723,"{""median"": 0.7072295461236967}",R (points / stop_distance_R_cap),535,535,1.2259261075774515,2.2490995287164695,0.564548728853035,0.8087478501207138,,
mae_R,vol_scaled_sigma_day,predict = 0.02714 * sigma_day,"{""k_vol"": 0.027143233795700283}",R (points / stop_distance_R_cap),535,535,1.23152702982255,2.2396346526773305,0.5584337573377436,0.771917302997826,,
mae_R,linear_regression,1.62739 + -0.00038*sigma_day + 0.00776*vol_close_prior + -0.02812*ib_range_pts + 0.02634*level_distance_from_open_pts + -0.08436*side_direction + 0.02368*entry_hour_et + -0.17380*day_of_week + 0.11496*dist_prior_bar_close_pts + -0.02016*trailing_5session_avg_ib_range_pts + -0.06353*stop_distance_R_cap,"{""sigma_day"": -0.000376, ""vol_close_prior"": 0.007759, ""ib_range_pts"": -0.028117, ""level_distance_from_open_pts"": 0.026337, ""side_direction"": -0.084363, ""entry_hour_et"": 0.023681, ""day_of_week"": -0.173803, ""dist_prior_bar_close_pts"": 0.114957, ""trailing_5session_avg_ib_range_pts"": -0.020162, ""stop_distance_R_cap"": -0.06353, ""intercept"": 1.627393}",R,535,535,1.267963433947148,1.8687625520498738,0.9400109342559482,2.191393484119935e-16,,
mae_R,quantile_reg_q0.5,0.64667 + 0.00991*sigma_day + 0.00000*vol_close_prior + 0.01256*ib_range_pts + 0.00104*level_distance_from_open_pts + -0.06258*side_direction + -0.00002*entry_hour_et + 0.00000*day_of_week + 0.05378*dist_prior_bar_close_pts + 0.01936*trailing_5session_avg_ib_range_pts + -0.03681*stop_distance_R_cap,"{""sigma_day"": 0.009908, ""vol_close_prior"": 0.0, ""ib_range_pts"": 0.012563, ""level_distance_from_open_pts"": 0.001039, ""side_direction"": -0.06258, ""entry_hour_et"": -2.1e-05, ""day_of_week"": 0.0, ""dist_prior_bar_close_pts"": 0.053781, ""trailing_5session_avg_ib_range_pts"": 0.019364, ""stop_distance_R_cap"": -0.036812, ""intercept"": 0.646665}",R,535,535,1.1241016270166946,2.045407289954804,0.5642229217347879,0.6298426182489936,0.5,0.5620508135083473
mae_R,quantile_reg_q0.75,1.45208 + 0.00468*sigma_day + -0.00893*vol_close_prior + -0.03726*ib_range_pts + 0.05042*level_distance_from_open_pts + -0.09955*side_direction + 0.00452*entry_hour_et + -0.02047*day_of_week + 0.29543*dist_prior_bar_close_pts + -0.03386*trailing_5session_avg_ib_range_pts + -0.06575*stop_distance_R_cap,"{""sigma_day"": 0.00468, ""vol_close_prior"": -0.008931, ""ib_range_pts"": -0.037263, ""level_distance_from_open_pts"": 0.050423, ""side_direction"": -0.099547, ""entry_hour_et"": 0.004521, ""day_of_week"": -0.020467, ""dist_prior_bar_close_pts"": 0.295431, ""trailing_5session_avg_ib_range_pts"": -0.033855, ""stop_distance_R_cap"": -0.065746, ""intercept"": 1.452075}",R,535,535,1.535722473684758,2.146754171859968,1.2345015651212834,-0.7116889132645338,0.75,0.5899390085262454
mae_R,quantile_reg_q0.9,2.81784 + 0.02513*sigma_day + 0.00000*vol_close_prior + 0.00000*ib_range_pts + 0.02759*level_distance_from_open_pts + 0.00000*side_direction + 0.05070*entry_hour_et + -0.12631*day_of_week + 0.47727*dist_prior_bar_close_pts + -0.08916*trailing_5session_avg_ib_range_pts + -0.08630*stop_distance_R_cap,"{""sigma_day"": 0.025133, ""vol_close_prior"": 0.0, ""ib_range_pts"": 0.0, ""level_distance_from_open_pts"": 0.027589, ""side_direction"": 0.0, ""entry_hour_et"": 0.050699, ""day_of_week"": -0.12631, ""dist_prior_bar_close_pts"": 0.477266, ""trailing_5session_avg_ib_range_pts"": -0.089158, ""stop_distance_R_cap"": -0.086299, ""intercept"": 2.817843}",R,535,535,2.63703095947797,3.361768700955692,2.4384108849835497,-2.3351693487857816,0.9,0.3844477402246723
mae_R,quantile_reg_q0.95,2.61271 + 0.00000*sigma_day + 0.12820*vol_close_prior + -0.02153*ib_range_pts + 0.00000*level_distance_from_open_pts + 0.01192*side_direction + 0.08383*entry_hour_et + -0.34011*day_of_week + 0.43740*dist_prior_bar_close_pts + -0.01057*trailing_5session_avg_ib_range_pts + -0.08949*stop_distance_R_cap,"{""sigma_day"": 0.0, ""vol_close_prior"": 0.128204, ""ib_range_pts"": -0.021529, ""level_distance_from_open_pts"": 0.0, ""side_direction"": 0.01192, ""entry_hour_et"": 0.083828, ""day_of_week"": -0.340109, ""dist_prior_bar_close_pts"": 0.437403, ""trailing_5session_avg_ib_range_pts"": -0.010575, ""stop_distance_R_cap"": -0.089492, ""intercept"": 2.612707}",R,535,535,3.4591091233149354,4.062718431847822,3.345814667822923,-3.2975372279317954,0.95,0.2456628090881598
mfe_R,unconditional_median,predict = 0.74797,"{""median"": 0.7479667928604185}",R (points / stop_distance_R_cap),535,535,1.093839641279462,1.9692542631912517,0.5357783649715852,0.6880146216465143,,
mfe_R,vol_scaled_sigma_day,predict = 0.02740 * sigma_day,"{""k_vol"": 0.027401621508446456}",R (points / stop_distance_R_cap),535,535,1.1119136690617062,1.9777720827737961,0.5720009988175244,0.6848383042887247,,
mfe_R,linear_regression,0.99141 + -0.00819*sigma_day + -0.00156*vol_close_prior + 0.04189*ib_range_pts + 0.00123*level_distance_from_open_pts + 0.17345*side_direction + 0.01009*entry_hour_et + 0.00415*day_of_week + 0.04477*dist_prior_bar_close_pts + 0.11578*trailing_5session_avg_ib_range_pts + -0.07114*stop_distance_R_cap,"{""sigma_day"": -0.008195, ""vol_close_prior"": -0.001561, ""ib_range_pts"": 0.041889, ""level_distance_from_open_pts"": 0.001228, ""side_direction"": 0.17345, ""entry_hour_et"": 0.010094, ""day_of_week"": 0.004153, ""dist_prior_bar_close_pts"": 0.044767, ""trailing_5session_avg_ib_range_pts"": 0.115784, ""stop_distance_R_cap"": -0.07114, ""intercept"": 0.991407}",R,535,535,1.0896786839208692,1.6469493580190404,0.81724199757116,2.822249184093856e-17,,
mfe_R,quantile_reg_q0.25,0.48812 + 0.00000*sigma_day + 0.00000*vol_close_prior + 0.00638*ib_range_pts + 0.00465*level_distance_from_open_pts + 0.01821*side_direction + -0.00591*entry_hour_et + -0.00842*day_of_week + 0.01583*dist_prior_bar_close_pts + 0.00230*trailing_5session_avg_ib_range_pts + -0.01785*stop_distance_R_cap,"{""sigma_day"": 0.0, ""vol_close_prior"": 0.0, ""ib_range_pts"": 0.006383, ""level_distance_from_open_pts"": 0.00465, ""side_direction"": 0.018215, ""entry_hour_et"": -0.005911, ""day_of_week"": -0.008417, ""dist_prior_bar_close_pts"": 0.015827, ""trailing_5session_avg_ib_range_pts"": 0.002303, ""stop_distance_R_cap"": -0.017854, ""intercept"": 0.48812}",R,535,535,1.100379830567928,2.034764603890489,0.4333661809891193,1.0052416067068155,0.25,0.2988795136072601
mfe_R,quantile_reg_q0.5,1.06272 + 0.00000*sigma_day + -0.01655*vol_close_prior + 0.01159*ib_range_pts + 0.01232*level_distance_from_open_pts + 0.00647*side_direction + -0.00155*entry_hour_et + 0.01204*day_of_week + 0.06038*dist_prior_bar_close_pts + 0.00519*trailing_5session_avg_ib_range_pts + -0.03796*stop_distance_R_cap,"{""sigma_day"": 0.0, ""vol_close_prior"": -0.01655, ""ib_range_pts"": 0.011595, ""level_distance_from_open_pts"": 0.012318, ""side_direction"": 0.006469, ""entry_hour_et"": -0.00155, ""day_of_week"": 0.012036, ""dist_prior_bar_close_pts"": 0.060379, ""trailing_5session_avg_ib_range_pts"": 0.005192, ""stop_distance_R_cap"": -0.037958, ""intercept"": 1.062724}",R,535,535,0.9802749831409175,1.776379054599988,0.5138078342408197,0.4980076282489444,0.5,0.49013749157045877
mfe_R,quantile_reg_q0.75,1.19872 + 0.00000*sigma_day + 0.00000*vol_close_prior + 0.03133*ib_range_pts + 0.00252*level_distance_from_open_pts + 0.00722*side_direction + 0.00648*entry_hour_et + -0.00179*day_of_week + 0.14037*dist_prior_bar_close_pts + 0.06670*trailing_5session_avg_ib_range_pts + -0.05845*stop_distance_R_cap,"{""sigma_day"": 0.0, ""vol_close_prior"": 0.0, ""ib_range_pts"": 0.031334, ""level_distance_from_open_pts"": 0.002523, ""side_direction"": 0.007218, ""entry_hour_et"": 0.006481, ""day_of_week"": -0.001791, ""dist_prior_bar_close_pts"": 0.140371, ""trailing_5session_avg_ib_range_pts"": 0.066701, ""stop_distance_R_cap"": -0.058449, ""intercept"": 1.198724}",R,535,535,1.1978834973309447,1.7338738635030178,0.9488046091637583,-0.32870142559198795,0.75,0.5167663922674752
mfe_R,quantile_reg_q0.9,0.14171 + -0.07284*sigma_day + 0.14659*vol_close_prior + 0.14332*ib_range_pts + 0.00000*level_distance_from_open_pts + 0.19439*side_direction + 0.03295*entry_hour_et + -0.00077*day_of_week + 0.15462*dist_prior_bar_close_pts + 0.15208*trailing_5session_avg_ib_range_pts + -0.08450*stop_distance_R_cap,"{""sigma_day"": -0.072843, ""vol_close_prior"": 0.146588, ""ib_range_pts"": 0.143322, ""level_distance_from_open_pts"": 0.0, ""side_direction"": 0.194388, ""entry_hour_et"": 0.032955, ""day_of_week"": -0.000772, ""dist_prior_bar_close_pts"": 0.154617, ""trailing_5session_avg_ib_range_pts"": 0.152084, ""stop_distance_R_cap"": -0.084505, ""intercept"": 0.141713}",R,535,535,2.0902869028946984,2.454160668801762,1.964530810769315,-1.69899532016174,0.9,0.36554532338265305
