target,formula_name,formula,coefficients,units,n_train,train_n,train_mean_abs_error,train_rmse,train_median_abs_error,train_bias_mean_residual,quantile,train_pinball_loss
mae_R,unconditional_median,predict = 0.50416,"{""median"": 0.5041618260832145}",R (points / stop_distance_R_cap),206,206,0.42799539420666466,0.496645626763028,0.4094072977565513,0.09671606379684254,,
mae_R,vol_scaled_sigma_day,predict = 0.01764 * sigma_day,"{""k_vol"": 0.01764275158559835}",R (points / stop_distance_R_cap),206,206,0.4226201853443909,0.5052917114457603,0.3740030947454904,0.12176919639442789,,
mae_R,linear_regression,0.68197 + 0.01162*sigma_day + -0.00785*vol_close_prior + 0.00546*ib_range_pts + 0.00089*level_distance_from_open_pts + 0.01747*side_direction + -0.01250*entry_hour_et + 0.03181*day_of_week + -0.00584*dist_prior_bar_close_pts + -0.00061*trailing_5session_avg_ib_range_pts + -0.02242*stop_distance_R_cap,"{""sigma_day"": 0.011624, ""vol_close_prior"": -0.007849, ""ib_range_pts"": 0.005457, ""level_distance_from_open_pts"": 0.000885, ""side_direction"": 0.017472, ""entry_hour_et"": -0.012499, ""day_of_week"": 0.031811, ""dist_prior_bar_close_pts"": -0.005842, ""trailing_5session_avg_ib_range_pts"": -0.000606, ""stop_distance_R_cap"": -0.022421, ""intercept"": 0.681973}",R,206,206,0.3913402518763055,0.45369480370848314,0.3905584219533917,-1.4659255470778767e-16,,
mae_R,quantile_reg_q0.5,0.49152 + 0.00397*sigma_day + 0.00000*vol_close_prior + -0.00440*ib_range_pts + 0.01433*level_distance_from_open_pts + 0.00000*side_direction + -0.02839*entry_hour_et + 0.03448*day_of_week + -0.00837*dist_prior_bar_close_pts + 0.00274*trailing_5session_avg_ib_range_pts + -0.02270*stop_distance_R_cap,"{""sigma_day"": 0.003974, ""vol_close_prior"": 0.0, ""ib_range_pts"": -0.004403, ""level_distance_from_open_pts"": 0.014327, ""side_direction"": 0.0, ""entry_hour_et"": -0.028392, ""day_of_week"": 0.034478, ""dist_prior_bar_close_pts"": -0.00837, ""trailing_5session_avg_ib_range_pts"": 0.00274, ""stop_distance_R_cap"": -0.022705, ""intercept"": 0.491525}",R,206,206,0.37704098696539556,0.47139151446451355,0.3668079139631045,0.0596197963768266,0.5,0.18852049348269778
mae_R,quantile_reg_q0.75,1.15355 + 0.00000*sigma_day + -0.01253*vol_close_prior + 0.01412*ib_range_pts + 0.00701*level_distance_from_open_pts + 0.00928*side_direction + -0.01145*entry_hour_et + 0.01501*day_of_week + -0.00952*dist_prior_bar_close_pts + 0.01419*trailing_5session_avg_ib_range_pts + -0.02682*stop_distance_R_cap,"{""sigma_day"": 0.0, ""vol_close_prior"": -0.012527, ""ib_range_pts"": 0.01412, ""level_distance_from_open_pts"": 0.007013, ""side_direction"": 0.009285, ""entry_hour_et"": -0.011445, ""day_of_week"": 0.01501, ""dist_prior_bar_close_pts"": -0.009524, ""trailing_5session_avg_ib_range_pts"": 0.01419, ""stop_distance_R_cap"": -0.026817, ""intercept"": 1.153554}",R,206,206,0.4878618856468371,0.6014118518257919,0.4625749002116103,-0.3886244393760742,0.75,0.14677483297939997
mae_R,quantile_reg_q0.9,1.34957 + 0.00108*sigma_day + 0.00000*vol_close_prior + 0.01044*ib_range_pts + 0.00000*level_distance_from_open_pts + 0.01292*side_direction + -0.00730*entry_hour_et + 0.04178*day_of_week + -0.01477*dist_prior_bar_close_pts + 0.00197*trailing_5session_avg_ib_range_pts + -0.02720*stop_distance_R_cap,"{""sigma_day"": 0.001079, ""vol_close_prior"": 0.0, ""ib_range_pts"": 0.010441, ""level_distance_from_open_pts"": 0.0, ""side_direction"": 0.012916, ""entry_hour_et"": -0.007303, ""day_of_week"": 0.041778, ""dist_prior_bar_close_pts"": -0.014771, ""trailing_5session_avg_ib_range_pts"": 0.001974, ""stop_distance_R_cap"": -0.027202, ""intercept"": 1.34957}",R,206,206,0.6152453944812475,0.740809885069137,0.6413093061965702,-0.5806463351507175,0.9,0.07536416318033674
mae_R,quantile_reg_q0.95,1.35549 + 0.01147*sigma_day + 0.01502*vol_close_prior + 0.02293*ib_range_pts + -0.02226*level_distance_from_open_pts + 0.00000*side_direction + 0.00000*entry_hour_et + 0.00633*day_of_week + -0.01333*dist_prior_bar_close_pts + 0.02547*trailing_5session_avg_ib_range_pts + -0.03200*stop_distance_R_cap,"{""sigma_day"": 0.011469, ""vol_close_prior"": 0.01502, ""ib_range_pts"": 0.022932, ""level_distance_from_open_pts"": -0.022264, ""side_direction"": 0.0, ""entry_hour_et"": 0.0, ""day_of_week"": 0.006332, ""dist_prior_bar_close_pts"": -0.013333, ""trailing_5session_avg_ib_range_pts"": 0.025473, ""stop_distance_R_cap"": -0.031996, ""intercept"": 1.355493}",R,206,206,0.7416971004751308,0.8718111854808278,0.7246282149109285,-0.729148501692158,0.95,0.042731724476094364
mfe_R,unconditional_median,predict = 0.65623,"{""median"": 0.6562252975877979}",R (points / stop_distance_R_cap),206,206,0.41174398676133456,0.6266877282126608,0.3623418272534541,0.09309395534343971,,
mfe_R,vol_scaled_sigma_day,predict = 0.02448 * sigma_day,"{""k_vol"": 0.024483700663495037}",R (points / stop_distance_R_cap),206,206,0.4118785275878023,0.6437475649445539,0.33410934568910494,0.08443691982874464,,
mfe_R,linear_regression,0.60658 + -0.00241*sigma_day + 0.01311*vol_close_prior + 0.02423*ib_range_pts + -0.00763*level_distance_from_open_pts + 0.03924*side_direction + -0.00351*entry_hour_et + 0.03332*day_of_week + 0.02993*dist_prior_bar_close_pts + 0.01538*trailing_5session_avg_ib_range_pts + -0.02401*stop_distance_R_cap,"{""sigma_day"": -0.002413, ""vol_close_prior"": 0.013109, ""ib_range_pts"": 0.024233, ""level_distance_from_open_pts"": -0.007634, ""side_direction"": 0.039242, ""entry_hour_et"": -0.003512, ""day_of_week"": 0.03332, ""dist_prior_bar_close_pts"": 0.029929, ""trailing_5session_avg_ib_range_pts"": 0.015385, ""stop_distance_R_cap"": -0.024014, ""intercept"": 0.606578}",R,206,206,0.3845888744382501,0.5653178853405474,0.29925864621675,1.972532169965084e-16,,
mfe_R,quantile_reg_q0.25,-0.00889 + -0.00415*sigma_day + 0.02496*vol_close_prior + 0.02115*ib_range_pts + -0.00654*level_distance_from_open_pts + 0.01982*side_direction + 0.01074*entry_hour_et + 0.00000*day_of_week + 0.01285*dist_prior_bar_close_pts + -0.00057*trailing_5session_avg_ib_range_pts + -0.00816*stop_distance_R_cap,"{""sigma_day"": -0.004148, ""vol_close_prior"": 0.024962, ""ib_range_pts"": 0.021153, ""level_distance_from_open_pts"": -0.006535, ""side_direction"": 0.019825, ""entry_hour_et"": 0.010743, ""day_of_week"": 0.0, ""dist_prior_bar_close_pts"": 0.01285, ""trailing_5session_avg_ib_range_pts"": -0.000575, ""stop_distance_R_cap"": -0.008164, ""intercept"": -0.008886}",R,206,206,0.42606482214564656,0.6871585625920493,0.2626924605927058,0.35450180465404096,0.25,0.12440695990931298
mfe_R,quantile_reg_q0.5,0.36055 + 0.03130*sigma_day + 0.00000*vol_close_prior + 0.04056*ib_range_pts + -0.03206*level_distance_from_open_pts + 0.04262*side_direction + 0.01364*entry_hour_et + 0.01478*day_of_week + 0.01716*dist_prior_bar_close_pts + 0.00988*trailing_5session_avg_ib_range_pts + -0.02019*stop_distance_R_cap,"{""sigma_day"": 0.031298, ""vol_close_prior"": 0.0, ""ib_range_pts"": 0.040565, ""level_distance_from_open_pts"": -0.032063, ""side_direction"": 0.042622, ""entry_hour_et"": 0.013641, ""day_of_week"": 0.01478, ""dist_prior_bar_close_pts"": 0.017158, ""trailing_5session_avg_ib_range_pts"": 0.009879, ""stop_distance_R_cap"": -0.020188, ""intercept"": 0.36055}",R,206,206,0.36826855594863783,0.5921251356271566,0.26752175320125765,0.09716787909267735,0.5,0.18413427797431892
mfe_R,quantile_reg_q0.75,0.96087 + 0.00427*sigma_day + -0.00181*vol_close_prior + 0.01867*ib_range_pts + -0.00310*level_distance_from_open_pts + -0.00516*side_direction + -0.00429*entry_hour_et + 0.00194*day_of_week + 0.07512*dist_prior_bar_close_pts + 0.00813*trailing_5session_avg_ib_range_pts + -0.02614*stop_distance_R_cap,"{""sigma_day"": 0.004268, ""vol_close_prior"": -0.00181, ""ib_range_pts"": 0.018672, ""level_distance_from_open_pts"": -0.003102, ""side_direction"": -0.005157, ""entry_hour_et"": -0.00429, ""day_of_week"": 0.001943, ""dist_prior_bar_close_pts"": 0.075121, ""trailing_5session_avg_ib_range_pts"": 0.00813, ""stop_distance_R_cap"": -0.026142, ""intercept"": 0.960868}",R,206,206,0.4536448670358399,0.6800401046636667,0.3839522052704557,-0.29760404903232063,0.75,0.1524214212598398
mfe_R,quantile_reg_q0.9,0.82141 + -0.00295*sigma_day + 0.01309*vol_close_prior + 0.01081*ib_range_pts + 0.00000*level_distance_from_open_pts + -0.02802*side_direction + -0.00478*entry_hour_et + 0.01348*day_of_week + 0.16145*dist_prior_bar_close_pts + 0.01100*trailing_5session_avg_ib_range_pts + -0.02196*stop_distance_R_cap,"{""sigma_day"": -0.002949, ""vol_close_prior"": 0.013088, ""ib_range_pts"": 0.010814, ""level_distance_from_open_pts"": 0.0, ""side_direction"": -0.028021, ""entry_hour_et"": -0.004776, ""day_of_week"": 0.013478, ""dist_prior_bar_close_pts"": 0.161446, ""trailing_5session_avg_ib_range_pts"": 0.011, ""stop_distance_R_cap"": -0.021956, ""intercept"": 0.821407}",R,206,206,0.639060474082355,1.0377137468912607,0.5726865633561613,-0.5714761132276501,0.9,0.09093979175011739
