variant,n,net,pf,maxdd,avg,wr,twr,tp,sl,be,cut,year
base_legacy_entrybar,131,11.62022082310341,1.007960528460659,-362.6077046449236,0.08870397574888099,38.93129770992366,55.81395348837209,48,38,35,10,2018
base_legacy_entrybar,125,-227.31538275720595,0.8282261756930213,-472.04102584820066,-1.8185230620576476,32.800000000000004,43.20987654320987,35,46,28,15,2019
base_legacy_entrybar,139,838.245863834738,1.3026866592432902,-632.6200673522308,6.030545782983727,32.37410071942446,48.837209302325576,42,44,43,10,2020
base_legacy_entrybar,132,805.0120445349203,1.3119616873252544,-410.2342058528084,6.098576094961517,40.909090909090914,58.42696629213483,52,37,29,14,2021
base_legacy_entrybar,128,1474.4105056743501,1.455770815342189,-479.9567476103002,11.51883207558086,39.0625,56.97674418604651,49,37,36,6,2022
base_legacy_entrybar,123,520.4753275068379,1.176331506557461,-724.5988499692976,4.231506727697869,40.65040650406504,57.89473684210527,44,32,30,17,2023
base_legacy_entrybar,123,78.50613253521806,1.0221320221391765,-605.9285890308165,0.6382612401237241,37.39837398373984,48.837209302325576,42,44,24,13,2024
base_legacy_entrybar,148,2380.708640308396,1.6199869626786023,-484.927456947531,16.085869191272945,44.5945945945946,63.10679611650486,65,38,36,9,2025
base_legacy_entrybar,68,2876.0562253813987,3.195630674362142,-312.375,42.29494449090292,52.94117647058824,74.4186046511628,32,11,17,8,2026
creation_following_bar,131,11.62022082310341,1.007960528460659,-362.6077046449236,0.08870397574888099,38.93129770992366,55.81395348837209,48,38,35,10,2018
creation_following_bar,125,-227.31538275720595,0.8282261756930213,-472.04102584820066,-1.8185230620576476,32.800000000000004,43.20987654320987,35,46,28,15,2019
creation_following_bar,139,838.245863834738,1.3026866592432902,-632.6200673522308,6.030545782983727,32.37410071942446,48.837209302325576,42,44,43,10,2020
creation_following_bar,132,805.0120445349203,1.3119616873252544,-410.2342058528084,6.098576094961517,40.909090909090914,58.42696629213483,52,37,29,14,2021
creation_following_bar,128,1474.4105056743501,1.455770815342189,-479.9567476103002,11.51883207558086,39.0625,56.97674418604651,49,37,36,6,2022
creation_following_bar,123,520.4753275068379,1.176331506557461,-724.5988499692976,4.231506727697869,40.65040650406504,57.89473684210527,44,32,30,17,2023
creation_following_bar,123,78.50613253521806,1.0221320221391765,-605.9285890308165,0.6382612401237241,37.39837398373984,48.837209302325576,42,44,24,13,2024
creation_following_bar,148,2380.708640308396,1.6199869626786023,-484.927456947531,16.085869191272945,44.5945945945946,63.10679611650486,65,38,36,9,2025
creation_following_bar,68,2876.0562253813987,3.195630674362142,-312.375,42.29494449090292,52.94117647058824,74.4186046511628,32,11,17,8,2026
touchbar_adverse_stop_first,130,-21.380282915556563,0.9856090746593266,-371.6082083835836,-0.16446371473505048,37.69230769230769,54.02298850574713,47,40,33,10,2018
touchbar_adverse_stop_first,125,-108.06538275720595,0.9155881789293168,-433.79102584820066,-0.8645230620576476,35.199999999999996,45.78313253012048,38,45,26,15,2019
touchbar_adverse_stop_first,141,1006.0640704178732,1.3924903385934342,-535.757693254358,7.135206173176405,33.33333333333333,52.38095238095239,44,40,47,10,2020
touchbar_adverse_stop_first,133,912.1931891833938,1.357120260704912,-358.04142581800625,6.858595407393938,41.35338345864661,59.55056179775281,53,36,31,13,2021
touchbar_adverse_stop_first,132,1758.6605056743501,1.5645132659496466,-441.3317476103002,13.323185649048106,39.39393939393939,58.620689655172406,51,36,39,6,2022
touchbar_adverse_stop_first,124,721.196785303111,1.2518297544100834,-724.5988499692976,5.816103107283153,41.12903225806452,57.49999999999999,46,34,29,15,2023
touchbar_adverse_stop_first,124,-301.87559834523927,0.9204503146617775,-692.1785890308165,-2.4344806318164456,33.87096774193548,43.67816091954023,38,49,23,14,2024
