level_id,level_index,level_session,created_at,expiry_at,sess_date,year,side,sign,level,touched_at,anchor,cutoff,entry_allowed,has_anchor,has_cutoff,pnl,exit,exit_time,tp_dist,sl_dist,variant,norm_level_id,physical_touch,identity
0:upper,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,2018-01-03,2018,upper,-1.0,6529.134910517963,2018-01-03 04:06:00-05:00,5.75,2018-01-03 15:00:00-05:00,True,True,True,-0.0,BE,2018-01-03 04:53:00-05:00,8.625,8.625,base_legacy_entrybar,0_upper,2018-01-03 09:06:00+00:00,0_upper|upper|2018-01-03 09:06:00+00:00
1:upper,1,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,2018-01-04,2018,upper,-1.0,6591.363648739487,2018-01-03 19:09:00-05:00,6.0,2018-01-04 15:00:00-05:00,True,True,True,9.0,TP,2018-01-03 20:12:00-05:00,9.0,9.0,base_legacy_entrybar,1_upper,2018-01-04 00:09:00+00:00,1_upper|upper|2018-01-04 00:09:00+00:00
4:upper,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-09,2018,upper,-1.0,6700.852925468027,2018-01-09 07:29:00-05:00,6.0,2018-01-09 15:00:00-05:00,True,True,True,-0.0,BE,2018-01-09 08:26:00-05:00,9.0,9.0,base_legacy_entrybar,4_upper,2018-01-09 12:29:00+00:00,4_upper|upper|2018-01-09 12:29:00+00:00
5:lower,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-10,2018,lower,1.0,6644.365418961772,2018-01-10 05:59:00-05:00,7.0,2018-01-10 15:00:00-05:00,True,True,True,10.5,TP,2018-01-10 06:24:00-05:00,10.5,10.5,base_legacy_entrybar,5_lower,2018-01-10 10:59:00+00:00,5_lower|lower|2018-01-10 10:59:00+00:00
4:lower,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-10,2018,lower,1.0,6629.772074531973,2018-01-10 10:02:00-05:00,35.5,2018-01-10 15:00:00-05:00,True,True,True,32.227925468027024,cutoff,2018-01-10 15:00:00-05:00,53.25,53.25,base_legacy_entrybar,4_lower,2018-01-10 15:02:00+00:00,4_lower|lower|2018-01-10 15:02:00+00:00
5:upper,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-12,2018,upper,-1.0,6741.759581038228,2018-01-12 03:25:00-05:00,6.25,2018-01-12 15:00:00-05:00,True,True,True,-0.0,BE,2018-01-12 04:13:00-05:00,9.375,9.375,base_legacy_entrybar,5_upper,2018-01-12 08:25:00+00:00,5_upper|upper|2018-01-12 08:25:00+00:00
9:upper,9,2018-01-15,2018-01-15 10:30:00-05:00,2018-02-12 10:30:00-05:00,2018-01-16,2018,upper,-1.0,6809.770647884909,2018-01-16 05:23:00-05:00,11.0,2018-01-16 15:00:00-05:00,True,True,True,-16.5,SL,2018-01-16 09:35:00-05:00,16.5,16.5,base_legacy_entrybar,9_upper,2018-01-16 10:23:00+00:00,9_upper|upper|2018-01-16 10:23:00+00:00
12:upper,12,2018-01-18,2018-01-18 10:30:00-05:00,2018-02-15 10:30:00-05:00,2018-01-22,2018,upper,-1.0,6862.577746742863,2018-01-22 10:09:00-05:00,23.75,2018-01-22 15:00:00-05:00,True,True,True,-35.625,SL,2018-01-22 12:05:00-05:00,35.625,35.625,base_legacy_entrybar,12_upper,2018-01-22 15:09:00+00:00,12_upper|upper|2018-01-22 15:09:00+00:00
15:upper,15,2018-01-23,2018-01-23 10:30:00-05:00,2018-02-20 10:30:00-05:00,2018-01-24,2018,upper,-1.0,6998.255469793344,2018-01-24 10:14:00-05:00,28.25,2018-01-24 15:00:00-05:00,True,True,True,42.375,TP,2018-01-24 11:13:00-05:00,42.375,42.375,base_legacy_entrybar,15_upper,2018-01-24 15:14:00+00:00,15_upper|upper|2018-01-24 15:14:00+00:00
19:lower,19,2018-01-29,2018-01-29 10:30:00-05:00,2018-02-26 10:30:00-05:00,2018-01-30,2018,lower,1.0,6956.366742923148,2018-01-29 22:52:00-05:00,5.5,2018-01-30 15:00:00-05:00,True,True,True,8.25,TP,2018-01-29 22:56:00-05:00,8.25,8.25,base_legacy_entrybar,19_lower,2018-01-30 03:52:00+00:00,19_lower|lower|2018-01-30 03:52:00+00:00
18:lower,18,2018-01-26,2018-01-26 10:30:00-05:00,2018-02-23 10:30:00-05:00,2018-01-30,2018,lower,1.0,6909.722612509674,2018-01-30 10:05:00-05:00,36.75,2018-01-30 15:00:00-05:00,True,True,True,55.125,TP,2018-01-30 11:09:00-05:00,55.125,55.125,base_legacy_entrybar,18_lower,2018-01-30 15:05:00+00:00,18_lower|lower|2018-01-30 15:05:00+00:00
17:lower,17,2018-01-25,2018-01-25 10:30:00-05:00,2018-02-22 10:30:00-05:00,2018-02-02,2018,lower,1.0,6880.975997086674,2018-02-02 04:21:00-05:00,32.75,2018-02-02 15:00:00-05:00,True,True,True,-49.125,SL,2018-02-02 10:01:00-05:00,49.125,49.125,base_legacy_entrybar,17_lower,2018-02-02 09:21:00+00:00,17_lower|lower|2018-02-02 09:21:00+00:00
25:upper,25,2018-02-06,2018-02-06 10:30:00-05:00,2018-03-06 10:30:00-05:00,2018-02-07,2018,upper,-1.0,6684.944584107352,2018-02-07 10:08:00-05:00,44.75,2018-02-07 15:00:00-05:00,True,True,True,67.125,TP,2018-02-07 13:06:00-05:00,67.125,67.125,base_legacy_entrybar,25_upper,2018-02-07 15:08:00+00:00,25_upper|upper|2018-02-07 15:08:00+00:00
27:lower,27,2018-02-08,2018-02-08 10:30:00-05:00,2018-03-08 10:30:00-05:00,2018-02-08,2018,lower,1.0,6489.755992857791,2018-02-08 10:54:00-05:00,69.0,2018-02-08 15:00:00-05:00,True,True,True,0.0,BE,2018-02-08 11:40:00-05:00,103.5,103.5,base_legacy_entrybar,27_lower,2018-02-08 15:54:00+00:00,27_lower|lower|2018-02-08 15:54:00+00:00
