level_id,level_index,level_session,created_at,expiry_at,sess_date,year,side,sign,level,touched_at,anchor,cutoff,entry_allowed,has_anchor,has_cutoff,skip_reason
2:upper,2,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,2018-01-05,2018,upper,-1.0,6647.463047114303,2018-01-05 11:17:00-05:00,26.25,2018-01-05 15:00:00-05:00,False,True,True,blocked_time
3:upper,3,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,2018-01-05,2018,upper,-1.0,6660.819130484404,2018-01-05 15:48:00-05:00,6.5,,False,True,False,blocked_time
6:upper,6,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,2018-01-11,2018,upper,-1.0,6705.969460652561,2018-01-11 12:38:00-05:00,8.0,2018-01-11 15:00:00-05:00,False,True,True,blocked_time
7:upper,7,2018-01-11,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,2018-01-11,2018,upper,-1.0,6723.20900170372,2018-01-11 16:06:00-05:00,16.0,,False,True,False,blocked_time
8:upper,8,2018-01-12,2018-01-12 10:30:00-05:00,2018-02-09 10:30:00-05:00,2018-01-12,2018,upper,-1.0,6767.641689094185,2018-01-12 13:01:00-05:00,15.25,2018-01-12 15:00:00-05:00,False,True,True,blocked_time
10:lower,10,2018-01-16,2018-01-16 10:30:00-05:00,2018-02-13 10:30:00-05:00,2018-01-16,2018,lower,1.0,6767.812996567763,2018-01-16 13:55:00-05:00,28.75,2018-01-16 15:00:00-05:00,False,True,True,sal_active
9:lower,9,2018-01-15,2018-01-15 10:30:00-05:00,2018-02-12 10:30:00-05:00,2018-01-16,2018,lower,1.0,6750.354352115091,2018-01-16 14:22:00-05:00,24.25,2018-01-16 15:00:00-05:00,False,True,True,sal_active
11:upper,11,2018-01-17,2018-01-17 10:30:00-05:00,2018-02-14 10:30:00-05:00,2018-01-17,2018,upper,-1.0,6825.380439588893,2018-01-17 14:53:00-05:00,15.75,2018-01-17 15:00:00-05:00,False,True,True,blocked_time
10:upper,10,2018-01-16,2018-01-16 10:30:00-05:00,2018-02-13 10:30:00-05:00,2018-01-22,2018,upper,-1.0,6869.187003432237,2018-01-22 10:12:00-05:00,23.75,2018-01-22 15:00:00-05:00,True,True,True,position_open
13:upper,13,2018-01-19,2018-01-19 10:30:00-05:00,2018-02-16 10:30:00-05:00,2018-01-22,2018,upper,-1.0,6900.801329464198,2018-01-22 12:31:00-05:00,17.0,2018-01-22 15:00:00-05:00,False,True,True,sal_active
14:upper,14,2018-01-22,2018-01-22 10:30:00-05:00,2018-02-19 10:30:00-05:00,2018-01-22,2018,upper,-1.0,6912.496667274796,2018-01-22 15:50:00-05:00,11.0,,False,True,False,sal_active
