level_id_ref,level_idx,session_date,created_at_ref,expiry_at_ref,side_ref,level_ref,touched_at_ref,norm_level_id,level_id_codex,level_index,level_session,created_at_codex,expiry_at_codex,sess_date,year,side_codex,sign,level_codex,touched_at_codex,anchor,cutoff,entry_allowed,has_anchor,has_cutoff,_merge
0_lower,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,lower,6373.490089482037,,0_lower,,,,,,,,,,,,,,,,,left_only
1000_upper,1000,2021-11-22,2021-11-22 10:30:00-05:00,2021-12-20 10:30:00-05:00,upper,16894.35476143809,,1000_upper,,,,,,,,,,,,,,,,,left_only
1001_upper,1001,2021-11-23,2021-11-23 10:30:00-05:00,2021-12-21 10:30:00-05:00,upper,16602.098581775805,,1001_upper,,,,,,,,,,,,,,,,,left_only
1003_upper,1003,2021-11-25,2021-11-25 10:30:00-05:00,2021-12-23 10:30:00-05:00,upper,16560.188307727556,,1003_upper,,,,,,,,,,,,,,,,,left_only
1004_upper,1004,2021-11-26,2021-11-26 10:30:00-05:00,2021-12-27 10:30:00-05:00,upper,16511.655832947203,,1004_upper,1004:upper,1004.0,2021-11-26,2021-11-26 10:30:00-05:00,2021-12-27 10:30:00-05:00,2021-12-27,2021.0,upper,-1.0,16511.655832947203,2021-12-27 10:30:00-05:00,103.5,2021-12-27 15:00:00-05:00,True,True,True,both
100_lower,100,2018-05-23,2018-05-23 10:30:00-04:00,2018-06-20 10:30:00-04:00,lower,6792.507865165946,,100_lower,,,,,,,,,,,,,,,,,left_only
1010_lower,1010,2021-12-06,2021-12-06 10:30:00-05:00,2022-01-04 10:30:00-05:00,lower,15341.157446059236,,1010_lower,,,,,,,,,,,,,,,,,left_only
1014_upper,1014,2021-12-10,2021-12-10 10:30:00-05:00,2022-01-10 10:30:00-05:00,upper,16514.47586666108,2021-12-27 10:33:00-05:00,1014_upper,1014:upper,1014.0,2021-12-10,2021-12-10 10:30:00-05:00,2022-01-10 10:30:00-05:00,2021-12-27,2021.0,upper,-1.0,16513.72586666108,2021-12-27 10:30:00-05:00,103.5,2021-12-27 15:00:00-05:00,True,True,True,both
101_lower,101,2018-05-24,2018-05-24 10:30:00-04:00,2018-06-21 10:30:00-04:00,lower,6876.5556672694165,,101_lower,,,,,,,,,,,,,,,,,left_only
101_upper,101,2018-05-24,2018-05-24 10:30:00-04:00,2018-06-21 10:30:00-04:00,upper,7020.8193327305835,2018-05-31 11:41:00-04:00,101_upper,101:upper,101.0,2018-05-24,2018-05-24 10:30:00-04:00,2018-06-21 10:30:00-04:00,2018-05-28,2018.0,upper,-1.0,7020.8193327305835,2018-05-28 00:26:00-04:00,8.25,2018-05-28 15:00:00-04:00,True,True,True,both
1025_upper,1025,2021-12-28,2021-12-28 10:30:00-05:00,2022-01-25 10:30:00-05:00,upper,16789.716829631674,,1025_upper,,,,,,,,,,,,,,,,,left_only
1026_upper,1026,2021-12-29,2021-12-29 10:30:00-05:00,2022-01-26 10:30:00-05:00,upper,16728.14985866561,,1026_upper,,,,,,,,,,,,,,,,,left_only
1027_upper,1027,2021-12-30,2021-12-30 10:30:00-05:00,2022-01-27 10:30:00-05:00,upper,16702.91024425125,,1027_upper,,,,,,,,,,,,,,,,,left_only
1028_upper,1028,2021-12-31,2021-12-31 10:30:00-05:00,2022-01-28 10:30:00-05:00,upper,16613.365709311467,,1028_upper,,,,,,,,,,,,,,,,,left_only
1029_upper,1029,2022-01-03,2022-01-03 10:30:00-05:00,2022-01-31 10:30:00-05:00,upper,16651.24424406671,,1029_upper,,,,,,,,,,,,,,,,,left_only
102_upper,102,2018-05-25,2018-05-25 10:30:00-04:00,2018-06-22 10:30:00-04:00,upper,7020.702277372695,2018-05-31 11:41:00-04:00,102_upper,102:upper,102.0,2018-05-25,2018-05-25 10:30:00-04:00,2018-06-22 10:30:00-04:00,2018-05-28,2018.0,upper,-1.0,7020.702277372695,2018-05-28 00:26:00-04:00,8.25,2018-05-28 15:00:00-04:00,True,True,True,both
1030_upper,1030,2022-01-04,2022-01-04 10:30:00-05:00,2022-02-01 10:30:00-05:00,upper,16706.107182731805,,1030_upper,,,,,,,,,,,,,,,,,left_only
1031_upper,1031,2022-01-05,2022-01-05 10:30:00-05:00,2022-02-02 10:30:00-05:00,upper,16422.487513730935,,1031_upper,,,,,,,,,,,,,,,,,left_only
1032_upper,1032,2022-01-06,2022-01-06 10:30:00-05:00,2022-02-03 10:30:00-05:00,upper,16041.497956947846,,1032_upper,,,,,,,,,,,,,,,,,left_only
1033_upper,1033,2022-01-07,2022-01-07 10:30:00-05:00,2022-02-04 10:30:00-05:00,upper,16029.618413200533,,1033_upper,,,,,,,,,,,,,,,,,left_only
1036_upper,1036,2022-01-12,2022-01-12 10:30:00-05:00,2022-02-09 10:30:00-05:00,upper,16172.861727604915,,1036_upper,,,,,,,,,,,,,,,,,left_only
1037_upper,1037,2022-01-13,2022-01-13 10:30:00-05:00,2022-02-10 10:30:00-05:00,upper,16170.826306831586,,1037_upper,,,,,,,,,,,,,,,,,left_only
1038_upper,1038,2022-01-14,2022-01-14 10:30:00-05:00,2022-02-11 10:30:00-05:00,upper,15753.394529937035,,1038_upper,,,,,,,,,,,,,,,,,left_only
1039_upper,1039,2022-01-17,2022-01-17 10:30:00-05:00,2022-02-14 10:30:00-05:00,upper,15779.572463106602,,1039_upper,,,,,,,,,,,,,,,,,left_only
1040_upper,1040,2022-01-18,2022-01-18 10:30:00-05:00,2022-02-15 10:30:00-05:00,upper,15612.41588863101,,1040_upper,,,,,,,,,,,,,,,,,left_only
1041_upper,1041,2022-01-19,2022-01-19 10:30:00-05:00,2022-02-16 10:30:00-05:00,upper,15540.730458910595,,1041_upper,,,,,,,,,,,,,,,,,left_only
1042_upper,1042,2022-01-20,2022-01-20 10:30:00-05:00,2022-02-17 10:30:00-05:00,upper,15455.183473815605,,1042_upper,,,,,,,,,,,,,,,,,left_only
104_lower,104,2018-05-29,2018-05-29 10:30:00-04:00,2018-06-26 10:30:00-04:00,lower,6866.679818204588,,104_lower,,,,,,,,,,,,,,,,,left_only
1051_upper,1051,2022-02-02,2022-02-02 10:30:00-05:00,2022-03-02 10:30:00-05:00,upper,15399.958726868334,,1051_upper,,,,,,,,,,,,,,,,,left_only
1056_upper,1056,2022-02-09,2022-02-09 10:30:00-05:00,2022-03-09 10:30:00-05:00,upper,15134.779870791575,,1056_upper,,,,,,,,,,,,,,,,,left_only
1057_upper,1057,2022-02-10,2022-02-10 10:30:00-05:00,2022-03-10 10:30:00-05:00,upper,15134.83427177959,,1057_upper,,,,,,,,,,,,,,,,,left_only
1058_upper,1058,2022-02-11,2022-02-11 10:30:00-05:00,2022-03-11 10:30:00-05:00,upper,14980.41643790407,,1058_upper,,,,,,,,,,,,,,,,,left_only
105_lower,105,2018-05-30,2018-05-30 10:30:00-04:00,2018-06-27 10:30:00-04:00,lower,6901.774734242919,,105_lower,,,,,,,,,,,,,,,,,left_only
