level_id,level_idx,session_date,created_at,expiry_at,side,level,touched_at
0_upper,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,upper,6517.166365484415,2018-01-02 15:43:00-05:00
0_lower,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,lower,6385.458634515585,
1_upper,1,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,upper,6583.732031449805,2018-01-03 12:44:00-05:00
1_lower,1,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,lower,6490.017968550195,
2_upper,2,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,upper,6640.6989992394265,2018-01-05 10:56:00-05:00
2_lower,2,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,lower,6568.1760007605735,
3_upper,3,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,upper,6655.15815901904,2018-01-05 13:44:00-05:00
3_lower,3,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,lower,6595.09184098096,
4_upper,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,upper,6695.030708775079,2018-01-09 04:01:00-05:00
4_lower,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,lower,6635.594291224921,2018-01-10 09:54:00-05:00
5_upper,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,upper,6734.76894561514,2018-01-12 01:43:00-05:00
5_lower,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,lower,6651.35605438486,2018-01-10 05:49:00-05:00
6_upper,6,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,upper,6695.905022365327,2018-01-11 07:28:00-05:00
6_lower,6,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,lower,6609.719977634673,2018-02-05 15:04:00-05:00
7_upper,7,2018-01-11,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,upper,6711.393660730698,2018-01-11 13:10:00-05:00
