sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2018-01-03,2018,upper,2018-01-03 09:38:00-05:00,6543.43630585107,6.5,9.75,-9.75,SL
2018-01-04,2018,upper,2018-01-04 08:24:00-05:00,6611.406277161712,8.25,12.375,12.375,TP
2018-01-08,2018,upper,2018-01-08 10:32:00-05:00,6682.08037944925,19.0,28.5,-0.0,BE
2018-01-12,2018,upper,2018-01-12 10:39:00-05:00,6744.892391138648,24.25,36.375,-20.607608861351764,cutoff
2018-01-15,2018,upper,2018-01-14 19:00:00-05:00,6790.755839475558,13.0,19.5,-0.0,BE
2018-01-16,2018,upper,2018-01-16 09:40:00-05:00,6833.663308676358,7.5,11.25,-11.25,SL
2018-01-19,2018,upper,2018-01-19 05:20:00-05:00,6852.268965653752,21.75,32.625,-0.0,BE
2018-02-05,2018,lower,2018-02-05 07:12:00-05:00,6696.606034346248,28.75,43.125,43.125,TP
2018-01-22,2018,upper,2018-01-22 10:36:00-05:00,6885.591605776429,23.75,35.625,-0.0,BE
2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,6877.062434349662,32.75,49.125,-49.125,SL
2018-02-02,2018,lower,2018-02-02 05:10:00-05:00,6864.419096939626,31.0,46.5,0.0,BE
2018-02-01,2018,lower,2018-02-01 09:14:00-05:00,6898.483582991299,53.75,80.625,80.625,TP
2018-01-30,2018,lower,2018-01-29 23:13:00-05:00,6943.19390570406,50.0,75.0,0.0,BE
2018-02-02,2018,lower,2018-02-02 06:36:00-05:00,6848.571966086063,17.25,25.875,25.875,TP
2018-02-01,2018,lower,2018-02-01 08:49:00-05:00,6915.840667886811,14.0,21.0,21.0,TP
2018-02-27,2018,upper,2018-02-26 20:45:00-05:00,7008.6357981116635,7.0,10.5,10.5,TP
2018-02-02,2018,lower,2018-02-02 09:54:00-05:00,6841.8642018883365,37.75,56.625,0.0,BE
2018-02-08,2018,lower,2018-02-08 10:55:00-05:00,6484.40448915495,69.0,103.5,0.0,BE
