level_id,session_date,created_at,expiry_at,physical_touch,side,eligibility,skip_reason,position_state,sal_state,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
0_upper,2018-01-03,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,2018-01-03 09:38:00-05:00,upper,executed,,flat,inactive,2018-01-03 09:38:00-05:00,2018-01-03 09:51:00-05:00,6543.43630585107,6553.18630585107,6.5,9.75,SL,-9.75
1_upper,2018-01-04,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,2018-01-04 08:24:00-05:00,upper,executed,,flat,inactive,2018-01-04 08:24:00-05:00,2018-01-04 09:40:00-05:00,6611.406277161712,6599.031277161712,8.25,12.375,TP,12.375
2_upper,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,2018-01-05 16:14:00-05:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
3_upper,2018-01-08,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,2018-01-08 10:32:00-05:00,upper,executed,,flat,inactive,2018-01-08 10:32:00-05:00,2018-01-08 11:18:00-05:00,6682.08037944925,6682.08037944925,19.0,28.5,BE,-0.0
4_upper,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-11 16:06:00-05:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
6_upper,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,2018-01-11 16:32:00-05:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
7_upper,2018-01-12,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,2018-01-12 10:39:00-05:00,upper,executed,,flat,inactive,2018-01-12 10:39:00-05:00,2018-01-12 15:00:00-05:00,6744.892391138648,6765.5,24.25,36.375,cutoff,-20.607608861351764
5_upper,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-12 12:51:00-05:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
8_upper,2018-01-15,2018-01-12 10:30:00-05:00,2018-02-09 10:30:00-05:00,2018-01-14 19:00:00-05:00,upper,executed,,flat,inactive,2018-01-14 19:00:00-05:00,2018-01-14 22:25:00-05:00,6790.755839475558,6790.755839475558,13.0,19.5,BE,-0.0
9_upper,2018-01-16,2018-01-15 10:30:00-05:00,2018-02-12 10:30:00-05:00,2018-01-16 09:40:00-05:00,upper,executed,,flat,inactive,2018-01-16 09:40:00-05:00,2018-01-16 09:48:00-05:00,6833.663308676358,6844.913308676358,7.5,11.25,SL,-11.25
10_lower,2018-01-16,2018-01-16 10:30:00-05:00,2018-02-13 10:30:00-05:00,2018-01-16 14:40:00-05:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
11_upper,2018-01-19,2018-01-17 10:30:00-05:00,2018-02-14 10:30:00-05:00,2018-01-19 05:20:00-05:00,upper,executed,,flat,inactive,2018-01-19 05:20:00-05:00,2018-01-19 09:39:00-05:00,6852.268965653752,6852.268965653752,21.75,32.625,BE,-0.0
12_upper,2018-01-22,2018-01-18 10:30:00-05:00,2018-02-15 10:30:00-05:00,2018-01-22 10:36:00-05:00,upper,executed,,flat,inactive,2018-01-22 10:36:00-05:00,2018-01-22 11:59:00-05:00,6885.591605776429,6885.591605776429,23.75,35.625,BE,-0.0
10_upper,2018-01-16,2018-01-16 10:30:00-05:00,2018-02-13 10:30:00-05:00,2018-01-22 11:59:00-05:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
