level_id,session_date,created_at,expiry_at,physical_touch,side,eligibility,skip_reason,position_state,sal_state,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
0_upper,2018-01-03,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,2018-01-03 03:21:00-05:00,upper,executed,,flat,inactive,2018-01-03 03:21:00-05:00,2018-01-03 08:55:00-05:00,6527.385270858703,6521.010270858703,4.25,6.375,TP,6.375
1_upper,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,2018-01-03 12:51:00-05:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
2_upper,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,2018-01-05 11:16:00-05:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
3_upper,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,2018-01-05 15:48:00-05:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
4_upper,2018-01-09,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-09 08:28:00-05:00,upper,executed,,flat,inactive,2018-01-09 08:28:00-05:00,2018-01-09 09:35:00-05:00,6701.613486663663,6692.988486663663,5.75,8.625,TP,8.625
5_lower,2018-01-10,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-10 05:59:00-05:00,lower,executed,,flat,inactive,2018-01-10 05:59:00-05:00,2018-01-10 07:02:00-05:00,6644.602837157447,6644.602837157447,7.0,10.5,BE,0.0
4_lower,2018-01-10,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-10 10:02:00-05:00,lower,executed,,flat,inactive,2018-01-10 10:02:00-05:00,2018-01-10 15:00:00-05:00,6629.011513336337,6662.0,35.5,53.25,cutoff,32.988486663663025
6_upper,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,2018-01-11 12:37:00-05:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
7_upper,2018-01-11,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,2018-01-11 16:00:00-05:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
5_upper,2018-01-12,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-12 03:25:00-05:00,upper,executed,,flat,inactive,2018-01-12 03:25:00-05:00,2018-01-12 04:13:00-05:00,6741.522162842553,6741.522162842553,6.25,9.375,BE,-0.0
