level_id,session_date,created_at,expiry_at,physical_touch,side,eligibility,skip_reason,position_state,sal_state,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
1_lower,2023-06-02,2023-06-02 10:00:00-04:00,2023-06-30 10:00:00-04:00,2023-06-02 14:02:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
0_lower,2023-06-01,2023-06-01 10:00:00-04:00,2023-06-29 10:00:00-04:00,2023-06-02 14:04:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
2_upper,2023-06-06,2023-06-05 10:00:00-04:00,2023-07-03 10:00:00-04:00,2023-06-06 08:20:00-04:00,upper,executed,,flat,inactive,2023-06-06 08:20:00-04:00,2023-06-06 08:30:00-04:00,1981.5674050331797,1978.4174050331799,2.099999999999909,3.1499999999998636,TP,3.1499999999998636
3_lower,2023-06-06,2023-06-06 10:00:00-04:00,2023-07-04 10:00:00-04:00,2023-06-07 12:18:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
4_lower,2023-06-07,2023-06-07 10:00:00-04:00,2023-07-05 10:00:00-04:00,2023-06-07 12:18:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
6_lower,2023-06-09,2023-06-09 10:00:00-04:00,2023-07-07 10:00:00-04:00,2023-06-13 08:30:00-04:00,lower,skipped,simultaneous_collision,flat,inactive,,,,,,,,
5_lower,2023-06-13,2023-06-08 10:00:00-04:00,2023-07-06 10:00:00-04:00,2023-06-13 08:30:00-04:00,lower,executed,,flat,inactive,2023-06-13 08:30:00-04:00,2023-06-13 08:31:00-04:00,1959.9274399757337,1964.4274399757337,3.0,4.5,TP,4.5
8_lower,2023-06-13,2023-06-13 10:00:00-04:00,2023-07-11 10:00:00-04:00,2023-06-13 15:00:00-04:00,lower,skipped,no_cutoff,n/a,n/a,,,,,,,,
7_lower,2023-06-12,2023-06-12 10:00:00-04:00,2023-07-10 10:00:00-04:00,2023-06-13 15:07:00-04:00,lower,skipped,no_cutoff,n/a,n/a,,,,,,,,
9_lower,2023-06-14,2023-06-14 10:00:00-04:00,2023-07-12 10:00:00-04:00,2023-06-14 14:01:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
2_lower,2023-06-15,2023-06-05 10:00:00-04:00,2023-07-03 10:00:00-04:00,2023-06-14 21:33:00-04:00,lower,executed,,flat,inactive,2023-06-14 21:33:00-04:00,2023-06-15 09:46:00-04:00,1946.3825949668205,1960.7825949668209,9.600000000000136,14.400000000000205,TP,14.400000000000205
10_upper,2023-06-16,2023-06-15 10:00:00-04:00,2023-07-13 10:00:00-04:00,2023-06-16 04:46:00-04:00,upper,executed,,flat,inactive,2023-06-16 04:46:00-04:00,2023-06-16 09:30:00-04:00,1975.9287513078502,1970.5287513078504,3.599999999999909,5.399999999999864,TP,5.399999999999864
11_lower,2023-06-20,2023-06-16 10:00:00-04:00,2023-07-14 10:00:00-04:00,2023-06-20 09:01:00-04:00,lower,executed,,flat,inactive,2023-06-20 09:01:00-04:00,2023-06-20 15:00:00-04:00,1955.2586239627099,1949.6,10.899999999999864,16.349999999999795,cutoff,-5.658623962709953
12_lower,2023-06-19,2023-06-19 10:00:00-04:00,2023-07-17 10:00:00-04:00,2023-06-20 09:10:00-04:00,lower,skipped,position_open,open,active,,,,,,,,
10_lower,2023-06-21,2023-06-15 10:00:00-04:00,2023-07-13 10:00:00-04:00,2023-06-21 09:08:00-04:00,lower,executed,,flat,inactive,2023-06-21 09:08:00-04:00,2023-06-21 10:04:00-04:00,1936.4212486921497,1936.4212486921497,9.700000000000045,14.550000000000068,BE,0.0
13_lower,2023-06-20,2023-06-20 10:00:00-04:00,2023-07-18 10:00:00-04:00,2023-06-21 09:39:00-04:00,lower,skipped,position_open,open,inactive,,,,,,,,
15_upper,2023-06-23,2023-06-22 10:00:00-04:00,2023-07-20 10:00:00-04:00,2023-06-23 09:45:00-04:00,upper,executed,,flat,inactive,2023-06-23 09:45:00-04:00,2023-06-23 12:00:00-04:00,1947.4096151635335,1930.7596151635335,11.100000000000136,16.650000000000205,TP,16.650000000000205
16_lower,2023-06-23,2023-06-23 10:00:00-04:00,2023-07-21 10:00:00-04:00,2023-06-23 12:42:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
