timeframe,RR,gated,n_touches,n_decided,net_pts,avg_pts_per_trade,PF,win_rate,TP,SL
5min,0.3,False,1014,1012,1004.04,0.992,2.5669,0.8449,855,157
5min,0.3,True,8,8,0.34,0.043,1.1172,0.625,5,3
5min,0.5,False,1014,1004,1063.65,1.059,1.8371,0.741,744,260
5min,0.5,True,8,8,2.5,0.312,1.8621,0.625,5,3
5min,0.75,False,1014,1002,1407.9,1.405,1.8125,0.6547,656,346
5min,0.75,True,8,8,5.2,0.65,2.7931,0.625,5,3
5min,1.0,False,1014,996,1605.6,1.612,1.7542,0.5773,575,421
5min,1.0,True,8,8,7.9,0.987,3.7241,0.625,5,3
30min,0.3,False,1014,986,1339.55,1.359,1.8158,0.8327,821,165
30min,0.3,True,8,8,9.55,1.194,5.775,0.75,6,2
30min,0.5,False,1014,952,1164.1,1.223,1.4052,0.7153,681,271
30min,0.5,True,8,7,13.05,1.864,7.525,0.7143,5,2
30min,0.75,False,1014,905,1131.95,1.251,1.3062,0.6033,546,359
30min,0.75,True,8,7,15.15,2.164,3.9706,0.5714,4,3
30min,1.0,False,1014,863,391.8,0.454,1.0902,0.5064,437,426
30min,1.0,True,8,7,10.7,1.529,2.0,0.4286,3,4
1h,0.3,False,1014,945,1119.96,1.185,1.4646,0.8085,764,181
1h,0.3,True,8,8,6.68,0.835,2.67,0.75,6,2
1h,0.5,False,1014,871,533.15,0.612,1.1385,0.6889,600,271
1h,0.5,True,8,7,9.55,1.364,3.3875,0.7143,5,2
1h,0.75,False,1014,798,94.2,0.118,1.02,0.5764,460,338
1h,0.75,True,8,7,3.72,0.532,1.3326,0.5714,4,3
1h,1.0,False,1014,750,-381.9,-0.509,0.927,0.4867,365,385
1h,1.0,True,8,7,4.9,0.7,1.374,0.4286,3,4
4h,0.3,False,624,547,875.38,1.6,1.548,0.8537,467,80
4h,0.3,True,5,5,3.53,0.706,1.5043,0.8,4,1
4h,0.5,False,624,498,559.45,1.123,1.2271,0.7289,363,135
4h,0.5,True,5,5,10.55,2.11,2.5071,0.8,4,1
4h,0.75,False,624,446,68.95,0.155,1.0225,0.6188,276,170
4h,0.75,True,5,5,19.32,3.865,3.7607,0.8,4,1
4h,1.0,False,624,410,-218.5,-0.533,0.9334,0.522,214,196
4h,1.0,True,5,4,22.8,5.7,4.2571,0.75,3,1
