level_id,session_date,created_at,expiry_at,physical_touch,side,eligibility,skip_reason,position_state,sal_state,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
0_upper,2018-01-03,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,2018-01-03 04:06:00-05:00,upper,executed,,flat,inactive,2018-01-03 04:06:00-05:00,2018-01-03 04:53:00-05:00,6529.134910517963,6529.134910517963,5.75,8.625,BE,-0.0
1_upper,2018-01-04,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,2018-01-03 19:09:00-05:00,upper,executed,,flat,inactive,2018-01-03 19:09:00-05:00,2018-01-03 20:12:00-05:00,6591.363648739487,6582.363648739487,6.0,9.0,TP,9.0
2_upper,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,2018-01-05 11:17:00-05:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
3_upper,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,2018-01-05 15:48:00-05:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
4_upper,2018-01-09,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-09 08:26:00-05:00,upper,executed,,flat,inactive,2018-01-09 08:26:00-05:00,2018-01-09 09:35:00-05:00,6700.852925468027,6692.227925468027,5.75,8.625,TP,8.625
5_lower,2018-01-10,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-10 05:59:00-05:00,lower,executed,,flat,inactive,2018-01-10 05:59:00-05:00,2018-01-10 06:24:00-05:00,6644.365418961772,6654.865418961772,7.0,10.5,TP,10.5
4_lower,2018-01-10,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-10 10:02:00-05:00,lower,executed,,flat,inactive,2018-01-10 10:02:00-05:00,2018-01-10 15:00:00-05:00,6629.772074531973,6662.0,35.5,53.25,cutoff,32.227925468027024
6_upper,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,2018-01-11 12:38:00-05:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
7_upper,2018-01-11,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,2018-01-11 16:06:00-05:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
5_upper,2018-01-12,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-12 03:25:00-05:00,upper,executed,,flat,inactive,2018-01-12 03:25:00-05:00,2018-01-12 04:13:00-05:00,6741.759581038228,6741.759581038228,6.25,9.375,BE,-0.0
