candidate,year,n,net_pts,PF,avg_pts_per_trade,median_pts_per_trade,avg_winner_pts,avg_loser_pts,payoff_ratio,max_drawdown,avg_cap_norm_pnl,pct_of_pooled_net_pts
ctrl_BE45,2018,141,240.24,1.1735,1.704,0.0,28.505,-30.099,0.947,-235.61,0.0971,5.95
ctrl_BE45,2020,156,971.0,1.3106,6.224,0.0,81.937,-54.84,1.494,-721.54,-0.0161,24.04
ctrl_BE45,2023,137,88.17,1.0294,0.644,0.0,58.199,-61.151,0.952,-702.32,0.0548,2.18
ctrl_BE45,2026,73,2740.36,2.9494,37.539,0.746,112.056,-82.689,1.355,-355.12,0.2834,67.83
ctrl_BE45,ALL,507,4039.77,1.4533,7.968,0.0,65.748,-52.737,1.247,-721.54,0.0777,
ctrl_BE45,ALL_ex2026,434,1299.41,1.1731,2.994,0.0,55.039,-49.387,1.114,-721.54,0.0431,
ctrl_noBE,2018,133,-174.93,0.9157,-1.315,7.5,27.537,-32.422,0.849,-702.77,0.0579,-4.09
ctrl_noBE,2020,143,980.49,1.2336,6.857,1.72,71.915,-59.118,1.216,-538.52,0.0291,22.92
ctrl_noBE,2023,131,610.74,1.1776,4.662,22.875,57.024,-57.3,0.995,-552.88,0.1273,14.28
ctrl_noBE,2026,70,2861.54,2.2537,40.879,71.812,116.908,-87.785,1.332,-423.81,0.2841,66.89
ctrl_noBE,ALL,477,4277.83,1.3567,8.968,9.375,63.557,-54.266,1.171,-702.77,0.1015,
ctrl_noBE,ALL_ex2026,407,1416.29,1.1459,3.48,7.875,52.484,-49.797,1.054,-702.77,0.0701,
bc_BE30,2018,144,-20.01,0.9863,-0.139,0.0,27.734,-31.787,0.873,-414.06,0.0625,-0.46
bc_BE30,2020,155,996.37,1.315,6.428,0.0,78.488,-57.518,1.365,-542.05,0.0153,22.97
bc_BE30,2023,139,630.15,1.2333,4.533,0.0,61.682,-64.301,0.959,-512.83,0.1006,14.53
bc_BE30,2026,74,2731.17,2.7715,36.908,0.0,118.691,-85.651,1.386,-345.0,0.2745,62.96
bc_BE30,ALL,512,4337.67,1.4891,8.472,0.0,67.722,-55.081,1.229,-542.05,0.0892,
bc_BE30,ALL_ex2026,438,1606.51,1.2193,3.668,0.0,56.181,-51.233,1.097,-542.05,0.0579,
bc_BE45,2018,141,240.24,1.1735,1.704,0.0,28.505,-30.099,0.947,-235.61,0.0971,5.95
bc_BE45,2020,156,971.0,1.3106,6.224,0.0,81.937,-54.84,1.494,-721.54,-0.0161,24.04
bc_BE45,2023,137,88.17,1.0294,0.644,0.0,58.199,-61.151,0.952,-702.32,0.0548,2.18
bc_BE45,2026,73,2740.36,2.9494,37.539,0.746,112.056,-82.689,1.355,-355.12,0.2834,67.83
bc_BE45,ALL,507,4039.77,1.4533,7.968,0.0,65.748,-52.737,1.247,-721.54,0.0777,
bc_BE45,ALL_ex2026,434,1299.41,1.1731,2.994,0.0,55.039,-49.387,1.114,-721.54,0.0431,
