level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through
0_upper,2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,2018-01-03 06:10:00-05:00,6529.134910517963,6529.134910517963,6529.134910517963,5.75,8.625,BE,-0.0,False
1_upper,2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,2018-01-03 20:12:00-05:00,6591.363648739487,6582.363648739487,6591.363648739487,6.0,9.0,TP,9.0,False
4_upper,2018-01-09,2018,upper,2018-01-09 08:26:00-05:00,2018-01-09 09:27:00-05:00,6700.852925468027,6700.852925468027,6700.852925468027,5.75,8.625,BE,-0.0,False
5_lower,2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,2018-01-10 06:24:00-05:00,6644.365418961772,6654.865418961772,6644.365418961772,7.0,10.5,TP,10.5,False
4_lower,2018-01-10,2018,lower,2018-01-10 10:02:00-05:00,2018-01-10 15:00:00-05:00,6629.772074531973,6662.0,6629.772074531973,35.5,53.25,cutoff,32.227925468027024,False
5_upper,2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,2018-01-12 07:44:00-05:00,6741.759581038228,6732.384581038228,6741.759581038228,6.25,9.375,TP,9.375,False
9_upper,2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,2018-01-16 09:35:00-05:00,6809.770647884909,6826.270647884909,6809.770647884909,11.0,16.5,SL,-16.5,False
12_upper,2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,2018-01-22 12:05:00-05:00,6862.577746742863,6898.202746742863,6862.577746742863,23.75,35.625,SL,-35.625,False
15_upper,2018-01-24,2018,upper,2018-01-24 10:14:00-05:00,2018-01-24 11:13:00-05:00,6998.255469793344,6955.880469793344,6998.255469793344,28.25,42.375,TP,42.375,False
19_lower,2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,2018-01-29 22:56:00-05:00,6956.366742923148,6964.616742923148,6956.366742923148,5.5,8.25,TP,8.25,False
18_lower,2018-01-30,2018,lower,2018-01-30 10:05:00-05:00,2018-01-30 11:09:00-05:00,6909.722612509674,6964.847612509674,6909.722612509674,36.75,55.125,TP,55.125,False
17_lower,2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,2018-02-02 10:01:00-05:00,6880.975997086674,6831.850997086674,6880.975997086674,32.75,49.125,SL,-49.125,False
25_upper,2018-02-07,2018,upper,2018-02-07 10:08:00-05:00,2018-02-07 13:06:00-05:00,6684.944584107352,6617.819584107352,6684.944584107352,44.75,67.125,TP,67.125,False
27_lower,2018-02-08,2018,lower,2018-02-08 10:54:00-05:00,2018-02-08 12:08:00-05:00,6489.755992857791,6489.755992857791,6489.755992857791,69.0,103.5,BE,0.0,False
28_upper,2018-02-12,2018,upper,2018-02-12 09:44:00-05:00,2018-02-12 10:13:00-05:00,6513.528021066135,6463.653021066135,6513.528021066135,33.25,49.875,TP,49.875,False
30_upper,2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,2018-02-14 03:35:00-05:00,6590.569710186437,6590.569710186437,6590.569710186437,8.0,12.0,BE,-0.0,False
34_lower,2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,2018-02-20 06:23:00-05:00,6727.800168995409,6727.800168995409,6727.800168995409,34.0,51.0,BE,0.0,False
35_lower,2018-03-02,2018,lower,2018-03-02 08:01:00-05:00,2018-03-02 09:12:00-05:00,6674.644394150568,6674.644394150568,6674.644394150568,44.5,66.75,BE,0.0,False
32_lower,2018-03-02,2018,lower,2018-03-02 09:44:00-05:00,2018-03-02 10:33:00-05:00,6655.008211491266,6700.383211491266,6655.008211491266,30.25,45.375,TP,45.375,False
46_upper,2018-03-08,2018,upper,2018-03-08 02:11:00-05:00,2018-03-08 05:49:00-05:00,6945.66025015068,6945.66025015068,6945.66025015068,11.0,16.5,BE,-0.0,False
42_upper,2018-03-08,2018,upper,2018-03-08 09:08:00-05:00,2018-03-08 10:04:00-05:00,6967.241668711537,6948.866668711537,6967.241668711537,12.25,18.375,TP,18.375,False
45_upper,2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,2018-03-09 08:30:00-05:00,7000.75,7024.75,6989.60835460164,16.0,24.0,SL,-24.0,True
40_upper,2018-03-09,2018,upper,2018-03-09 08:36:00-05:00,2018-03-09 08:38:00-05:00,7057.28680551017,7047.53680551017,7057.28680551017,6.5,9.75,TP,9.75,False
49_upper,2018-03-13,2018,upper,2018-03-13 09:42:00-04:00,2018-03-13 10:55:00-04:00,7211.202029295153,7160.202029295153,7211.202029295153,34.0,51.0,TP,51.0,False
51_lower,2018-03-15,2018,lower,2018-03-14 21:10:00-04:00,2018-03-15 11:25:00-04:00,7027.927462033644,7095.802462033644,7027.927462033644,45.25,67.875,TP,67.875,False
53_lower,2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,2018-03-18 21:09:00-04:00,7019.536644549242,7006.411644549242,7019.536644549242,8.75,13.125,SL,-13.125,False
48_lower,2018-03-19,2018,lower,2018-03-19 01:09:00-04:00,2018-03-19 01:17:00-04:00,6984.070799723797,6993.445799723797,6984.070799723797,6.25,9.375,TP,9.375,False
55_lower,2018-03-22,2018,lower,2018-03-22 03:59:00-04:00,2018-03-22 05:13:00-04:00,6815.833165584705,6815.833165584705,6815.833165584705,26.75,40.125,BE,0.0,False
46_lower,2018-03-22,2018,lower,2018-03-22 06:50:00-04:00,2018-03-22 08:36:00-04:00,6796.46474984932,6796.46474984932,6796.46474984932,38.0,57.0,BE,0.0,False
58_upper,2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,2018-03-26 21:20:00-04:00,6796.0404081907745,6820.4154081907745,6796.0404081907745,16.25,24.375,SL,-24.375,False
68_upper,2018-04-10,2018,upper,2018-04-09 22:42:00-04:00,2018-04-10 02:31:00-04:00,6618.015361193202,6618.015361193202,6618.015361193202,70.5,105.75,BE,-0.0,False
69_upper,2018-04-12,2018,upper,2018-04-12 09:59:00-04:00,2018-04-12 11:01:00-04:00,6674.120573515432,6674.120573515432,6674.120573515432,11.75,17.625,BE,-0.0,False
71_upper,2018-04-17,2018,upper,2018-04-17 02:19:00-04:00,2018-04-17 04:18:00-04:00,6742.225463751627,6729.475463751627,6742.225463751627,8.5,12.75,TP,12.75,False
73_upper,2018-04-17,2018,upper,2018-04-17 06:13:00-04:00,2018-04-17 07:41:00-04:00,6747.283059462454,6747.283059462454,6747.283059462454,11.25,16.875,BE,-0.0,False
72_upper,2018-04-17,2018,upper,2018-04-17 10:54:00-04:00,2018-04-17 14:52:00-04:00,6791.429923534902,6835.679923534902,6791.429923534902,29.5,44.25,SL,-44.25,False
75_lower,2018-04-20,2018,lower,2018-04-20 03:30:00-04:00,2018-04-20 06:53:00-04:00,6754.992006121582,6776.367006121582,6754.992006121582,14.25,21.375,TP,21.375,False
78_lower,2018-04-24,2018,lower,2018-04-24 10:24:00-04:00,2018-04-24 12:27:00-04:00,6615.554947578565,6543.554947578565,6615.554947578565,48.0,72.0,SL,-72.0,False
80_upper,2018-04-26,2018,upper,2018-04-26 10:04:00-04:00,2018-04-26 14:42:00-04:00,6618.426920574853,6672.051920574853,6618.426920574853,35.75,53.625,SL,-53.625,False
78_upper,2018-04-27,2018,upper,2018-04-27 08:47:00-04:00,2018-04-27 09:31:00-04:00,6767.945052421435,6745.070052421435,6767.945052421435,15.25,22.875,TP,22.875,False
86_upper,2018-05-04,2018,upper,2018-05-04 10:25:00-04:00,2018-05-04 14:21:00-04:00,6692.836225843241,6773.086225843241,6692.836225843241,53.5,80.25,SL,-80.25,False
