level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through
0_upper,2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,2018-01-03 06:10:00-05:00,6529.134910517963,6529.134910517963,6529.134910517963,5.75,8.625,BE,-0.0,False
1_upper,2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,2018-01-03 20:12:00-05:00,6591.363648739487,6582.363648739487,6591.363648739487,6.0,9.0,TP,9.0,False
4_upper,2018-01-09,2018,upper,2018-01-09 08:26:00-05:00,2018-01-09 09:27:00-05:00,6700.852925468027,6700.852925468027,6700.852925468027,5.75,8.625,BE,-0.0,False
5_lower,2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,2018-01-10 06:24:00-05:00,6644.365418961772,6654.865418961772,6644.365418961772,7.0,10.5,TP,10.5,False
4_lower,2018-01-10,2018,lower,2018-01-10 10:02:00-05:00,2018-01-10 15:00:00-05:00,6629.772074531973,6662.0,6629.772074531973,35.5,53.25,cutoff,32.227925468027024,False
5_upper,2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,2018-01-12 07:44:00-05:00,6741.759581038228,6732.384581038228,6741.759581038228,6.25,9.375,TP,9.375,False
9_upper,2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,2018-01-16 09:35:00-05:00,6809.770647884909,6826.270647884909,6809.770647884909,11.0,16.5,SL,-16.5,False
12_upper,2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,2018-01-22 12:05:00-05:00,6862.577746742863,6898.202746742863,6862.577746742863,23.75,35.625,SL,-35.625,False
47_upper,2018-03-09,2018,upper,2018-03-08 20:26:00-05:00,2018-03-08 21:19:00-05:00,7017.325979440954,6995.950979440954,7017.325979440954,14.25,21.375,TP,21.375,False
53_lower,2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,2018-03-18 21:09:00-04:00,7019.536644549242,7006.411644549242,7019.536644549242,8.75,13.125,SL,-13.125,False
71_upper,2018-04-17,2018,upper,2018-04-17 02:19:00-04:00,2018-04-17 04:18:00-04:00,6742.225463751627,6729.475463751627,6742.225463751627,8.5,12.75,TP,12.75,False
75_lower,2018-04-20,2018,lower,2018-04-20 03:30:00-04:00,2018-04-20 06:53:00-04:00,6754.992006121582,6776.367006121582,6754.992006121582,14.25,21.375,TP,21.375,False
78_upper,2018-04-27,2018,upper,2018-04-27 08:47:00-04:00,2018-04-27 09:31:00-04:00,6767.945052421435,6745.070052421435,6767.945052421435,15.25,22.875,TP,22.875,False
94_lower,2018-05-23,2018,lower,2018-05-23 05:42:00-04:00,2018-05-23 09:31:00-04:00,6829.859454475612,6856.859454475612,6829.859454475612,18.0,27.0,TP,27.0,False
94_upper,2018-05-24,2018,upper,2018-05-24 03:19:00-04:00,2018-05-24 04:48:00-04:00,6971.765545524388,6971.765545524388,6971.765545524388,16.5,24.75,BE,-0.0,False
98_upper,2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,2018-05-24 22:37:00-04:00,6988.503726657311,6988.503726657311,6988.503726657311,11.75,17.625,BE,-0.0,False
107_upper,2018-06-04,2018,upper,2018-06-03 20:18:00-04:00,2018-06-04 03:53:00-04:00,7092.43659505992,7115.68659505992,7092.43659505992,15.5,23.25,SL,-23.25,False
114_upper,2018-06-13,2018,upper,2018-06-12 20:23:00-04:00,2018-06-12 21:34:00-04:00,7254.301705073458,7254.301705073458,7254.301705073458,5.25,7.875,BE,-0.0,False
117_lower,2018-06-18,2018,lower,2018-06-18 09:34:00-04:00,2018-06-18 09:48:00-04:00,7214.541889345101,7237.041889345101,7214.541889345101,15.0,22.5,TP,22.5,False
118_lower,2018-06-19,2018,lower,2018-06-19 03:07:00-04:00,2018-06-19 04:26:00-04:00,7172.345652503716,7172.345652503716,7172.345652503716,18.0,27.0,BE,0.0,False
119_upper,2018-06-20,2018,upper,2018-06-19 20:02:00-04:00,2018-06-19 21:03:00-04:00,7262.911183414944,7241.536183414944,7262.911183414944,14.25,21.375,TP,21.375,False
127_lower,2018-07-02,2018,lower,2018-07-02 02:24:00-04:00,2018-07-02 10:39:00-04:00,7021.939275551633,7058.314275551633,7021.939275551633,24.25,36.375,TP,36.375,False
127_upper,2018-07-03,2018,upper,2018-07-03 07:36:00-04:00,2018-07-03 09:30:00-04:00,7161.685724448367,7140.685724448367,7161.685724448367,14.0,21.0,TP,21.0,False
123_upper,2018-07-09,2018,upper,2018-07-08 20:08:00-04:00,2018-07-08 21:14:00-04:00,7245.184324224052,7257.559324224052,7245.184324224052,8.25,12.375,SL,-12.375,False
133_upper,2018-07-10,2018,upper,2018-07-09 20:54:00-04:00,2018-07-09 21:44:00-04:00,7333.438705783388,7322.938705783388,7333.438705783388,7.0,10.5,TP,10.5,False
121_upper,2018-07-13,2018,upper,2018-07-12 23:46:00-04:00,2018-07-13 04:20:00-04:00,7406.569912336632,7397.944912336632,7406.569912336632,5.75,8.625,TP,8.625,False
142_upper,2018-07-24,2018,upper,2018-07-23 19:52:00-04:00,2018-07-23 21:31:00-04:00,7438.102087580435,7438.102087580435,7438.102087580435,10.5,15.75,BE,-0.0,False
137_upper,2018-07-24,2018,upper,2018-07-23 21:45:00-04:00,2018-07-24 03:00:00-04:00,7442.534348931817,7431.284348931817,7442.534348931817,7.5,11.25,TP,11.25,False
140_upper,2018-07-24,2018,upper,2018-07-24 09:36:00-04:00,2018-07-24 11:03:00-04:00,7478.0641178731985,7449.9391178731985,7478.0641178731985,18.75,28.125,TP,28.125,False
153_upper,2018-08-07,2018,upper,2018-08-06 23:02:00-04:00,2018-08-07 00:41:00-04:00,7459.432390640652,7459.432390640652,7459.432390640652,5.5,8.25,BE,-0.0,False
146_upper,2018-08-07,2018,upper,2018-08-07 09:35:00-04:00,2018-08-07 09:44:00-04:00,7482.682503501307,7475.182503501307,7482.682503501307,5.0,7.5,TP,7.5,False
154_upper,2018-08-27,2018,upper,2018-08-26 19:44:00-04:00,2018-08-26 21:10:00-04:00,7522.8484656051105,7522.8484656051105,7522.8484656051105,18.75,28.125,BE,-0.0,False
179_upper,2018-09-12,2018,upper,2018-09-12 03:47:00-04:00,2018-09-12 04:00:00-04:00,7527.395003291416,7537.895003291416,7527.395003291416,7.0,10.5,SL,-10.5,False
176_upper,2018-09-14,2018,upper,2018-09-14 02:25:00-04:00,2018-09-14 09:30:00-04:00,7612.28905045813,7596.53905045813,7612.28905045813,10.5,15.75,TP,15.75,False
187_upper,2018-10-01,2018,upper,2018-09-30 19:08:00-04:00,2018-09-30 20:14:00-04:00,7688.758399715875,7688.758399715875,7688.758399715875,16.0,24.0,BE,-0.0,False
174_upper,2018-10-01,2018,upper,2018-09-30 22:23:00-04:00,2018-10-01 05:11:00-04:00,7704.8601673607645,7716.8601673607645,7704.8601673607645,8.0,12.0,SL,-12.0,False
233_upper,2018-11-28,2018,upper,2018-11-28 01:10:00-05:00,2018-11-28 03:00:00-05:00,6735.842929241806,6725.342929241806,6735.842929241806,7.0,10.5,TP,10.5,False
524_upper,2020-01-17,2020,upper,2020-01-17 04:51:00-05:00,2020-01-17 11:13:00-05:00,9163.275526241003,9136.650526241003,9163.275526241003,17.75,26.625,TP,26.625,False
526_lower,2020-01-21,2020,lower,2020-01-20 21:35:00-05:00,2020-01-21 01:42:00-05:00,9121.972242453598,9121.972242453598,9121.972242453598,39.75,59.625,BE,0.0,False
544_upper,2020-02-14,2020,upper,2020-02-13 22:02:00-05:00,2020-02-14 08:46:00-05:00,9650.077889608092,9618.577889608092,9650.077889608092,21.0,31.5,TP,31.5,False
