level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through
1_upper,2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,2018-01-03 20:12:00-05:00,6591.363648739487,6582.363648739487,6591.363648739487,6.0,9.0,TP,9.0,False
19_lower,2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,2018-01-29 22:56:00-05:00,6956.366742923148,6964.616742923148,6956.366742923148,5.5,8.25,TP,8.25,False
30_upper,2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,2018-02-14 03:35:00-05:00,6590.569710186437,6590.569710186437,6590.569710186437,8.0,12.0,BE,-0.0,False
46_upper,2018-03-08,2018,upper,2018-03-08 02:11:00-05:00,2018-03-08 05:49:00-05:00,6945.66025015068,6945.66025015068,6945.66025015068,11.0,16.5,BE,-0.0,False
45_upper,2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,2018-03-09 08:30:00-05:00,7000.75,7024.75,6989.60835460164,16.0,24.0,SL,-24.0,True
51_lower,2018-03-15,2018,lower,2018-03-14 21:10:00-04:00,2018-03-15 11:25:00-04:00,7027.927462033644,7095.802462033644,7027.927462033644,45.25,67.875,TP,67.875,False
53_lower,2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,2018-03-18 21:09:00-04:00,7019.536644549242,7006.411644549242,7019.536644549242,8.75,13.125,SL,-13.125,False
48_lower,2018-03-19,2018,lower,2018-03-19 01:09:00-04:00,2018-03-19 01:17:00-04:00,6984.070799723797,6993.445799723797,6984.070799723797,6.25,9.375,TP,9.375,False
58_upper,2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,2018-03-26 21:20:00-04:00,6796.0404081907745,6820.4154081907745,6796.0404081907745,16.25,24.375,SL,-24.375,False
68_upper,2018-04-10,2018,upper,2018-04-09 22:42:00-04:00,2018-04-10 02:31:00-04:00,6618.015361193202,6618.015361193202,6618.015361193202,70.5,105.75,BE,-0.0,False
71_upper,2018-04-17,2018,upper,2018-04-17 02:19:00-04:00,2018-04-17 04:18:00-04:00,6742.225463751627,6729.475463751627,6742.225463751627,8.5,12.75,TP,12.75,False
77_upper,2018-05-07,2018,upper,2018-05-07 00:30:00-04:00,2018-05-07 01:32:00-04:00,6828.16377343615,6828.16377343615,6828.16377343615,8.5,12.75,BE,-0.0,False
98_lower,2018-05-23,2018,lower,2018-05-22 21:51:00-04:00,2018-05-23 03:24:00-04:00,6878.121273342689,6862.746273342689,6878.121273342689,10.25,15.375,SL,-15.375,False
98_upper,2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,2018-05-24 22:37:00-04:00,6988.503726657311,6988.503726657311,6988.503726657311,11.75,17.625,BE,-0.0,False
103_lower,2018-05-29,2018,lower,2018-05-29 02:47:00-04:00,2018-05-29 03:15:00-04:00,6935.904766379892,6955.029766379892,6935.904766379892,12.75,19.125,TP,19.125,False
107_upper,2018-06-04,2018,upper,2018-06-03 20:18:00-04:00,2018-06-04 03:53:00-04:00,7092.43659505992,7115.68659505992,7092.43659505992,15.5,23.25,SL,-23.25,False
110_upper,2018-06-07,2018,upper,2018-06-07 02:32:00-04:00,2018-06-07 03:05:00-04:00,7231.326699234774,7226.451699234774,7231.326699234774,3.25,4.875,TP,4.875,False
114_upper,2018-06-13,2018,upper,2018-06-12 20:23:00-04:00,2018-06-12 21:34:00-04:00,7254.301705073458,7254.301705073458,7254.301705073458,5.25,7.875,BE,-0.0,False
116_lower,2018-06-19,2018,lower,2018-06-18 21:55:00-04:00,2018-06-19 02:00:00-04:00,7207.821104982877,7187.946104982877,7207.821104982877,13.25,19.875,SL,-19.875,False
119_upper,2018-06-20,2018,upper,2018-06-19 20:02:00-04:00,2018-06-19 21:03:00-04:00,7262.911183414944,7241.536183414944,7262.911183414944,14.25,21.375,TP,21.375,False
116_upper,2018-06-21,2018,upper,2018-06-20 21:57:00-04:00,2018-06-20 22:19:00-04:00,7342.428895017123,7357.053895017123,7342.428895017123,9.75,14.625,SL,-14.625,False
126_upper,2018-06-29,2018,upper,2018-06-28 22:36:00-04:00,2018-06-29 03:29:00-04:00,7076.796525590399,7104.546525590399,7076.796525590399,18.5,27.75,SL,-27.75,False
127_lower,2018-07-02,2018,lower,2018-07-02 02:24:00-04:00,2018-07-02 10:39:00-04:00,7021.939275551633,7058.314275551633,7021.939275551633,24.25,36.375,TP,36.375,False
131_upper,2018-07-06,2018,upper,2018-07-06 01:32:00-04:00,2018-07-06 09:40:00-04:00,7154.980786813723,7154.980786813723,7154.980786813723,37.5,56.25,BE,-0.0,False
123_upper,2018-07-09,2018,upper,2018-07-08 20:08:00-04:00,2018-07-08 21:14:00-04:00,7245.184324224052,7257.559324224052,7245.184324224052,8.25,12.375,SL,-12.375,False
133_upper,2018-07-10,2018,upper,2018-07-09 20:54:00-04:00,2018-07-09 21:44:00-04:00,7333.438705783388,7322.938705783388,7333.438705783388,7.0,10.5,TP,10.5,False
121_upper,2018-07-13,2018,upper,2018-07-12 23:46:00-04:00,2018-07-13 04:20:00-04:00,7406.569912336632,7397.944912336632,7406.569912336632,5.75,8.625,TP,8.625,False
140_lower,2018-07-23,2018,lower,2018-07-22 21:00:00-04:00,2018-07-23 09:40:00-04:00,7346.6858821268015,7318.9358821268015,7346.6858821268015,18.5,27.75,SL,-27.75,False
