level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through
0_upper,2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,2018-01-03 09:34:00-05:00,6529.134910517963,6537.759910517963,6529.134910517963,5.75,8.625,SL,-8.625,False
1_upper,2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,2018-01-04 03:27:00-05:00,6591.363648739487,6600.363648739487,6591.363648739487,6.0,9.0,SL,-9.0,False
4_upper,2018-01-09,2018,upper,2018-01-09 08:26:00-05:00,2018-01-09 09:36:00-05:00,6700.852925468027,6690.071675468027,6700.852925468027,5.75,8.625,TP,10.78125,False
5_lower,2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,2018-01-10 09:30:00-05:00,6644.365418961772,6657.490418961772,6644.365418961772,7.0,10.5,TP,13.125,False
5_upper,2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,2018-01-12 08:30:00-05:00,6741.759581038228,6730.040831038228,6741.759581038228,6.25,9.375,TP,11.71875,False
9_upper,2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,2018-01-16 09:35:00-05:00,6809.770647884909,6826.270647884909,6809.770647884909,11.0,16.5,SL,-16.5,False
19_lower,2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,2018-01-29 23:13:00-05:00,6956.366742923148,6948.116742923148,6956.366742923148,5.5,8.25,SL,-8.25,False
17_lower,2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,2018-02-02 10:01:00-05:00,6880.975997086674,6831.850997086674,6880.975997086674,32.75,49.125,SL,-49.125,False
28_upper,2018-02-12,2018,upper,2018-02-12 09:44:00-05:00,2018-02-12 10:19:00-05:00,6513.528021066135,6451.184271066135,6513.528021066135,33.25,49.875,TP,62.34375,False
30_upper,2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,2018-02-14 08:30:00-05:00,6590.569710186437,6575.569710186437,6590.569710186437,8.0,12.0,TP,15.0,False
34_lower,2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,2018-02-20 09:48:00-05:00,6727.800168995409,6791.550168995409,6727.800168995409,34.0,51.0,TP,63.75,False
35_lower,2018-03-02,2018,lower,2018-03-02 08:01:00-05:00,2018-03-02 11:59:00-05:00,6674.644394150568,6758.081894150568,6674.644394150568,44.5,66.75,TP,83.4375,False
46_upper,2018-03-08,2018,upper,2018-03-08 02:11:00-05:00,2018-03-08 07:16:00-05:00,6945.66025015068,6962.16025015068,6945.66025015068,11.0,16.5,SL,-16.5,False
42_upper,2018-03-08,2018,upper,2018-03-08 09:08:00-05:00,2018-03-08 10:07:00-05:00,6967.241668711537,6944.272918711537,6967.241668711537,12.25,18.375,TP,22.96875,False
45_upper,2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,2018-03-09 08:30:00-05:00,7000.75,7024.75,6989.60835460164,16.0,24.0,SL,-24.0,True
40_upper,2018-03-09,2018,upper,2018-03-09 08:36:00-05:00,2018-03-09 08:39:00-05:00,7057.28680551017,7045.09930551017,7057.28680551017,6.5,9.75,TP,12.1875,False
49_upper,2018-03-13,2018,upper,2018-03-13 09:42:00-04:00,2018-03-13 11:04:00-04:00,7211.202029295153,7147.452029295153,7211.202029295153,34.0,51.0,TP,63.75,False
51_lower,2018-03-15,2018,lower,2018-03-14 21:10:00-04:00,2018-03-15 15:00:00-04:00,7027.927462033644,7054.25,7027.927462033644,45.25,67.875,cutoff,26.32253796635632,False
53_lower,2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,2018-03-18 21:09:00-04:00,7019.536644549242,7006.411644549242,7019.536644549242,8.75,13.125,SL,-13.125,False
48_lower,2018-03-19,2018,lower,2018-03-19 01:09:00-04:00,2018-03-19 01:23:00-04:00,6984.070799723797,6995.789549723797,6984.070799723797,6.25,9.375,TP,11.71875,False
55_lower,2018-03-22,2018,lower,2018-03-22 03:59:00-04:00,2018-03-22 09:01:00-04:00,6815.833165584705,6775.708165584705,6815.833165584705,26.75,40.125,SL,-40.125,False
58_upper,2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,2018-03-26 21:20:00-04:00,6796.0404081907745,6820.4154081907745,6796.0404081907745,16.25,24.375,SL,-24.375,False
68_upper,2018-04-10,2018,upper,2018-04-09 22:42:00-04:00,2018-04-10 15:00:00-04:00,6618.015361193202,6625.25,6618.015361193202,70.5,105.75,cutoff,-7.2346388067981025,False
69_upper,2018-04-12,2018,upper,2018-04-12 09:59:00-04:00,2018-04-12 13:27:00-04:00,6674.120573515432,6652.089323515432,6674.120573515432,11.75,17.625,TP,22.03125,False
71_upper,2018-04-17,2018,upper,2018-04-17 02:19:00-04:00,2018-04-17 04:32:00-04:00,6742.225463751627,6726.287963751627,6742.225463751627,8.5,12.75,TP,15.9375,False
73_upper,2018-04-17,2018,upper,2018-04-17 06:13:00-04:00,2018-04-17 09:40:00-04:00,6747.283059462454,6764.158059462454,6747.283059462454,11.25,16.875,SL,-16.875,False
75_lower,2018-04-20,2018,lower,2018-04-20 03:30:00-04:00,2018-04-20 07:00:00-04:00,6754.992006121582,6781.710756121582,6754.992006121582,14.25,21.375,TP,26.71875,False
78_upper,2018-04-27,2018,upper,2018-04-27 08:47:00-04:00,2018-04-27 09:33:00-04:00,6767.945052421435,6739.351302421435,6767.945052421435,15.25,22.875,TP,28.59375,False
77_upper,2018-05-07,2018,upper,2018-05-07 00:30:00-04:00,2018-05-07 03:00:00-04:00,6828.16377343615,6812.22627343615,6828.16377343615,8.5,12.75,TP,15.9375,False
93_lower,2018-05-15,2018,lower,2018-05-15 08:39:00-04:00,2018-05-15 09:32:00-04:00,6928.543047509258,6897.043047509258,6928.543047509258,21.0,31.5,SL,-31.5,False
91_lower,2018-05-15,2018,lower,2018-05-15 09:55:00-04:00,2018-05-15 15:00:00-04:00,6870.515226696004,6876.5,6870.515226696004,47.75,71.625,cutoff,5.984773303996008,False
98_lower,2018-05-23,2018,lower,2018-05-22 21:51:00-04:00,2018-05-23 03:24:00-04:00,6878.121273342689,6862.746273342689,6878.121273342689,10.25,15.375,SL,-15.375,False
95_lower,2018-05-23,2018,lower,2018-05-23 03:30:00-04:00,2018-05-23 05:41:00-04:00,6851.181989311026,6833.181989311026,6851.181989311026,12.0,18.0,SL,-18.0,False
94_lower,2018-05-23,2018,lower,2018-05-23 05:42:00-04:00,2018-05-23 09:36:00-04:00,6829.859454475612,6863.609454475612,6829.859454475612,18.0,27.0,TP,33.75,False
94_upper,2018-05-24,2018,upper,2018-05-24 03:19:00-04:00,2018-05-24 09:45:00-04:00,6971.765545524388,6940.828045524388,6971.765545524388,16.5,24.75,TP,30.9375,False
98_upper,2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,2018-05-25 07:23:00-04:00,6988.503726657311,6966.472476657311,6988.503726657311,11.75,17.625,TP,22.03125,False
103_lower,2018-05-29,2018,lower,2018-05-29 02:47:00-04:00,2018-05-29 04:27:00-04:00,6935.904766379892,6916.779766379892,6935.904766379892,12.75,19.125,SL,-19.125,False
