config,year_month,n_trades,net_pts,PF_pts,total_R,avg_R_per_trade
OG_PRIMARY_150R,2013-01,7,24.19,3.3889,2.5,0.3571
OG_PRIMARY_150R,2013-02,6,16.69,2.3906,3.5,0.5833
OG_PRIMARY_150R,2013-03,10,7.88,1.4667,1.5,0.15
OG_PRIMARY_150R,2013-04,6,-37.5,0.0,-4.0,-0.6667
OG_PRIMARY_150R,2013-05,5,8.81,1.3456,-0.5,-0.1
OG_PRIMARY_150R,2013-06,10,35.67,2.6121,1.0459,0.1046
OG_PRIMARY_150R,2013-07,8,34.88,inf,4.5,0.5625
OG_PRIMARY_150R,2013-08,8,-28.31,0.3655,-1.0,-0.125
OG_PRIMARY_150R,2013-09,5,-6.25,0.7224,0.1862,0.0372
OG_PRIMARY_150R,2013-10,5,4.33,1.3171,1.9373,0.3875
OG_PRIMARY_150R,2013-11,5,27.56,inf,4.5,0.9
OG_PRIMARY_150R,2013-12,11,27.27,1.8263,5.9586,0.5417
OG_PRIMARY_150R,2014-01,13,-16.82,0.6657,-2.0141,-0.1549
OG_PRIMARY_150R,2014-02,8,-7.24,0.7815,0.8725,0.1091
OG_PRIMARY_150R,2014-03,8,-9.43,0.6357,-1.2085,-0.1511
OG_PRIMARY_150R,2014-04,10,3.19,1.0752,-1.5,-0.15
OG_PRIMARY_150R,2014-05,9,-41.62,0.2128,-4.5,-0.5
OG_PRIMARY_150R,2014-06,4,-5.81,0.5921,-1.5,-0.375
OG_PRIMARY_150R,2014-07,14,-24.17,0.6141,0.2896,0.0207
OG_PRIMARY_150R,2014-08,10,-31.26,0.1663,-4.496,-0.4496
OG_PRIMARY_150R,2014-09,8,-7.88,0.7083,-1.0,-0.125
OG_PRIMARY_150R,2014-10,12,23.43,1.2022,-0.5634,-0.0469
OG_PRIMARY_150R,2014-11,7,7.12,1.2676,-2.0,-0.2857
OG_PRIMARY_150R,2014-12,6,5.62,1.2941,2.0,0.3333
OG_PRIMARY_150R,2015-01,8,4.88,1.1327,-1.5,-0.1875
OG_PRIMARY_150R,2015-02,8,2.25,1.087,-1.5,-0.1875
OG_PRIMARY_150R,2015-03,11,-48.0,0.0,-5.0,-0.4545
OG_PRIMARY_150R,2015-04,10,-34.0,0.5402,0.1484,0.0148
OG_PRIMARY_150R,2015-05,10,2.25,1.0488,2.0,0.2
OG_PRIMARY_150R,2015-06,11,0.01,1.0003,-2.6796,-0.2436
OG_PRIMARY_150R,2015-07,11,-25.91,0.6475,-2.0602,-0.1873
OG_PRIMARY_150R,2015-08,10,-16.65,0.7491,1.9408,0.1941
OG_PRIMARY_150R,2015-09,15,-27.66,0.8366,-1.8763,-0.1251
OG_PRIMARY_150R,2015-10,6,10.69,1.1759,4.0,0.6667
OG_PRIMARY_150R,2015-11,7,25.31,1.8333,1.5,0.2143
OG_PRIMARY_150R,2015-12,13,50.79,2.0916,3.5442,0.2726
OG_OPERATIONAL_100R,2013-01,7,12.75,2.2593,1.0,0.1429
OG_OPERATIONAL_100R,2013-02,6,7.12,1.5938,2.0,0.3333
OG_OPERATIONAL_100R,2013-03,10,-0.38,0.9778,0.0,0.0
OG_OPERATIONAL_100R,2013-04,6,-31.88,0.15,-3.0,-0.5
OG_OPERATIONAL_100R,2013-05,5,-2.62,0.8971,-1.0,-0.2
OG_OPERATIONAL_100R,2013-06,10,46.5,4.0244,3.0,0.3
OG_OPERATIONAL_100R,2013-07,8,28.12,inf,4.0,0.5
OG_OPERATIONAL_100R,2013-08,8,-33.75,0.2437,-2.0,-0.25
OG_OPERATIONAL_100R,2013-09,5,-6.38,0.7167,0.0,0.0
OG_OPERATIONAL_100R,2013-10,5,-1.67,0.8781,0.9373,0.1875
OG_OPERATIONAL_100R,2013-11,5,18.38,inf,3.0,0.6
OG_OPERATIONAL_100R,2013-12,11,21.0,1.7671,5.0,0.4545
OG_OPERATIONAL_100R,2014-01,13,-12.07,0.7601,-1.2729,-0.0979
OG_OPERATIONAL_100R,2014-02,8,-8.36,0.7152,1.3725,0.1716
OG_OPERATIONAL_100R,2014-03,8,-12.61,0.5125,-1.7085,-0.2136
OG_OPERATIONAL_100R,2014-04,10,-12.0,0.7168,-3.0,-0.3
OG_OPERATIONAL_100R,2014-05,9,-45.38,0.1418,-5.0,-0.5556
OG_OPERATIONAL_100R,2014-06,4,-8.62,0.3947,-2.0,-0.5
OG_OPERATIONAL_100R,2014-07,14,-30.54,0.5123,-0.7104,-0.0507
OG_OPERATIONAL_100R,2014-08,10,-33.33,0.1113,-4.996,-0.4996
OG_OPERATIONAL_100R,2014-09,8,-14.25,0.4722,-2.0,-0.25
OG_OPERATIONAL_100R,2014-10,12,1.5,1.0129,-2.0,-0.1667
OG_OPERATIONAL_100R,2014-11,7,-4.12,0.8451,-3.0,-0.4286
OG_OPERATIONAL_100R,2014-12,6,-2.62,0.8627,1.0,0.1667
OG_OPERATIONAL_100R,2015-01,8,-9.0,0.7551,-2.0,-0.25
OG_OPERATIONAL_100R,2015-02,8,3.38,1.1304,-1.0,-0.125
OG_OPERATIONAL_100R,2015-03,11,-44.62,0.0703,-4.0,-0.3636
OG_OPERATIONAL_100R,2015-04,10,-30.95,0.5669,-0.1722,-0.0172
OG_OPERATIONAL_100R,2015-05,10,3.38,1.09,2.0,0.2
OG_OPERATIONAL_100R,2015-06,11,48.75,1.9353,0.0,0.0
OG_OPERATIONAL_100R,2015-07,11,-32.25,0.5612,-3.0,-0.2727
OG_OPERATIONAL_100R,2015-08,10,-28.65,0.5683,0.4408,0.0441
OG_OPERATIONAL_100R,2015-09,15,-62.91,0.6283,-3.3763,-0.2251
OG_OPERATIONAL_100R,2015-10,6,-13.12,0.784,2.0,0.3333
OG_OPERATIONAL_100R,2015-11,7,11.25,1.3704,1.0,0.1429
OG_OPERATIONAL_100R,2015-12,13,18.35,1.3944,1.0442,0.0803
