entry_time,year,50,50,100,100,150,150,200,200
,,trailing_win_rate,trailing_avg_R,trailing_win_rate,trailing_avg_R,trailing_win_rate,trailing_avg_R,trailing_win_rate,trailing_avg_R
2013-01-07 14:18:00+00:00,2013,,,,,,,,
2013-01-10 12:57:00+00:00,2013,,,,,,,,
2013-01-10 13:24:00+00:00,2013,,,,,,,,
2013-01-14 01:58:00+00:00,2013,,,,,,,,
2013-01-14 12:47:00+00:00,2013,,,,,,,,
2013-01-15 14:34:00+00:00,2013,,,,,,,,
2013-01-18 12:04:00+00:00,2013,,,,,,,,
2013-02-01 13:47:00+00:00,2013,,,,,,,,
2013-02-08 14:30:00+00:00,2013,,,,,,,,
2013-02-11 09:50:00+00:00,2013,,,,,,,,
2013-02-13 14:59:00+00:00,2013,,,,,,,,
2013-02-14 10:31:00+00:00,2013,,,,,,,,
2013-02-25 08:12:00+00:00,2013,,,,,,,,
2013-03-01 11:20:00+00:00,2013,,,,,,,,
2013-03-05 09:02:00+00:00,2013,,,,,,,,
2013-03-05 14:39:00+00:00,2013,,,,,,,,
2013-03-08 13:30:00+00:00,2013,,,,,,,,
2013-03-14 12:17:00+00:00,2013,,,,,,,,
2013-03-15 13:54:00+00:00,2013,,,,,,,,
2013-03-20 12:15:00+00:00,2013,,,,,,,,
2013-03-22 13:33:00+00:00,2013,,,,,,,,
2013-03-24 23:48:00+00:00,2013,,,,,,,,
2013-03-25 10:08:00+00:00,2013,,,,,,,,
2013-04-05 12:30:00+00:00,2013,,,,,,,,
2013-04-12 12:15:00+00:00,2013,,,,,,,,
2013-04-17 13:38:00+00:00,2013,,,,,,,,
2013-04-23 13:31:00+00:00,2013,,,,,,,,
2013-04-25 12:30:00+00:00,2013,,,,,,,,
2013-04-29 13:47:00+00:00,2013,,,,,,,,
2013-05-06 13:34:00+00:00,2013,,,,,,,,
2013-05-09 01:26:00+00:00,2013,,,,,,,,
2013-05-23 06:17:00+00:00,2013,,,,,,,,
2013-05-23 08:30:00+00:00,2013,,,,,,,,
2013-05-30 13:47:00+00:00,2013,,,,,,,,
2013-06-04 13:34:00+00:00,2013,,,,,,,,
2013-06-07 12:30:00+00:00,2013,,,,,,,,
2013-06-11 03:13:00+00:00,2013,,,,,,,,
2013-06-17 09:36:00+00:00,2013,,,,,,,,
2013-06-20 00:19:00+00:00,2013,,,,,,,,
2013-06-25 13:15:00+00:00,2013,,,,,,,,
2013-06-27 02:10:00+00:00,2013,,,,,,,,
2013-06-27 12:31:00+00:00,2013,,,,,,,,
2013-06-27 13:48:00+00:00,2013,,,,,,,,
2013-06-28 13:15:00+00:00,2013,,,,,,,,
2013-07-01 13:56:00+00:00,2013,,,,,,,,
2013-07-03 07:07:00+00:00,2013,,,,,,,,
2013-07-08 07:34:00+00:00,2013,,,,,,,,
2013-07-10 13:48:00+00:00,2013,,,,,,,,
2013-07-16 13:30:00+00:00,2013,,,,,,,,
2013-07-17 13:40:00+00:00,2013,,,,,,,,
2013-07-22 01:04:00+00:00,2013,0.36,0.08,,,,,,
2013-07-30 12:49:00+00:00,2013,0.36,0.08,,,,,,
2013-08-06 13:54:00+00:00,2013,0.38,0.12,,,,,,
2013-08-08 11:13:00+00:00,2013,0.36,0.08,,,,,,
2013-08-13 09:00:00+00:00,2013,0.34,0.06,,,,,,
2013-08-15 11:42:00+00:00,2013,0.36,0.08,,,,,,
2013-08-15 13:33:00+00:00,2013,0.36,0.08,,,,,,
2013-08-21 23:57:00+00:00,2013,0.36,0.06,,,,,,
2013-08-23 01:32:00+00:00,2013,0.36,0.06,,,,,,
2013-08-27 07:50:00+00:00,2013,0.36,0.08,,,,,,
2013-09-06 12:31:00+00:00,2013,0.36,0.06,,,,,,
2013-09-06 13:46:00+00:00,2013,0.36,0.06,,,,,,
2013-09-26 13:49:00+00:00,2013,0.34,0.02,,,,,,
2013-09-30 00:28:00+00:00,2013,0.36,0.04,,,,,,
2013-09-30 12:34:00+00:00,2013,0.36,0.04,,,,,,
2013-10-10 13:37:00+00:00,2013,0.36,0.04,,,,,,
2013-10-16 13:56:00+00:00,2013,0.36,0.04,,,,,,
2013-10-22 12:30:00+00:00,2013,0.34,0.018746628885934254,,,,,,
2013-10-25 11:19:00+00:00,2013,0.36,0.038746628885934255,,,,,,
2013-10-30 13:51:00+00:00,2013,0.36,0.05874662888593425,,,,,,
2013-11-05 14:32:00+00:00,2013,0.38,0.07874662888593426,,,,,,
2013-11-06 04:30:00+00:00,2013,0.38,0.07874662888593426,,,,,,
2013-11-13 13:33:00+00:00,2013,0.38,0.07874662888593426,,,,,,
2013-11-18 14:27:00+00:00,2013,0.36,0.05874662888593425,,,,,,
2013-11-22 08:13:00+00:00,2013,0.38,0.09874662888593426,,,,,,
2013-12-03 14:47:00+00:00,2013,0.4,0.11874662888593425,,,,,,
2013-12-04 14:05:00+00:00,2013,0.42,0.15874662888593424,,,,,,
2013-12-06 13:30:00+00:00,2013,0.44,0.19874662888593428,,,,,,
2013-12-06 13:46:00+00:00,2013,0.44,0.19874662888593428,,,,,,
2013-12-11 14:50:00+00:00,2013,0.44,0.19874662888593428,,,,,,
2013-12-16 03:08:00+00:00,2013,0.46,0.21874662888593427,,,,,,
2013-12-16 14:52:00+00:00,2013,0.46,0.19874662888593428,,,,,,
2013-12-20 14:49:00+00:00,2013,0.48,0.23874662888593426,,,,,,
2013-12-24 14:31:00+00:00,2013,0.46,0.19874662888593428,,,,,,
2013-12-27 14:30:00+00:00,2013,0.48,0.23874662888593426,,,,,,
2013-12-30 14:37:00+00:00,2013,0.48,0.23874662888593426,,,,,,
2014-01-02 14:40:00+00:00,2014,0.5,0.27874662888593427,,,,,,
2014-01-09 09:18:00+00:00,2014,0.5,0.25874662888593425,,,,,,
2014-01-15 08:24:00+00:00,2014,0.5,0.25874662888593425,,,,,,
2014-01-15 11:45:00+00:00,2014,0.5,0.23874662888593426,,,,,,
2014-01-15 14:10:00+00:00,2014,0.5,0.23874662888593426,,,,,,
2014-01-17 14:55:00+00:00,2014,0.48,0.19874662888593428,,,,,,
2014-01-21 05:01:00+00:00,2014,0.5,0.21874662888593427,,,,,,
2014-01-22 04:42:00+00:00,2014,0.52,0.25874662888593425,,,,,,
2014-01-23 14:00:00+00:00,2014,0.5,0.21874662888593427,,,,,,
2014-01-24 14:44:00+00:00,2014,0.5,0.2132889156117165,,,,,,
2014-01-29 14:37:00+00:00,2014,0.48,0.19328891561171652,,,,,,
2014-01-30 14:00:00+00:00,2014,0.48,0.19328891561171652,,,,,,
2014-01-31 11:38:00+00:00,2014,0.48,0.17328891561171653,,,,,,
2014-02-06 14:50:00+00:00,2014,0.46,0.1532889156117165,,,,,,
2014-02-07 06:16:00+00:00,2014,0.46,0.14073938522214247,0.41,0.11036969261107124,,,,
2014-02-10 14:48:00+00:00,2014,0.46,0.14073938522214247,0.41,0.11036969261107124,,,,
2014-02-13 05:27:00+00:00,2014,0.46,0.14073938522214247,0.42,0.13036969261107123,,,,
2014-02-20 01:48:00+00:00,2014,0.48,0.1807393852221425,0.42,0.13036969261107123,,,,
2014-02-21 02:52:00+00:00,2014,0.5,0.2007393852221425,0.42,0.13036969261107123,,,,
2014-02-24 14:50:00+00:00,2014,0.48,0.1807393852221425,0.42,0.13036969261107123,,,,
2014-02-28 14:39:00+00:00,2014,0.48,0.1807393852221425,0.42,0.13036969261107123,,,,
2014-03-03 00:27:00+00:00,2014,0.48,0.1807393852221425,0.42,0.12036969261107125,,,,
2014-03-04 06:04:00+00:00,2014,0.48,0.16656896086978915,0.42,0.11328448043489457,,,,
2014-03-07 13:42:00+00:00,2014,0.48,0.14656896086978916,0.42,0.11328448043489457,,,,
2014-03-07 14:50:00+00:00,2014,0.5,0.1865689608697891,0.43,0.12328448043489457,,,,
2014-03-14 13:59:00+00:00,2014,0.48,0.16656896086978912,0.42,0.11328448043489457,,,,
2014-03-17 13:40:00+00:00,2014,0.48,0.1865689608697891,0.41,0.10328448043489455,,,,
2014-03-21 06:23:00+00:00,2014,0.46,0.1465689608697891,0.41,0.09328448043489455,,,,
2014-03-24 13:40:00+00:00,2014,0.46,0.1465689608697891,0.41,0.09328448043489455,,,,
2014-04-01 13:33:00+00:00,2014,0.46,0.1465689608697891,0.41,0.09328448043489455,,,,
2014-04-01 13:46:00+00:00,2014,0.46,0.1465689608697891,0.41,0.09328448043489455,,,,
2014-04-02 01:14:00+00:00,2014,0.46,0.12782233198385487,0.4,0.07328448043489455,,,,
2014-04-02 13:29:00+00:00,2014,0.46,0.12782233198385487,0.41,0.08328448043489456,,,,
2014-04-07 06:38:00+00:00,2014,0.48,0.14782233198385486,0.42,0.10328448043489455,,,,
2014-04-09 08:48:00+00:00,2014,0.46,0.10782233198385488,0.42,0.09328448043489455,,,,
2014-04-11 11:02:00+00:00,2014,0.44,0.08782233198385488,0.41,0.08328448043489456,,,,
2014-04-17 13:42:00+00:00,2014,0.44,0.06782233198385487,0.41,0.07328448043489455,,,,
2014-04-22 13:18:00+00:00,2014,0.46,0.08782233198385488,0.41,0.07328448043489455,,,,
2014-04-24 10:16:00+00:00,2014,0.44,0.047822331983854875,0.41,0.07328448043489455,,,,
2014-05-01 07:52:00+00:00,2014,0.42,0.007822331983854873,0.41,0.06328448043489455,,,,
2014-05-01 08:41:00+00:00,2014,0.4,-0.032177668016145126,0.41,0.06328448043489455,,,,
2014-05-05 08:51:00+00:00,2014,0.4,-0.032177668016145126,0.42,0.08328448043489456,,,,
2014-05-06 09:07:00+00:00,2014,0.38,-0.07217766801614514,0.41,0.06328448043489455,,,,
2014-05-07 13:59:00+00:00,2014,0.38,-0.05217766801614514,0.41,0.07328448043489455,,,,
2014-05-12 10:30:00+00:00,2014,0.36,-0.09217766801614513,0.41,0.06328448043489455,,,,
2014-05-12 13:47:00+00:00,2014,0.36,-0.09217766801614513,0.41,0.05328448043489455,,,,
2014-05-15 13:45:00+00:00,2014,0.34,-0.13217766801614514,0.41,0.05328448043489455,,,,
2014-05-27 08:53:00+00:00,2014,0.34,-0.13217766801614514,0.4,0.03328448043489456,,,,
2014-06-23 01:45:00+00:00,2014,0.32,-0.15217766801614513,0.4,0.043284480434894565,,,,
2014-06-24 13:36:00+00:00,2014,0.32,-0.15217766801614513,0.4,0.043284480434894565,,,,
2014-06-24 13:45:00+00:00,2014,0.3,-0.19217766801614514,0.4,0.043284480434894565,,,,
2014-06-30 13:35:00+00:00,2014,0.3,-0.19217766801614514,0.4,0.03328448043489456,,,,
2014-07-03 12:27:00+00:00,2014,0.28,-0.23217766801614512,0.39,0.013284480434894563,,,,
2014-07-07 06:26:00+00:00,2014,0.28,-0.23217766801614512,0.39,0.0032844804348945633,,,,
2014-07-08 13:37:00+00:00,2014,0.26,-0.2521776680161451,0.38,-0.006715519565105437,,,,
2014-07-08 13:51:00+00:00,2014,0.26,-0.2521776680161451,0.37,-0.026715519565105438,,,,
2014-07-10 12:51:00+00:00,2014,0.24,-0.29217766801614514,0.37,-0.03671551956510544,,,,
2014-07-14 09:14:00+00:00,2014,0.22,-0.3321776680161452,0.37,-0.03671551956510543,,,,
2014-07-22 09:43:00+00:00,2014,0.22,-0.3321776680161452,0.36,-0.05671551956510545,,,,
2014-07-22 11:41:00+00:00,2014,0.22,-0.3267199547419274,0.36,-0.056715519565105434,,,,
2014-07-22 13:52:00+00:00,2014,0.24,-0.3067199547419274,0.36,-0.056715519565105434,,,,
2014-07-23 11:41:00+00:00,2014,0.26,-0.30092703734992127,0.37,-0.05381906086910236,,,,
2014-07-24 01:45:00+00:00,2014,0.28,-0.26092703734992123,0.38,-0.04381906086910238,,,,
2014-07-25 13:33:00+00:00,2014,0.3,-0.24092703734992124,0.38,-0.04381906086910237,,,,
2014-07-29 13:48:00+00:00,2014,0.32,-0.2083775069603472,0.39,-0.03381906086910237,0.38,0.004120626087265086,,
2014-07-31 08:00:00+00:00,2014,0.32,-0.2083775069603472,0.39,-0.033819060869102364,0.38,0.004120626087265086,,
2014-08-01 08:25:00+00:00,2014,0.3,-0.24837750696034722,0.38,-0.05381906086910238,0.38,0.004120626087265086,,
2014-08-11 13:55:00+00:00,2014,0.28,-0.2883775069603472,0.38,-0.05381906086910237,0.37333333333333335,-0.009212707246068248,,
2014-08-13 10:47:00+00:00,2014,0.26,-0.3283775069603472,0.38,-0.06381906086910237,0.36666666666666664,-0.022546040579401582,,
2014-08-15 13:28:00+00:00,2014,0.26,-0.3283775069603472,0.37,-0.07381906086910237,0.36666666666666664,-0.022546040579401582,,
2014-08-18 07:18:00+00:00,2014,0.26,-0.3283775069603472,0.37,-0.07381906086910238,0.36666666666666664,-0.022546040579401575,,
2014-08-19 05:07:00+00:00,2014,0.26,-0.3083775069603472,0.37,-0.06381906086910237,0.36666666666666664,-0.022546040579401575,,
2014-08-25 03:07:00+00:00,2014,0.24,-0.33420708260799387,0.36,-0.08381906086910237,0.36,-0.03587937391273491,,
2014-08-28 09:56:00+00:00,2014,0.26,-0.31412734420357724,0.37,-0.08377919166689406,0.36666666666666664,-0.029186127777929373,,
2014-08-29 07:38:00+00:00,2014,0.26,-0.3141273442035773,0.38,-0.06377919166689408,0.37333333333333335,-0.022519461111262705,,
2014-08-29 07:46:00+00:00,2014,0.26,-0.3341273442035772,0.37,-0.08377919166689407,0.36666666666666664,-0.03585279444459604,,
2014-09-02 02:10:00+00:00,2014,0.26,-0.3541273442035772,0.37,-0.08377919166689406,0.36,-0.04918612777792938,,
2014-09-02 08:11:00+00:00,2014,0.26,-0.3341273442035772,0.36,-0.09377919166689405,0.36,-0.04918612777792937,,
2014-09-03 08:00:00+00:00,2014,0.28,-0.31412734420357724,0.37,-0.08377919166689407,0.36666666666666664,-0.04251946111126273,,
2014-09-05 10:00:00+00:00,2014,0.28,-0.31412734420357724,0.37,-0.08377919166689406,0.36666666666666664,-0.0425194611112627,,
2014-09-08 13:32:00+00:00,2014,0.3,-0.27412734420357726,0.38,-0.06377919166689407,0.37333333333333335,-0.029186127777929373,,
