level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through,source
0_lower,2013-01-07,2013,lower,2013-01-07 09:18:00-05:00,2013-01-07 10:46:00-05:00,2705.355285880853,2716.042785880853,2705.355285880853,4.75,7.125,TP,10.6875,False,external_2013_2015
4_upper,2013-01-10,2013,upper,2013-01-10 07:57:00-05:00,2013-01-10 08:14:00-05:00,2731.8337231926243,2734.8337231926243,2731.8337231926243,2.0,3.0,SL,-3.0,False,external_2013_2015
2_upper,2013-01-10,2013,upper,2013-01-10 08:24:00-05:00,2013-01-10 10:35:00-05:00,2737.880347359795,2722.130347359795,2737.880347359795,7.0,10.5,TP,15.75,False,external_2013_2015
7_upper,2013-01-14,2013,upper,2013-01-13 20:58:00-05:00,2013-01-14 04:21:00-05:00,2748.082434952682,2740.207434952682,2748.082434952682,3.5,5.25,TP,7.875,False,external_2013_2015
7_lower,2013-01-14,2013,lower,2013-01-14 07:47:00-05:00,2013-01-14 09:02:00-05:00,2728.042565047318,2728.042565047318,2728.042565047318,5.0,7.5,BE,0.0,False,external_2013_2015
8_lower,2013-01-15,2013,lower,2013-01-15 09:34:00-05:00,2013-01-15 09:54:00-05:00,2712.951717556987,2705.826717556987,2712.951717556987,4.75,7.125,SL,-7.125,False,external_2013_2015
11_lower,2013-01-18,2013,lower,2013-01-18 07:04:00-05:00,2013-01-18 09:30:00-05:00,2730.601204288801,2730.601204288801,2730.601204288801,6.0,9.0,BE,0.0,False,external_2013_2015
20_upper,2013-02-01,2013,upper,2013-02-01 08:47:00-05:00,2013-02-01 09:50:00-05:00,2747.0896408295785,2735.8396408295785,2747.0896408295785,5.0,7.5,TP,11.25,False,external_2013_2015
25_upper,2013-02-08,2013,upper,2013-02-08 09:30:00-05:00,2013-02-08 09:40:00-05:00,2760.150625189412,2772.150625189412,2760.150625189412,8.0,12.0,SL,-12.0,False,external_2013_2015
26_upper,2013-02-11,2013,upper,2013-02-11 04:50:00-05:00,2013-02-11 05:42:00-05:00,2778.535251038489,2778.535251038489,2778.535251038489,2.75,4.125,BE,-0.0,False,external_2013_2015
28_upper,2013-02-13,2013,upper,2013-02-13 09:59:00-05:00,2013-02-13 11:23:00-05:00,2776.2603765613194,2767.8228765613194,2776.2603765613194,3.75,5.625,TP,8.4375,False,external_2013_2015
29_lower,2013-02-14,2013,lower,2013-02-14 05:31:00-05:00,2013-02-14 10:45:00-05:00,2759.131960032837,2768.131960032837,2759.131960032837,4.0,6.0,TP,9.0,False,external_2013_2015
34_upper,2013-02-25,2013,upper,2013-02-25 03:12:00-05:00,2013-02-25 04:14:00-05:00,2741.4250052470657,2741.4250052470657,2741.4250052470657,2.75,4.125,BE,-0.0,False,external_2013_2015
39_lower,2013-03-01,2013,lower,2013-03-01 06:20:00-05:00,2013-03-01 07:11:00-05:00,2728.9914061049285,2728.9914061049285,2728.9914061049285,4.5,6.75,BE,0.0,False,external_2013_2015
36_upper,2013-03-05,2013,upper,2013-03-05 04:02:00-05:00,2013-03-05 08:15:00-05:00,2767.888944764353,2773.138944764353,2767.888944764353,3.5,5.25,SL,-5.25,False,external_2013_2015
33_upper,2013-03-05,2013,upper,2013-03-05 09:39:00-05:00,2013-03-05 10:32:00-05:00,2786.450375010939,2793.575375010939,2786.450375010939,4.75,7.125,SL,-7.125,False,external_2013_2015
43_upper,2013-03-08,2013,upper,2013-03-08 08:30:00-05:00,2013-03-08 08:31:00-05:00,2816.640972819859,2808.203472819859,2816.640972819859,3.75,5.625,TP,8.4375,False,external_2013_2015
47_upper,2013-03-14,2013,upper,2013-03-14 08:17:00-04:00,2013-03-14 09:35:00-04:00,2805.302074587284,2805.302074587284,2805.302074587284,5.0,7.5,BE,-0.0,False,external_2013_2015
