base,filter,candidate,retained_pct_of_no_filter,combined_n_trades,combined_net_pts,combined_PF_pts,combined_total_R,combined_PF_R,combined_avg_R_per_trade,combined_win_rate,combined_avg_winner,combined_avg_loser,combined_payoff_ratio,combined_max_dd_pts,combined_max_dd_R,origbuild_n_trades,origbuild_net_pts,origbuild_PF_pts,origbuild_total_R,origbuild_PF_R,origbuild_avg_R_per_trade,origbuild_win_rate,origbuild_avg_winner,origbuild_avg_loser,origbuild_payoff_ratio,origbuild_max_dd_pts,origbuild_max_dd_R,formerval_n_trades,formerval_net_pts,formerval_PF_pts,formerval_total_R,formerval_PF_R,formerval_avg_R_per_trade,formerval_win_rate,formerval_avg_winner,formerval_avg_loser,formerval_payoff_ratio,formerval_max_dd_pts,formerval_max_dd_R,combined_profitable_days,combined_losing_days,combined_breakeven_days,combined_longest_non_winning_run,combined_TP,combined_SL,combined_BE,combined_cutoff,combined_best_year,combined_net_pts_excl_best_year,combined_best_year_pct_of_positive_net
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,100.0,1034,6316.56,1.2998,36.6241,1.0944,0.0354,0.2921,90.68,-51.64,1.756,-1194.15,-27.3886,404,4599.14,1.6704,47.4737,1.3647,0.1175,0.3144,90.23,-49.71,1.8151,-713.25,-8.5015,630,1717.42,1.1209,-10.8496,0.9579,-0.0172,0.2778,91.01,-52.62,1.7293,-1257.9,-27.0282,287,325,198,10,271,378,324,61,2026,4384.49,26.93
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_20,64.89,671,5628.62,1.3526,31.8818,1.1257,0.0475,0.2966,108.51,-60.47,1.7943,-1118.98,-19.1384,277,4087.47,1.726,35.5022,1.3808,0.1282,0.3249,107.97,-56.87,1.8986,-713.25,-8.5015,394,1541.15,1.1491,-3.6204,0.9774,-0.0092,0.2766,108.96,-62.64,1.7395,-1176.66,-21.6549,192,210,129,11,184,248,208,31,2026,3696.55,30.89
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_25,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_25,37.33,386,4176.68,1.4601,21.6823,1.1551,0.0562,0.2876,119.41,-61.75,1.9336,-713.25,-11.0216,176,2361.92,1.6641,19.6999,1.3447,0.1119,0.3011,111.67,-57.37,1.9466,-713.25,-8.5015,210,1814.75,1.3287,1.9825,1.024,0.0094,0.2762,126.48,-64.95,1.9472,-604.78,-11.0216,106,119,80,10,104,137,128,17,2022,3085.74,25.61
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_30,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_30,17.31,179,1413.39,1.281,2.1035,1.0314,0.0118,0.2737,131.49,-72.89,1.8039,-817.63,-12.3589,84,885.82,1.4082,4.225,1.142,0.0503,0.2857,127.33,-70.0,1.8189,-713.25,-8.0,95,527.56,1.1845,-2.1215,0.9431,-0.0223,0.2632,135.49,-75.26,1.8004,-645.13,-11.3589,46,55,37,7,43,66,61,9,2020,459.69,45.64
OG_PRIMARY_150R,VXN_PREV_CLOSE_LE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_LE_20,35.2,364,628.32,1.1217,3.7423,1.0276,0.0103,0.283,56.23,-35.61,1.5791,-832.71,-24.7019,127,511.67,1.4159,11.9715,1.3242,0.0943,0.2913,47.08,-31.54,1.4925,-460.98,-4.7536,237,116.65,1.0297,-8.2292,0.9164,-0.0347,0.2785,61.36,-37.1,1.6537,-850.78,-28.4819,95,116,69,11,87,131,116,30,2025,164.17,40.57
OG_PRIMARY_150R,VXN_PREV_CLOSE_LE_25,OG_PRIMARY_150R__VXN_PREV_CLOSE_LE_25,62.67,648,2139.89,1.1785,14.9418,1.0602,0.0231,0.2948,73.98,-45.94,1.6104,-1509.56,-25.3974,228,2237.22,1.6773,27.7738,1.3804,0.1218,0.3246,74.87,-43.47,1.7226,-708.37,-8.855,420,-97.33,0.9888,-12.8321,0.9268,-0.0306,0.2786,73.42,-46.96,1.5635,-1386.17,-27.0847,181,206,118,10,167,241,196,44,2026,1056.7,34.38
OG_PRIMARY_150R,VXN_PREV_CLOSE_LE_30,OG_PRIMARY_150R__VXN_PREV_CLOSE_LE_30,82.69,855,4903.18,1.3057,34.5206,1.1075,0.0404,0.2959,82.78,-47.31,1.7495,-1166.06,-28.7041,320,3713.32,1.7917,43.2487,1.4307,0.1352,0.3219,81.59,-43.83,1.8613,-708.37,-7.9058,535,1189.86,1.1048,-8.7281,0.9604,-0.0163,0.2804,83.59,-48.92,1.7088,-1166.06,-26.864,241,270,161,10,228,312,263,52,2026,2798.61,37.7
OG_OPERATIONAL_100R,NO_VXN_FILTER,OG_OPERATIONAL_100R__NO_VXN_FILTER,100.0,1040,6506.04,1.3347,28.7552,1.0791,0.0276,0.3856,64.7,-51.15,1.2648,-1209.36,-29.4322,407,4692.76,1.7737,44.452,1.3689,0.1092,0.4152,63.66,-48.14,1.3224,-721.54,-8.0,633,1813.28,1.1356,-15.6968,0.9353,-0.0248,0.3665,65.45,-52.64,1.2433,-1209.36,-32.0457,359,294,157,9,386,354,259,41,2026,3973.04,34.05
OG_OPERATIONAL_100R,VXN_PREV_CLOSE_GE_20,OG_OPERATIONAL_100R__VXN_PREV_CLOSE_GE_20,64.9,675,5963.89,1.4104,30.4829,1.1303,0.0452,0.397,76.48,-60.05,1.2735,-1102.51,-17.3103,279,4407.25,1.9167,34.6266,1.4143,0.1241,0.4301,76.79,-55.26,1.3896,-721.54,-8.0,396,1556.64,1.1601,-4.1436,0.9725,-0.0105,0.3737,76.23,-62.75,1.2149,-1102.51,-17.3103,245,185,101,7,262,229,165,19,2026,3430.89,38.93
OG_OPERATIONAL_100R,VXN_PREV_CLOSE_GE_25,OG_OPERATIONAL_100R__VXN_PREV_CLOSE_GE_25,37.31,388,4156.71,1.4964,18.9993,1.1449,0.049,0.3892,82.98,-61.57,1.3477,-721.54,-12.0216,176,2257.19,1.7069,15.2222,1.2846,0.0865,0.392,78.99,-57.02,1.3853,-721.54,-8.0,212,1899.52,1.3666,3.7771,1.0486,0.0178,0.3868,86.35,-64.76,1.3333,-648.77,-12.0216,135,106,64,7,149,129,101,9,2022,2798.21,31.87
