base,bucket,n_trades,avg_stop_cap,median_stop_cap,net_pts,total_R,avg_R_per_trade,PF_pts,PF_R
OG_PRIMARY_150R,20-25,285,67.433,55.125,1451.94,10.1995,0.0358,1.2108,1.0896
OG_PRIMARY_150R,25-30,207,68.802,56.25,2763.29,19.5788,0.0946,1.6826,1.269
OG_PRIMARY_150R,<20,363,44.605,33.0,687.95,4.7423,0.0131,1.1348,1.0353
OG_PRIMARY_150R,>=30,179,90.472,75.375,1413.39,2.1035,0.0118,1.281,1.0314
OG_OPERATIONAL_100R,20-25,287,67.503,55.125,1807.17,11.4836,0.04,1.2934,1.1116
OG_OPERATIONAL_100R,25-30,208,68.653,56.062,2651.93,16.7319,0.0804,1.7217,1.2451
OG_OPERATIONAL_100R,<20,365,44.621,33.0,542.16,-1.7277,-0.0047,1.1106,0.9866
OG_OPERATIONAL_100R,>=30,180,91.081,75.375,1504.78,2.2674,0.0126,1.3202,1.0361
ALL_BASES,20-25,572,67.468,55.125,3259.12,21.6831,0.0379,1.2498,1.1
ALL_BASES,25-30,415,68.727,56.25,5415.22,36.3107,0.0875,1.7012,1.2574
ALL_BASES,<20,728,44.613,33.0,1230.1,3.0145,0.0041,1.1229,1.0114
ALL_BASES,>=30,359,90.777,75.375,2918.17,4.371,0.0122,1.2999,1.0336
