base,filter,candidate,year,n_trades,net_pts,PF_pts,total_R,PF_R,avg_R_per_trade,win_rate,avg_winner,avg_loser,payoff_ratio,max_dd_pts,max_dd_R
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2018,113,620.93,1.6764,20.1915,1.5656,0.1787,0.3363,40.5,-25.5,1.5882,-154.69,-5.0
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2019,124,-415.82,0.7206,-22.6113,0.6266,-0.1823,0.2339,36.98,-22.55,1.64,-601.37,-25.864
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2020,137,1401.01,1.5454,2.7241,1.0569,0.0199,0.2701,107.29,-49.4,2.1719,-713.25,-8.5015
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2021,131,941.74,1.3782,17.0524,1.3568,0.1302,0.3435,76.27,-47.89,1.5926,-346.5,-6.5
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2022,125,1303.0,1.4338,4.8785,1.1078,0.039,0.28,123.06,-65.3,1.8844,-604.78,-8.9087
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2023,99,645.14,1.3628,14.3272,1.4879,0.1447,0.3232,75.73,-55.57,1.3628,-407.06,-5.6204
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2024,117,-441.8,0.8766,-12.9832,0.768,-0.111,0.265,101.23,-62.81,1.6118,-800.56,-15.6292
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2025,133,330.29,1.0906,2.8139,1.0582,0.0212,0.2632,113.61,-74.41,1.5268,-640.98,-9.1861
OG_PRIMARY_150R,NO_VXN_FILTER,OG_PRIMARY_150R__NO_VXN_FILTER,2026,55,1932.07,2.2112,10.2309,1.5926,0.186,0.3636,176.36,-88.62,1.9901,-571.12,-7.3423
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_20,2018,43,366.75,1.6981,12.0,1.8,0.2791,0.4186,49.56,-35.02,1.4151,-154.69,-3.0
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_20,2019,41,-295.9,0.5592,-10.9068,0.5258,-0.266,0.2195,41.71,-29.18,1.429,-330.4,-12.4068
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_20,2020,119,1053.72,1.4227,1.0083,1.0235,0.0085,0.2605,114.41,-53.04,2.1569,-713.25,-8.5015
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_20,2021,114,863.4,1.39,14.2039,1.3539,0.1246,0.3333,80.97,-51.48,1.5729,-346.5,-6.5
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_20,2022,125,1303.0,1.4338,4.8785,1.1078,0.039,0.28,123.06,-65.3,1.8844,-604.78,-8.9087
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_20,2023,60,734.94,1.7232,12.263,1.6762,0.2044,0.35,83.39,-53.49,1.5591,-472.12,-8.0
OG_PRIMARY_150R,VXN_PREV_CLOSE_GE_20,OG_PRIMARY_150R__VXN_PREV_CLOSE_GE_20,2024,36,-135.87,0.918,-3.7294,0.8009,-0.1036,0.2778,152.06,-87.18,1.7442,-355.25,-5.5
