scale,n,missing_rate,corr_with_mfe,corr_with_mae,cov_annual_median_norm_mfe,cov_annual_median_norm_mae,worst_annual_deviation_norm_mfe,worst_annual_deviation_norm_mae,rank_stability_ex2026_mfe
range_30m,3141,0.05613929750825578,0.20869483496929897,0.20466857301336422,0.10559123669614963,0.09374542410465697,0.24625165815242256,0.24495769704309556,1.0
atr14_60m,3331,0.0,0.408448565000585,0.38821341553351735,0.11220113502683945,0.1227607494132451,0.28767149012741133,0.352721424059959,1.0
prev_session_range,3331,0.0,0.38151042025970616,0.3385199590781552,0.12066928611447865,0.09192190459948775,0.05087560979155714,0.03944912472344436,1.0
range_15m,3168,0.048033623536475535,0.2130817417864861,0.24924520529570302,0.12206391676256544,0.13901103085341898,0.46406304130737785,0.4952988342405229,1.0
ewma_vol_hl120m,3331,0.0,0.32893241683589425,0.3377481909067544,0.12886545053537424,0.09261936331129987,2.2846986500893696,1.8009545004779781,1.0
range_60m,3112,0.06514560192134494,0.21367369121289312,0.18552497804435444,0.13504140980339394,0.13117362832691526,0.2808651905425006,0.3095711595126741,1.0
atr14_5m,3330,0.0,0.22286859088687117,0.252974989024323,0.14095514302289694,0.06986898911968997,0.8700988957556701,0.4468727545868907,1.0
atr14_15m,3330,0.0,0.2551510984442729,0.2552005610583885,0.14289298586631616,0.07789184483421596,0.6384714792743393,0.38100692754808474,1.0
ewma_vol_hl60m,3331,0.0,0.3124334843707781,0.32666270374027023,0.1443624232903848,0.11004966066571664,3.3411612653497134,2.642304429782378,1.0
ewma_vol_hl30m,3331,0.0,0.30296878891400547,0.32211530912041775,0.14833460714629912,0.1091185784477931,3.4076971324957306,2.3062859415792634,1.0
atr14_30m,3330,0.0,0.30635579896831283,0.2892948823913173,0.15804023932082192,0.0763066329736855,0.5443642314524872,0.2644517507321291,1.0
range_120m,3174,0.046532572800960674,0.1783911153430485,0.17237793319254285,0.16034092100669323,0.08931104381550242,0.21569052628954632,0.14711382906976866,1.0
