level_id,touched_at,range_15m,range_30m,range_60m,range_120m,prev_session_range,atr14_5m,atr14_15m,atr14_30m,atr14_60m,ewma_vol_hl30m,ewma_vol_hl60m,ewma_vol_hl120m,vxn_prior_close,vxn_prior_pct_change,rvol_30m_hist15,rvol_30m_hist20,rvol_30m_hist30,rvol_60m_hist15,rvol_60m_hist20,rvol_60m_hist30,rvol_120m_hist15,rvol_120m_hist20,rvol_120m_hist30
0_upper,2018-01-03 04:06:00-05:00,3.0,3.0,5.75,7.0,125.5,2.125,2.3035714285714284,3.0,5.732142857142857,0.6082087792872061,0.5690453361702347,0.5408186907237326,14.93000030517578,-0.047831631722126566,0.5915593705293276,0.5915593705293276,0.5915593705293276,0.7193460490463215,0.7193460490463215,0.7193460490463215,0.7960980252200809,0.7960980252200809,0.7960980252200809
1_upper,2018-01-03 19:09:00-05:00,4.75,4.75,6.0,9.5,80.0,2.0,5.678571428571429,8.821428571428571,12.285714285714286,0.7654199371023217,0.8992098841249855,1.0149615861601733,14.15999984741211,-0.047831631722126566,1.2372426141450312,1.2372426141450312,1.2372426141450312,0.7287697012467654,0.7287697012467654,0.7287697012467654,0.7883805781644682,0.7883805781644682,0.7883805781644682
2_upper,2018-01-05 11:17:00-05:00,4.75,15.25,26.25,25.0,37.5,4.732142857142857,8.607142857142858,7.928571428571429,7.232142857142857,1.493328211224998,1.5262290128833793,1.4216968870903994,13.970000267028809,-0.01341804960669013,0.8864775487004599,0.8864775487004599,0.8864775487004599,0.8688033583321542,0.8688033583321542,0.8688033583321542,0.723864506794519,0.723864506794519,0.723864506794519
3_upper,2018-01-05 15:48:00-05:00,4.75,5.25,6.5,9.5,37.5,2.6785714285714284,4.285714285714286,9.375,9.642857142857142,0.8592397961700944,0.8673801021482461,0.973474449295024,13.970000267028809,-0.01341804960669013,0.7550970873786408,0.7550970873786408,0.7550970873786408,0.684682664274501,0.684682664274501,0.684682664274501,0.7414518074252746,0.7414518074252746,0.7414518074252746
4_upper,2018-01-09 08:26:00-05:00,4.25,5.75,5.75,7.75,37.5,1.5357142857142858,2.9464285714285716,3.232142857142857,5.25,0.6293191074761375,0.5981884247246144,0.5739763884689074,13.84000015258789,0.026706277639223064,0.7865796831314072,0.7865796831314072,0.7865796831314072,0.8061657032755298,0.8061657032755298,0.8061657032755298,0.8052863436123348,0.8052863436123348,0.8052863436123348
4_lower,2018-01-10 10:02:00-05:00,31.25,35.5,35.5,35.5,40.0,8.053571428571429,7.303571428571429,9.535714285714286,10.017857142857142,3.3389392345323103,2.7156635987584017,2.172467584961496,14.630000114440918,0.057080921469882195,1.804234083994246,1.804234083994246,1.804234083994246,1.772075068021674,1.772075068021674,1.772075068021674,1.7325614520592545,1.7325614520592545,1.7325614520592545
5_upper,2018-01-12 03:25:00-05:00,2.5,3.25,6.25,14.0,64.5,2.017857142857143,3.4285714285714284,4.321428571428571,8.946428571428571,0.8107846317217144,0.7194334960215074,0.6710706809385223,14.770000457763672,-0.033376916500007736,1.0766456266907123,1.0766456266907123,1.0766456266907123,1.3442622950819672,1.3442622950819672,1.3442622950819672,2.95731454620804,2.95731454620804,2.95731454620804
5_lower,2018-01-10 05:59:00-05:00,13.75,9.5,7.0,10.5,40.0,3.75,4.696428571428571,5.071428571428571,8.321428571428571,1.7961521436981922,1.435089807723904,1.151525948265066,14.630000114440918,0.057080921469882195,2.126600284495021,2.126600284495021,2.126600284495021,1.2431662870159452,1.2431662870159452,1.2431662870159452,1.7814733770970095,1.7814733770970095,1.7814733770970095
6_upper,2018-01-11 12:38:00-05:00,11.0,11.5,8.0,23.0,58.5,3.857142857142857,7.464285714285714,8.428571428571429,9.678571428571429,1.1511958099531712,1.2537415063572608,1.2520274358271497,15.279999732971191,0.04442922853354414,1.275127644055434,1.275127644055434,1.275127644055434,0.7846266978112293,0.7846266978112293,0.7846266978112293,0.9438412401528,0.9438412401528,0.9438412401528
6_lower,2018-02-05 15:04:00-05:00,63.5,66.75,117.0,72.0,211.25,17.071428571428573,25.25,39.80357142857143,34.017857142857146,6.043390555167634,5.280252752864999,4.728032606120606,20.65999984741211,0.07885118845750227,5.055676625659051,5.353157914325059,8.681434089811685,3.9491328713068277,4.525965759021035,6.936369725385131,3.9265831181445594,3.9581368135738932,4.735233197628741
7_lower,2018-02-05 14:51:00-05:00,19.0,58.25,49.75,72.0,211.25,16.196428571428573,25.321428571428573,38.07142857142857,31.285714285714285,4.470541674970245,4.36783665834008,4.212584462090458,20.65999984741211,0.07885118845750227,2.855232100708104,3.4247032775579833,5.1492032307356475,4.403861342694164,4.55413376894455,6.797426346088724,3.9265831181445594,3.9581368135738932,4.735233197628741
8_upper,2018-01-12 13:01:00-05:00,9.0,15.0,15.25,35.5,64.5,3.607142857142857,9.607142857142858,11.910714285714286,12.410714285714286,1.1810280741267576,1.359571641753754,1.456308941795318,14.770000457763672,-0.033376916500007736,1.2604721509830998,1.2604721509830998,1.2604721509830998,1.1182688098067421,1.1182688098067421,1.1182688098067421,1.1716351519660968,1.1716351519660968,1.1716351519660968
8_lower,2018-02-05 14:48:00-05:00,19.0,58.25,49.75,72.0,211.25,16.232142857142858,25.321428571428573,38.07142857142857,31.285714285714285,4.273575913348676,4.268107322498155,4.159312598930001,20.65999984741211,0.07885118845750227,2.855232100708104,3.4247032775579833,5.1492032307356475,4.403861342694164,4.55413376894455,6.797426346088724,3.9265831181445594,3.9581368135738932,4.735233197628741
9_upper,2018-01-16 05:23:00-05:00,2.5,7.5,11.0,11.25,25.5,2.017857142857143,3.6785714285714284,4.25,6.267857142857143,0.630432312308115,0.6300404646906508,0.6135021620360891,14.56999969482422,-0.013541012643254358,2.5473790322580645,2.5473790322580645,2.5473790322580645,2.414693381906497,2.414693381906497,2.414693381906497,1.5126143609647906,1.5126143609647906,1.5126143609647906
9_lower,2018-01-16 14:22:00-05:00,13.75,22.25,24.25,41.5,25.5,7.464285714285714,15.75,15.910714285714286,14.642857142857142,2.530521756775849,2.5459752324487903,2.458534553327201,14.56999969482422,-0.013541012643254358,3.980916374111081,3.980916374111081,3.980916374111081,3.8969866853538893,3.8969866853538893,3.8969866853538893,3.3653284883159054,3.3653284883159054,3.3653284883159054
10_upper,2018-01-22 10:12:00-05:00,14.25,23.75,23.75,23.75,55.5,5.125,4.892857142857143,5.660714285714286,6.428571428571429,1.9465686555147497,1.5943846761055214,1.2839071639887225,16.149999618530273,-0.04719770551033553,0.9991985522233713,0.9840235255178033,0.9840235255178033,1.0049998820782529,0.9909769540243251,0.9909769540243251,1.0342296754767482,1.000677760356077,1.000677760356077
10_lower,2018-01-16 13:55:00-05:00,8.5,15.0,28.75,55.75,25.5,7.732142857142857,16.25,15.339285714285714,12.946428571428571,2.2852713081444103,2.472954997593925,2.413618659824643,14.56999969482422,-0.013541012643254358,3.8413733905579397,3.8413733905579397,3.8413733905579397,2.9096377306903625,2.9096377306903625,2.9096377306903625,2.316809665267106,2.316809665267106,2.316809665267106
11_upper,2018-01-17 14:53:00-05:00,7.5,15.75,15.75,33.75,116.5,5.196428571428571,9.732142857142858,14.303571428571429,15.0,1.5013296071062343,1.620931567847261,1.7473788701427764,16.34000015258789,0.12148253224689065,2.4519350811485645,2.4519350811485645,2.4519350811485645,2.283285901084532,2.283285901084532,2.283285901084532,1.916488444291135,1.916488444291135,1.916488444291135
11_lower,2018-02-04 18:00:00-05:00,,,,,211.25,9.303571428571429,20.428571428571427,28.785714285714285,37.32142857142857,2.986548625764863,3.342207256152433,3.432791329237307,20.65999984741211,0.07885118845750227,,,,,,,0.1,0.1,0.1
12_upper,2018-01-22 10:09:00-05:00,14.25,23.75,23.75,23.75,55.5,5.017857142857143,4.892857142857143,5.660714285714286,6.428571428571429,1.6807565133536564,1.4208220336305923,1.1713265554212902,16.149999618530273,-0.04719770551033553,0.9991985522233713,0.9840235255178033,0.9840235255178033,1.0049998820782529,0.9909769540243251,0.9909769540243251,1.0342296754767482,1.000677760356077,1.000677760356077
13_upper,2018-01-22 12:31:00-05:00,6.25,11.25,17.0,41.75,55.5,5.107142857142857,10.303571428571429,10.178571428571429,9.535714285714286,1.6047666081911383,1.6113627875731018,1.483029580397761,16.149999618530273,-0.04719770551033553,1.6446480231436837,1.803569068076669,1.803569068076669,1.140524835124291,1.1039932144371778,1.1039932144371778,1.3045230113777102,1.2778092295747536,1.2778092295747536
13_lower,2018-02-02 15:05:00-05:00,34.5,37.25,42.5,48.0,103.0,13.089285714285714,19.285714285714285,29.857142857142858,32.482142857142854,3.950767229040713,3.6540177978838013,3.490488760573635,19.14999961853028,-0.025445293114840117,3.2118233827196714,3.742255266418835,5.196700884115588,3.1025191077834973,3.207134939030535,4.633856547948397,2.172420434301122,2.187190207840999,2.578044425398186
14_upper,2018-01-22 15:50:00-05:00,6.0,8.75,11.0,15.25,55.5,3.5357142857142856,6.089285714285714,11.767857142857142,11.285714285714286,1.1153866130504708,1.1145208889843508,1.1871939634136148,16.149999618530273,-0.04719770551033553,1.0601715169408126,1.0710887010865706,1.0710887010865706,1.347083685545224,1.150696801213084,1.150696801213084,1.2972741950802544,1.3734770148653404,1.3734770148653404
14_lower,2018-02-02 15:03:00-05:00,34.5,37.25,42.5,48.0,103.0,12.517857142857142,19.285714285714285,29.857142857142858,32.482142857142854,3.770058480783914,3.5501439035962647,3.4345942911744123,19.14999961853028,-0.025445293114840117,3.2118233827196714,3.742255266418835,5.196700884115588,3.1025191077834973,3.207134939030535,4.633856547948397,2.172420434301122,2.187190207840999,2.578044425398186
15_upper,2018-01-24 10:14:00-05:00,20.0,28.25,28.25,30.0,61.5,8.767857142857142,7.232142857142857,7.0,8.392857142857142,2.625935967667837,2.1807510841002413,1.7512411622803754,16.75,0.02823812514548063,1.224000194846315,1.2997711078638028,1.2795182870164092,1.0812881623005712,1.2914814030630248,1.2735054631498364,1.0716043748268163,1.3084424630816383,1.3084424630816383
15_lower,2018-01-24 13:16:00-05:00,28.5,25.0,37.25,89.0,61.5,11.375,20.625,17.446428571428573,15.928571428571429,3.518037859797528,3.4034280491395448,3.016345685103473,16.75,0.02823812514548063,4.256530397094998,4.703035009383291,4.636723235932116,3.6737561921171658,4.0289940653695115,4.166274845052362,2.171181548899972,2.5909214501510576,2.5423027895532564
16_upper,2018-01-28 18:24:00-05:00,6.0,,,,100.25,4.160714285714286,8.607142857142858,12.964285714285714,15.571428571428571,1.2472257691053208,1.3838557271435419,1.4766097284618305,17.520000457763672,-0.03999997491705909,,,,,,,0.1,0.1,0.1
16_lower,2018-01-24 11:34:00-05:00,19.75,44.0,26.5,30.0,61.5,9.928571428571429,13.339285714285714,11.214285714285714,9.714285714285714,3.5658302344380397,3.027285133668897,2.4643872130019275,16.75,0.02823812514548063,3.053578828962169,3.8957664564371766,3.8957664564371766,1.2127465444944867,1.490794544738632,1.482445628314804,1.0716043748268163,1.3084424630816383,1.3084424630816383
17_upper,2018-01-28 18:21:00-05:00,6.0,,,,100.25,4.160714285714286,8.607142857142858,12.964285714285714,15.571428571428571,1.2784065925167687,1.4022937451855224,1.4867673155579837,17.520000457763672,-0.03999997491705909,,,,,,,0.1,0.1,0.1
17_lower,2018-02-02 04:21:00-05:00,11.5,22.0,32.75,43.5,103.0,6.339285714285714,7.946428571428571,10.732142857142858,24.642857142857142,1.7973471796828457,1.6800094437864026,1.7121387233197922,19.14999961853028,-0.025445293114840117,2.9329021827000807,2.934088152042054,3.736354273944387,2.0110282192669477,2.112076307273037,2.32253230942124,2.10123563841318,2.187789188579167,2.471758255769476
18_upper,2018-01-26 15:19:00-05:00,15.25,14.25,15.25,27.5,85.25,5.357142857142857,8.303571428571429,12.125,12.660714285714286,1.5099842862098305,1.4932670371276702,1.5437670289047767,18.25,0.019553094353555345,1.4025306038473409,2.0066230039002133,1.9899292125811865,1.6423592201285262,1.889950803747689,1.889950803747689,1.080172987358616,1.2668937677266383,1.3273690665241114
18_lower,2018-01-30 10:05:00-05:00,25.75,36.75,36.75,51.5,67.25,11.0,10.160714285714286,11.660714285714286,17.821428571428573,3.953031825630396,3.3122138606255613,2.701315171854518,19.21999931335449,0.09703189561490522,1.5453309800580204,1.7811396637594408,1.8824430687869913,1.6301713866739986,1.7320531297472053,1.8847739241928134,1.613632759222254,1.6357220368956231,1.8107170187396557
19_lower,2018-01-29 22:52:00-05:00,6.5,25.0,5.5,13.5,67.25,3.982142857142857,6.517857142857143,9.928571428571429,18.821428571428573,1.5671281515100526,1.3857897951679556,1.4231173074501997,19.21999931335449,-0.03999997491705909,3.7491349480968856,3.947176684881603,4.715995647442873,1.4109965635738833,1.465381870092791,1.5743865030674846,1.394654535115155,1.4271166715158567,1.6509592729720632
20_lower,2018-02-02 05:14:00-05:00,10.5,18.0,31.0,43.5,103.0,9.0,10.214285714285714,11.857142857142858,25.964285714285715,2.334437554822986,2.1663310722478015,2.016879730032964,19.14999961853028,-0.025445293114840117,3.0007794232268123,3.734238603297769,3.842315369261477,3.8773352132534367,4.978501923512106,5.144995322731525,2.10123563841318,2.187789188579167,2.471758255769476
21_lower,2018-01-31 15:08:00-05:00,23.5,28.75,48.0,30.75,103.75,10.696428571428571,12.017857142857142,15.767857142857142,16.839285714285715,3.0602049858968976,2.747108973751415,2.40676380140846,20.350000381469727,0.058792981710987346,2.3117491499811105,3.0884772624034724,4.462660443407234,2.527998752144751,3.3041794087665646,4.057582775239407,1.0978140497857383,1.158326559642349,1.4244080714687324
22_lower,2018-02-02 06:36:00-05:00,9.25,12.0,17.25,41.75,103.0,6.232142857142857,12.267857142857142,13.0,25.303571428571427,1.8947087897151191,1.9665389746053856,1.9557266097981492,19.14999961853028,-0.025445293114840117,2.8229665071770333,3.0971128608923886,3.938960419647115,3.443298969072165,3.626784637040016,4.688328567715103,3.6469302240845325,4.08780886256892,4.9160117878192535
23_upper,2018-02-26 12:57:00-05:00,9.75,10.5,30.0,32.5,131.0,5.517857142857143,13.517857142857142,12.839285714285714,13.571428571428571,1.7048376564288226,1.916311477149297,1.9240820149383482,18.15999984741211,-0.13151602200228374,0.8133749184013926,0.7387838461031688,0.7893847669998593,0.816112563815216,0.7585352869013726,0.7585352869013726,0.861966328713608,0.7986192236244901,0.7986192236244901
24_upper,2018-02-21 14:00:00-05:00,11.0,12.75,13.5,21.5,120.5,5.75,13.410714285714286,15.660714285714286,20.142857142857142,1.7505536299218805,1.978099533084354,2.1156665300754134,21.670000076293945,0.05913983606869144,0.4402063648484146,0.4199524415196593,0.6019579089215648,0.4213597079654301,0.4240854137227194,0.484301877319754,0.6988140069065737,0.7296666721052031,0.7925568206991273
24_lower,2018-02-05 15:07:00-05:00,63.5,66.75,117.0,72.0,211.25,18.410714285714285,25.25,39.80357142857143,34.017857142857146,7.414724682564077,6.130786792676475,5.229722021070757,20.65999984741211,0.07885118845750227,5.055676625659051,5.353157914325059,8.681434089811685,3.9491328713068277,4.525965759021035,6.936369725385131,3.9265831181445594,3.9581368135738932,4.735233197628741
25_upper,2018-02-07 10:08:00-05:00,41.75,44.75,44.75,45.5,417.25,18.375,17.5,20.428571428571427,31.0,5.647396881644922,4.778500146087962,4.0325664843028965,26.700000762939453,-0.19139914013351444,1.1567897905994429,1.298220841570178,1.3726924676598875,1.2697619318089612,1.4297408909841758,1.469688289489749,1.4292963947737085,1.5525862202829237,1.5525862202829237
25_lower,2018-02-09 12:36:00-05:00,59.25,76.0,89.5,139.0,317.5,28.0,49.517857142857146,47.392857142857146,48.160714285714285,8.079155357298328,7.770509868837238,7.017470845674926,33.88999938964844,0.37040032417985946,3.3199973013088653,3.4909903518728718,4.457538837809683,1.3050788547595256,1.532074413148533,1.7855380866050465,1.3331040939936531,1.5556823291095179,1.6798237600296517
