candidate_id,feature_set,mfe_quantile,mae_quantile,n_folds,aggregate_net_pts,aggregate_PF,aggregate_PF_R,median_avg_R,n_profitable_folds,mean_clip_fraction
learned|fs=F1|mfeq=0.50|maeq=0.50,F1,0.5,0.5,5,-1161.39,0.9672,0.9699,0.0035,3,0.0
learned|fs=F1|mfeq=0.50|maeq=0.65,F1,0.5,0.65,5,-416.53,0.9889,0.9842,0.0143,3,0.0
learned|fs=F1|mfeq=0.50|maeq=0.80,F1,0.5,0.8,5,-2120.54,0.9458,0.9465,-0.003,3,0.0
learned|fs=F1|mfeq=0.65|maeq=0.50,F1,0.65,0.5,5,203.37,1.005,1.0207,-0.002,2,0.0027
learned|fs=F1|mfeq=0.65|maeq=0.65,F1,0.65,0.65,5,-419.29,0.9906,1.0033,-0.0049,3,0.0027
learned|fs=F1|mfeq=0.65|maeq=0.80,F1,0.65,0.8,5,254.77,1.0057,1.0098,0.0002,3,0.0027
learned|fs=F1|mfeq=0.80|maeq=0.50,F1,0.8,0.5,5,-1118.44,0.9747,0.988,0.0002,3,0.0853
learned|fs=F1|mfeq=0.80|maeq=0.65,F1,0.8,0.65,5,-2040.05,0.9585,0.9713,-0.0128,2,0.0853
learned|fs=F1|mfeq=0.80|maeq=0.80,F1,0.8,0.8,5,-1396.0,0.9722,0.9746,-0.0123,3,0.0853
learned|fs=F2|mfeq=0.50|maeq=0.50,F2,0.5,0.5,5,1706.53,1.0481,1.0318,0.0339,4,0.0
learned|fs=F2|mfeq=0.50|maeq=0.65,F2,0.5,0.65,5,344.36,1.009,0.9843,0.0008,3,0.0
learned|fs=F2|mfeq=0.50|maeq=0.80,F2,0.5,0.8,5,-3129.46,0.9239,0.9089,-0.0185,2,0.0
learned|fs=F2|mfeq=0.65|maeq=0.50,F2,0.65,0.5,5,253.4,1.0063,1.0133,-0.0094,2,0.0017
learned|fs=F2|mfeq=0.65|maeq=0.65,F2,0.65,0.65,5,-2133.16,0.9521,0.9416,-0.0113,2,0.0017
learned|fs=F2|mfeq=0.65|maeq=0.80,F2,0.65,0.8,5,-4304.87,0.9079,0.91,0.0033,2,0.0017
learned|fs=F2|mfeq=0.80|maeq=0.50,F2,0.8,0.5,5,680.55,1.0158,1.027,0.0057,3,0.071
learned|fs=F2|mfeq=0.80|maeq=0.65,F2,0.8,0.65,5,-706.43,0.9852,0.981,-0.009,3,0.071
learned|fs=F2|mfeq=0.80|maeq=0.80,F2,0.8,0.8,5,-2236.6,0.9551,0.9545,-0.0014,3,0.071
learned|fs=F3|mfeq=0.50|maeq=0.50,F3,0.5,0.5,5,1035.78,1.0285,1.0192,0.0254,4,0.0
learned|fs=F3|mfeq=0.50|maeq=0.65,F3,0.5,0.65,5,-1327.58,0.9669,0.9518,-0.016,3,0.0
learned|fs=F3|mfeq=0.50|maeq=0.80,F3,0.5,0.8,5,-3523.42,0.9161,0.9073,-0.0174,2,0.0
learned|fs=F3|mfeq=0.65|maeq=0.50,F3,0.65,0.5,5,942.85,1.0233,1.0265,-0.0049,2,0.0017
learned|fs=F3|mfeq=0.65|maeq=0.65,F3,0.65,0.65,5,-2004.75,0.9558,0.9538,0.0023,2,0.0017
learned|fs=F3|mfeq=0.65|maeq=0.80,F3,0.65,0.8,5,-2615.69,0.9436,0.9432,-0.0013,3,0.0017
learned|fs=F3|mfeq=0.80|maeq=0.50,F3,0.8,0.5,5,1145.76,1.0263,1.023,0.0271,3,0.078
learned|fs=F3|mfeq=0.80|maeq=0.65,F3,0.8,0.65,5,-2052.76,0.9582,0.9518,-0.0161,2,0.078
learned|fs=F3|mfeq=0.80|maeq=0.80,F3,0.8,0.8,5,-2008.93,0.9602,0.9544,-0.0144,3,0.078
learned|fs=F4|mfeq=0.50|maeq=0.50,F4,0.5,0.5,5,686.57,1.0184,1.0068,0.0153,3,0.0
learned|fs=F4|mfeq=0.50|maeq=0.65,F4,0.5,0.65,5,-695.12,0.9829,0.961,-0.0234,2,0.0
learned|fs=F4|mfeq=0.50|maeq=0.80,F4,0.5,0.8,5,-3381.14,0.9206,0.9142,-0.018,2,0.0
learned|fs=F4|mfeq=0.65|maeq=0.50,F4,0.65,0.5,5,1417.65,1.0343,1.0369,0.0435,3,0.0039
learned|fs=F4|mfeq=0.65|maeq=0.65,F4,0.65,0.65,5,-1811.75,0.9607,0.9598,-0.0022,2,0.0039
learned|fs=F4|mfeq=0.65|maeq=0.80,F4,0.65,0.8,5,-2765.43,0.9416,0.9425,0.0007,3,0.0039
learned|fs=F4|mfeq=0.80|maeq=0.50,F4,0.8,0.5,5,1036.66,1.0233,1.0329,0.0183,3,0.0912
learned|fs=F4|mfeq=0.80|maeq=0.65,F4,0.8,0.65,5,-2205.61,0.9558,0.9563,-0.017,2,0.0912
learned|fs=F4|mfeq=0.80|maeq=0.80,F4,0.8,0.8,5,-2435.08,0.9526,0.9558,-0.0222,2,0.0912
