scale,test_year,n_candidates,median_pf,min_pf,median_avg_r,worst_year_net,pct_profitable
S1_range30m,2022,1,1.039070641404297,1.039070641404297,-0.06542286995515696,-1282.58,100.0
S1_range30m,2023,8,1.133928821623379,1.0106857637554874,-0.057461757476246864,-1492.09,100.0
S1_range30m,2024,2,1.4890635703379378,1.4515572189100192,-0.08570575178833889,-946.36,100.0
S2_atr60m,2022,1,1.270047862960786,1.270047862960786,-0.08127352459016392,-509.88,100.0
S2_atr60m,2023,5,1.5886638504716162,1.0156241146807183,-0.044767182662538714,-1076.09,100.0
S2_atr60m,2024,49,1.446992138761951,1.012715851823545,-0.03364805194805194,-1256.9,100.0
S2_atr60m,2025,12,1.2842321381843314,1.0082557613980452,-0.0327684571935799,-1847.77,100.0
S3_prevsessrange,2021,62,1.3121306223036995,1.0017206044292184,-0.03594104208216468,-902.91,100.0
S3_prevsessrange,2022,162,1.6229367560902563,1.0283139968458501,-0.013581331028435922,-1029.89,100.0
S3_prevsessrange,2023,13,1.3488395388977932,1.055399560946081,-0.025047928436911483,-1188.53,100.0
S3_prevsessrange,2024,14,1.4950950681863628,1.0261744654237586,-0.01712765036602361,-1305.88,100.0
S3_prevsessrange,2025,5,1.1094867288225685,1.021462983464095,-0.014710522742701968,-1188.53,100.0
S4_geomean,2023,1,1.0006261525335094,1.0006261525335094,-0.06485904486251808,-820.97,100.0
S4_geomean,2024,3,1.3490323545811858,1.142647384917805,-0.07185462753950338,-815.3,100.0
