candidate_id,family,scale,gamma,a_tp_mult,b_sl_mult,qualifying_touches,executed,skipped_position_open,TP,SL,cutoff,win_rate,net_pts,avg_pnl,median_pnl,avg_R,median_R,PF_pts,PF_R,max_dd_pts,max_dd_R,yearly_json
simple|scale=S1_range30m|gamma=+0.00|a=0.50|b=0.50,simple,S1_range30m,0.0,0.5,0.5,3144,2520,624,1183,1257,80,0.48214285714285715,-1852.88,-0.7353,-3.875,-0.114,-0.9523,0.9419,0.7946,-2883.85,-308.5302,"[{""year"": 2018, ""n"": 307, ""net_pts"": -961.6, ""PF"": 0.5963, ""avg_R"": -0.258}, {""year"": 2019, ""n"": 279, ""net_pts"": -708.86, ""PF"": 0.6037, ""avg_R"": -0.3648}, {""year"": 2020, ""n"": 295, ""net_pts"": 24.25, ""PF"": 1.0072, ""avg_R"": -0.1056}, {""year"": 2021, ""n"": 292, ""net_pts"": -77.39, ""PF"": 0.9761, ""avg_R"": -0.0414}, {""year"": 2022, ""n"": 315, ""net_pts"": -420.34, ""PF"": 0.9216, ""avg_R"": -0.0219}, {""year"": 2023, ""n"": 301, ""net_pts"": -159.4, ""PF"": 0.9533, ""avg_R"": -0.0988}, {""year"": 2024, ""n"": 329, ""net_pts"": -143.94, ""PF"": 0.9695, ""avg_R"": -0.0921}, {""year"": 2025, ""n"": 284, ""net_pts"": 9.13, ""PF"": 1.0017, ""avg_R"": -0.0228}, {""year"": 2026, ""n"": 118, ""net_pts"": 585.27, ""PF"": 1.2604, ""avg_R"": 0.0877}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.50|b=0.75,simple,S1_range30m,0.0,0.5,0.75,3144,2413,731,1348,955,110,0.5743887277248239,-2124.84,-0.8806,6.0,-0.0869,0.5714,0.9401,0.8009,-4047.77,-239.6511,"[{""year"": 2018, ""n"": 295, ""net_pts"": -1131.43, ""PF"": 0.5916, ""avg_R"": -0.2009}, {""year"": 2019, ""n"": 269, ""net_pts"": -504.98, ""PF"": 0.727, ""avg_R"": -0.2363}, {""year"": 2020, ""n"": 287, ""net_pts"": -337.4, ""PF"": 0.9153, ""avg_R"": -0.1154}, {""year"": 2021, ""n"": 286, ""net_pts"": -347.65, ""PF"": 0.9096, ""avg_R"": -0.059}, {""year"": 2022, ""n"": 301, ""net_pts"": -368.9, ""PF"": 0.9359, ""avg_R"": -0.0192}, {""year"": 2023, ""n"": 278, ""net_pts"": -499.95, ""PF"": 0.87, ""avg_R"": -0.0818}, {""year"": 2024, ""n"": 309, ""net_pts"": -605.98, ""PF"": 0.8902, ""avg_R"": -0.1025}, {""year"": 2025, ""n"": 273, ""net_pts"": 834.12, ""PF"": 1.1511, ""avg_R"": 0.0452}, {""year"": 2026, ""n"": 115, ""net_pts"": 837.33, ""PF"": 1.3544, ""avg_R"": 0.0949}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.50|b=1.00,simple,S1_range30m,0.0,0.5,1.0,3144,2327,817,1420,751,156,0.6278470133218736,-3111.49,-1.3371,7.5,-0.0783,0.4407,0.917,0.7841,-4797.59,-205.5615,"[{""year"": 2018, ""n"": 281, ""net_pts"": -1075.45, ""PF"": 0.6153, ""avg_R"": -0.1634}, {""year"": 2019, ""n"": 258, ""net_pts"": -665.53, ""PF"": 0.6685, ""avg_R"": -0.2305}, {""year"": 2020, ""n"": 278, ""net_pts"": -354.32, ""PF"": 0.9158, ""avg_R"": -0.1111}, {""year"": 2021, ""n"": 273, ""net_pts"": -46.94, ""PF"": 0.9874, ""avg_R"": -0.0349}, {""year"": 2022, ""n"": 293, ""net_pts"": -639.13, ""PF"": 0.8975, ""avg_R"": -0.0374}, {""year"": 2023, ""n"": 270, ""net_pts"": -512.44, ""PF"": 0.8709, ""avg_R"": -0.057}, {""year"": 2024, ""n"": 295, ""net_pts"": -1003.56, ""PF"": 0.8307, ""avg_R"": -0.0882}, {""year"": 2025, ""n"": 265, ""net_pts"": 103.69, ""PF"": 1.0166, ""avg_R"": 0.0139}, {""year"": 2026, ""n"": 114, ""net_pts"": 1082.2, ""PF"": 1.4586, ""avg_R"": 0.1069}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.50|b=1.25,simple,S1_range30m,0.0,0.5,1.25,3144,2261,883,1453,618,190,0.6620964175143742,-4436.32,-1.9621,8.25,-0.0734,0.3587,0.8862,0.7659,-6129.09,-187.6803,"[{""year"": 2018, ""n"": 268, ""net_pts"": -1000.51, ""PF"": 0.6369, ""avg_R"": -0.1363}, {""year"": 2019, ""n"": 255, ""net_pts"": -347.65, ""PF"": 0.803, ""avg_R"": -0.1746}, {""year"": 2020, ""n"": 269, ""net_pts"": -783.13, ""PF"": 0.8281, ""avg_R"": -0.1358}, {""year"": 2021, ""n"": 264, ""net_pts"": -381.58, ""PF"": 0.9044, ""avg_R"": -0.0469}, {""year"": 2022, ""n"": 284, ""net_pts"": -1845.76, ""PF"": 0.746, ""avg_R"": -0.0826}, {""year"": 2023, ""n"": 267, ""net_pts"": -514.63, ""PF"": 0.8746, ""avg_R"": -0.022}, {""year"": 2024, ""n"": 284, ""net_pts"": -1033.57, ""PF"": 0.8268, ""avg_R"": -0.0795}, {""year"": 2025, ""n"": 258, ""net_pts"": 560.95, ""PF"": 1.0927, ""avg_R"": 0.0234}, {""year"": 2026, ""n"": 112, ""net_pts"": 909.57, ""PF"": 1.3598, ""avg_R"": 0.0879}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.50|b=1.50,simple,S1_range30m,0.0,0.5,1.5,3144,2216,928,1484,509,223,0.6904332129963899,-4083.15,-1.8426,8.75,-0.0627,0.3004,0.8951,0.7683,-6350.57,-165.3831,"[{""year"": 2018, ""n"": 262, ""net_pts"": -1242.92, ""PF"": 0.5835, ""avg_R"": -0.1133}, {""year"": 2019, ""n"": 252, ""net_pts"": -417.15, ""PF"": 0.7768, ""avg_R"": -0.1594}, {""year"": 2020, ""n"": 260, ""net_pts"": -895.37, ""PF"": 0.804, ""avg_R"": -0.1395}, {""year"": 2021, ""n"": 261, ""net_pts"": -184.79, ""PF"": 0.9518, ""avg_R"": -0.03}, {""year"": 2022, ""n"": 277, ""net_pts"": -1214.3, ""PF"": 0.8203, ""avg_R"": -0.0662}, {""year"": 2023, ""n"": 261, ""net_pts"": -835.05, ""PF"": 0.8128, ""avg_R"": -0.0321}, {""year"": 2024, ""n"": 277, ""net_pts"": -1333.03, ""PF"": 0.7854, ""avg_R"": -0.0724}, {""year"": 2025, ""n"": 255, ""net_pts"": 955.31, ""PF"": 1.1637, ""avg_R"": 0.0448}, {""year"": 2026, ""n"": 111, ""net_pts"": 1084.14, ""PF"": 1.4474, ""avg_R"": 0.0938}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.50|b=1.75,simple,S1_range30m,0.0,0.5,1.75,3144,2165,979,1493,420,252,0.7108545034642032,-2315.31,-1.0694,9.5,-0.0542,0.2595,0.9383,0.7722,-5184.54,-137.7053,"[{""year"": 2018, ""n"": 256, ""net_pts"": -1251.16, ""PF"": 0.5869, ""avg_R"": -0.11}, {""year"": 2019, ""n"": 246, ""net_pts"": -628.13, ""PF"": 0.6903, ""avg_R"": -0.1725}, {""year"": 2020, ""n"": 254, ""net_pts"": -414.07, ""PF"": 0.9015, ""avg_R"": -0.1205}, {""year"": 2021, ""n"": 257, ""net_pts"": 187.18, ""PF"": 1.0535, ""avg_R"": -0.0148}, {""year"": 2022, ""n"": 273, ""net_pts"": -718.25, ""PF"": 0.8876, ""avg_R"": -0.0281}, {""year"": 2023, ""n"": 256, ""net_pts"": -818.79, ""PF"": 0.8146, ""avg_R"": -0.0215}, {""year"": 2024, ""n"": 265, ""net_pts"": -1313.35, ""PF"": 0.786, ""avg_R"": -0.0642}, {""year"": 2025, ""n"": 250, ""net_pts"": 1307.12, ""PF"": 1.2327, ""avg_R"": 0.0325}, {""year"": 2026, ""n"": 108, ""net_pts"": 1334.14, ""PF"": 1.6058, ""avg_R"": 0.0911}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.50|b=2.00,simple,S1_range30m,0.0,0.5,2.0,3144,2136,1008,1513,351,272,0.7298689138576779,-2065.62,-0.9671,10.0,-0.0457,0.2273,0.9448,0.7826,-5071.31,-116.3276,"[{""year"": 2018, ""n"": 251, ""net_pts"": -1119.14, ""PF"": 0.6123, ""avg_R"": -0.0923}, {""year"": 2019, ""n"": 243, ""net_pts"": -513.76, ""PF"": 0.7387, ""avg_R"": -0.1335}, {""year"": 2020, ""n"": 250, ""net_pts"": -351.7, ""PF"": 0.9154, ""avg_R"": -0.1116}, {""year"": 2021, ""n"": 253, ""net_pts"": 204.42, ""PF"": 1.0592, ""avg_R"": -0.0153}, {""year"": 2022, ""n"": 271, ""net_pts"": -857.49, ""PF"": 0.8695, ""avg_R"": -0.0272}, {""year"": 2023, ""n"": 253, ""net_pts"": -629.77, ""PF"": 0.8532, ""avg_R"": -0.0102}, {""year"": 2024, ""n"": 260, ""net_pts"": -1575.9, ""PF"": 0.7566, ""avg_R"": -0.0663}, {""year"": 2025, ""n"": 247, ""net_pts"": 1087.08, ""PF"": 1.1911, ""avg_R"": 0.0248}, {""year"": 2026, ""n"": 108, ""net_pts"": 1690.64, ""PF"": 1.8637, ""avg_R"": 0.1004}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.75|b=0.50,simple,S1_range30m,0.0,0.75,0.5,3144,2483,661,913,1440,130,0.39669754329440193,-1499.1,-0.6037,-8.0,-0.1026,-1.0231,0.9591,0.841,-2312.03,-273.3922,"[{""year"": 2018, ""n"": 304, ""net_pts"": -856.15, ""PF"": 0.675, ""avg_R"": -0.2335}, {""year"": 2019, ""n"": 278, ""net_pts"": -531.29, ""PF"": 0.7281, ""avg_R"": -0.3392}, {""year"": 2020, ""n"": 292, ""net_pts"": 355.39, ""PF"": 1.0914, ""avg_R"": -0.0989}, {""year"": 2021, ""n"": 287, ""net_pts"": 216.77, ""PF"": 1.0585, ""avg_R"": -0.0122}, {""year"": 2022, ""n"": 310, ""net_pts"": -198.43, ""PF"": 0.9671, ""avg_R"": -0.0237}, {""year"": 2023, ""n"": 297, ""net_pts"": 140.08, ""PF"": 1.0363, ""avg_R"": -0.0607}, {""year"": 2024, ""n"": 321, ""net_pts"": -191.34, ""PF"": 0.964, ""avg_R"": -0.0855}, {""year"": 2025, ""n"": 278, ""net_pts"": -814.02, ""PF"": 0.8748, ""avg_R"": -0.034}, {""year"": 2026, ""n"": 116, ""net_pts"": 379.89, ""PF"": 1.139, ""avg_R"": 0.0451}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.75|b=0.75,simple,S1_range30m,0.0,0.75,0.75,3144,2357,787,1053,1122,182,0.4840899448451421,-2581.68,-1.0953,-4.3907,-0.0857,-0.2603,0.9383,0.8369,-3656.86,-220.7067,"[{""year"": 2018, ""n"": 293, ""net_pts"": -1064.91, ""PF"": 0.6615, ""avg_R"": -0.1825}, {""year"": 2019, ""n"": 268, ""net_pts"": -334.15, ""PF"": 0.8415, ""avg_R"": -0.2181}, {""year"": 2020, ""n"": 279, ""net_pts"": 34.69, ""PF"": 1.0076, ""avg_R"": -0.1102}, {""year"": 2021, ""n"": 279, ""net_pts"": -92.65, ""PF"": 0.9795, ""avg_R"": -0.0436}, {""year"": 2022, ""n"": 292, ""net_pts"": -58.66, ""PF"": 0.9911, ""avg_R"": 0.0047}, {""year"": 2023, ""n"": 274, ""net_pts"": -357.0, ""PF"": 0.9196, ""avg_R"": -0.0539}, {""year"": 2024, ""n"": 296, ""net_pts"": -1153.51, ""PF"": 0.8196, ""avg_R"": -0.1506}, {""year"": 2025, ""n"": 265, ""net_pts"": -80.25, ""PF"": 0.9885, ""avg_R"": 0.0143}, {""year"": 2026, ""n"": 111, ""net_pts"": 524.75, ""PF"": 1.1701, ""avg_R"": 0.063}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.75|b=1.00,simple,S1_range30m,0.0,0.75,1.0,3144,2261,883,1127,896,238,0.5404688191065901,-3562.68,-1.5757,6.1512,-0.0792,0.55,0.9204,0.822,-4801.71,-198.3285,"[{""year"": 2018, ""n"": 277, ""net_pts"": -1138.78, ""PF"": 0.654, ""avg_R"": -0.1557}, {""year"": 2019, ""n"": 257, ""net_pts"": -467.35, ""PF"": 0.7943, ""avg_R"": -0.2074}, {""year"": 2020, ""n"": 270, ""net_pts"": 134.74, ""PF"": 1.0277, ""avg_R"": -0.1102}, {""year"": 2021, ""n"": 266, ""net_pts"": 174.61, ""PF"": 1.0386, ""avg_R"": -0.0303}, {""year"": 2022, ""n"": 282, ""net_pts"": -224.46, ""PF"": 0.9682, ""avg_R"": -0.0112}, {""year"": 2023, ""n"": 262, ""net_pts"": -481.53, ""PF"": 0.8973, ""avg_R"": -0.0381}, {""year"": 2024, ""n"": 280, ""net_pts"": -1670.69, ""PF"": 0.7629, ""avg_R"": -0.1364}, {""year"": 2025, ""n"": 257, ""net_pts"": -623.6, ""PF"": 0.9194, ""avg_R"": -0.0154}, {""year"": 2026, ""n"": 110, ""net_pts"": 734.37, ""PF"": 1.225, ""avg_R"": 0.0955}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.75|b=1.25,simple,S1_range30m,0.0,0.75,1.25,3144,2197,947,1170,739,288,0.5785161583978152,-5257.08,-2.3928,8.0,-0.0734,0.5263,0.8882,0.8102,-6200.23,-176.2531,"[{""year"": 2018, ""n"": 263, ""net_pts"": -1118.59, ""PF"": 0.6641, ""avg_R"": -0.1308}, {""year"": 2019, ""n"": 254, ""net_pts"": -92.35, ""PF"": 0.9545, ""avg_R"": -0.1581}, {""year"": 2020, ""n"": 261, ""net_pts"": -353.96, ""PF"": 0.9325, ""avg_R"": -0.1318}, {""year"": 2021, ""n"": 256, ""net_pts"": -49.76, ""PF"": 0.9895, ""avg_R"": -0.0331}, {""year"": 2022, ""n"": 275, ""net_pts"": -1386.88, ""PF"": 0.8292, ""avg_R"": -0.0657}, {""year"": 2023, ""n"": 258, ""net_pts"": -630.95, ""PF"": 0.8726, ""avg_R"": -0.0175}, {""year"": 2024, ""n"": 272, ""net_pts"": -1741.36, ""PF"": 0.758, ""avg_R"": -0.1167}, {""year"": 2025, ""n"": 250, ""net_pts"": -331.96, ""PF"": 0.9574, ""avg_R"": 0.0135}, {""year"": 2026, ""n"": 108, ""net_pts"": 448.74, ""PF"": 1.1254, ""avg_R"": 0.0659}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.75|b=1.50,simple,S1_range30m,0.0,0.75,1.5,3144,2142,1002,1204,618,320,0.6092436974789915,-4617.9,-2.1559,9.5,-0.0647,0.4493,0.9021,0.8092,-6000.07,-162.8347,"[{""year"": 2018, ""n"": 256, ""net_pts"": -1332.01, ""PF"": 0.6267, ""avg_R"": -0.1151}, {""year"": 2019, ""n"": 250, ""net_pts"": -213.03, ""PF"": 0.9031, ""avg_R"": -0.1588}, {""year"": 2020, ""n"": 252, ""net_pts"": -755.95, ""PF"": 0.8613, ""avg_R"": -0.1529}, {""year"": 2021, ""n"": 250, ""net_pts"": 110.55, ""PF"": 1.0239, ""avg_R"": -0.0164}, {""year"": 2022, ""n"": 268, ""net_pts"": -697.96, ""PF"": 0.909, ""avg_R"": -0.0489}, {""year"": 2023, ""n"": 249, ""net_pts"": -964.07, ""PF"": 0.8188, ""avg_R"": -0.0365}, {""year"": 2024, ""n"": 265, ""net_pts"": -1877.86, ""PF"": 0.7482, ""avg_R"": -0.0948}, {""year"": 2025, ""n"": 246, ""net_pts"": 117.0, ""PF"": 1.0153, ""avg_R"": 0.0431}, {""year"": 2026, ""n"": 106, ""net_pts"": 995.42, ""PF"": 1.3034, ""avg_R"": 0.093}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.75|b=1.75,simple,S1_range30m,0.0,0.75,1.75,3144,2093,1051,1232,505,356,0.6364070711896799,-2456.24,-1.1736,10.75,-0.0495,0.3908,0.9463,0.8325,-4320.58,-123.0143,"[{""year"": 2018, ""n"": 252, ""net_pts"": -1405.7, ""PF"": 0.6173, ""avg_R"": -0.1149}, {""year"": 2019, ""n"": 244, ""net_pts"": -407.59, ""PF"": 0.8243, ""avg_R"": -0.1712}, {""year"": 2020, ""n"": 246, ""net_pts"": 60.41, ""PF"": 1.0123, ""avg_R"": -0.1068}, {""year"": 2021, ""n"": 245, ""net_pts"": 545.45, ""PF"": 1.1277, ""avg_R"": 0.0102}, {""year"": 2022, ""n"": 264, ""net_pts"": -273.5, ""PF"": 0.9633, ""avg_R"": -0.0138}, {""year"": 2023, ""n"": 244, ""net_pts"": -766.12, ""PF"": 0.8522, ""avg_R"": -0.0073}, {""year"": 2024, ""n"": 255, ""net_pts"": -1803.78, ""PF"": 0.7553, ""avg_R"": -0.0811}, {""year"": 2025, ""n"": 240, ""net_pts"": 233.06, ""PF"": 1.0305, ""avg_R"": 0.0274}, {""year"": 2026, ""n"": 103, ""net_pts"": 1361.53, ""PF"": 1.456, ""avg_R"": 0.1009}]"
simple|scale=S1_range30m|gamma=+0.00|a=0.75|b=2.00,simple,S1_range30m,0.0,0.75,2.0,3144,2058,1086,1254,431,373,0.6584062196307094,-1917.26,-0.9316,11.75,-0.043,0.3438,0.9583,0.8381,-4314.53,-108.0397,"[{""year"": 2018, ""n"": 244, ""net_pts"": -1301.54, ""PF"": 0.6332, ""avg_R"": -0.1044}, {""year"": 2019, ""n"": 240, ""net_pts"": -299.42, ""PF"": 0.8693, ""avg_R"": -0.1349}, {""year"": 2020, ""n"": 243, ""net_pts"": 96.64, ""PF"": 1.0197, ""avg_R"": -0.0958}, {""year"": 2021, ""n"": 241, ""net_pts"": 520.53, ""PF"": 1.1213, ""avg_R"": 0.003}, {""year"": 2022, ""n"": 261, ""net_pts"": -398.89, ""PF"": 0.9478, ""avg_R"": -0.015}, {""year"": 2023, ""n"": 239, ""net_pts"": -769.21, ""PF"": 0.8529, ""avg_R"": -0.0129}, {""year"": 2024, ""n"": 249, ""net_pts"": -1892.89, ""PF"": 0.7519, ""avg_R"": -0.0713}, {""year"": 2025, ""n"": 238, ""net_pts"": 398.83, ""PF"": 1.0525, ""avg_R"": 0.0229}, {""year"": 2026, ""n"": 103, ""net_pts"": 1728.69, ""PF"": 1.6201, ""avg_R"": 0.1096}]"
simple|scale=S1_range30m|gamma=+0.00|a=1.00|b=0.50,simple,S1_range30m,0.0,1.0,0.5,3144,2446,698,723,1550,173,0.3409648405560098,-1513.37,-0.6187,-9.75,-0.1054,-1.0302,0.9616,0.8502,-2020.66,-270.1726,"[{""year"": 2018, ""n"": 301, ""net_pts"": -982.07, ""PF"": 0.6558, ""avg_R"": -0.236}, {""year"": 2019, ""n"": 275, ""net_pts"": -612.63, ""PF"": 0.7012, ""avg_R"": -0.3242}, {""year"": 2020, ""n"": 285, ""net_pts"": -1.96, ""PF"": 0.9995, ""avg_R"": -0.163}, {""year"": 2021, ""n"": 283, ""net_pts"": 632.51, ""PF"": 1.1613, ""avg_R"": 0.0556}, {""year"": 2022, ""n"": 308, ""net_pts"": 405.32, ""PF"": 1.064, ""avg_R"": 0.0253}, {""year"": 2023, ""n"": 291, ""net_pts"": 316.75, ""PF"": 1.078, ""avg_R"": -0.0555}, {""year"": 2024, ""n"": 313, ""net_pts"": -910.7, ""PF"": 0.8448, ""avg_R"": -0.1712}, {""year"": 2025, ""n"": 275, ""net_pts"": -692.73, ""PF"": 0.8994, ""avg_R"": -0.0243}, {""year"": 2026, ""n"": 115, ""net_pts"": 332.14, ""PF"": 1.1079, ""avg_R"": 0.0142}]"
