scale,a,b,gamma,gamma_PF,control_PF,delta_PF,gamma_avg_R,control_avg_R,delta_avg_R,gamma_max_dd_R,control_max_dd_R,gamma_net_pts,control_net_pts
S1_range30m,0.5,0.5,0.15,0.7863,0.7946,-0.008299999999999974,-0.1198,-0.114,-0.0058,-318.125,-308.5302,-1950.74,-1852.88
S1_range30m,0.5,0.5,0.3,0.7847,0.7946,-0.00990000000000002,-0.1206,-0.114,-0.006599999999999995,-313.0751,-308.5302,-1807.19,-1852.88
S1_range30m,0.5,0.5,-0.15,0.7801,0.7946,-0.014499999999999957,-0.1238,-0.114,-0.00979999999999999,-328.9071,-308.5302,-3365.33,-1852.88
S1_range30m,0.5,0.5,-0.3,0.7784,0.7946,-0.016199999999999992,-0.125,-0.114,-0.010999999999999996,-327.8103,-308.5302,-3416.36,-1852.88
S1_range30m,0.5,0.75,0.15,0.7783,0.8009,-0.022599999999999953,-0.0986,-0.0869,-0.011699999999999988,-255.74,-239.6511,-2862.85,-2124.84
S1_range30m,0.5,0.75,0.3,0.7808,0.8009,-0.020099999999999896,-0.0972,-0.0869,-0.01029999999999999,-249.5317,-239.6511,-2273.04,-2124.84
S1_range30m,0.5,0.75,-0.15,0.7871,0.8009,-0.013799999999999923,-0.0942,-0.0869,-0.007300000000000001,-260.4743,-239.6511,-2343.31,-2124.84
S1_range30m,0.5,0.75,-0.3,0.7963,0.8009,-0.0045999999999999375,-0.0895,-0.0869,-0.002599999999999991,-253.5565,-239.6511,-1912.54,-2124.84
S1_range30m,0.5,1.0,0.15,0.7668,0.7841,-0.017299999999999982,-0.0861,-0.0783,-0.007800000000000001,-213.549,-205.5615,-4003.79,-3111.49
S1_range30m,0.5,1.0,0.3,0.7805,0.7841,-0.0036000000000000476,-0.08,-0.0783,-0.001700000000000007,-201.0532,-205.5615,-4063.4,-3111.49
S1_range30m,0.5,1.0,-0.15,0.7853,0.7841,0.0011999999999999789,-0.0785,-0.0783,-0.00020000000000000573,-213.6357,-205.5615,-2985.05,-3111.49
S1_range30m,0.5,1.0,-0.3,0.7777,0.7841,-0.006400000000000072,-0.0818,-0.0783,-0.003500000000000003,-222.3509,-205.5615,-2972.1,-3111.49
S1_range30m,0.5,1.25,0.15,0.7798,0.7659,0.013900000000000023,-0.0682,-0.0734,0.00520000000000001,-187.5813,-187.6803,-3379.17,-4436.32
