level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason
0_upper,2018-01-03,2018,upper,2018-01-03 09:06:00+00:00,2018-01-03 09:59:00-05:00,6529.134910517963,33.0,32.25,-32.25,-1.0,SL
1_upper,2018-01-04,2018,upper,2018-01-04 00:09:00+00:00,2018-01-04 08:25:00-05:00,6591.363648739487,22.75,25.5,-25.5,-1.0,SL
2_upper,2018-01-05,2018,upper,2018-01-05 16:17:00+00:00,2018-01-05 15:50:00-05:00,6647.463047114303,12.5,18.5,-18.5,-1.0,SL
4_upper,2018-01-09,2018,upper,2018-01-09 13:26:00+00:00,2018-01-09 09:38:00-05:00,6700.852925468027,11.5,16.5,11.5,0.696969696969697,TP
5_lower,2018-01-10,2018,lower,2018-01-10 10:59:00+00:00,2018-01-10 09:30:00-05:00,6644.365418961772,14.25,19.75,14.25,0.7215189873417721,TP
4_lower,2018-01-10,2018,lower,2018-01-10 15:02:00+00:00,2018-01-10 10:10:00-05:00,6629.772074531973,15.5,23.0,15.5,0.6739130434782609,TP
6_upper,2018-01-11,2018,upper,2018-01-11 17:38:00+00:00,2018-01-11 15:59:00-05:00,6705.969460652561,17.25,22.25,-11.030539347439117,-0.495754577412994,cutoff
5_upper,2018-01-12,2018,upper,2018-01-12 08:25:00+00:00,2018-01-12 08:37:00-05:00,6741.759581038228,22.5,25.75,22.5,0.8737864077669902,TP
8_upper,2018-01-12,2018,upper,2018-01-12 18:01:00+00:00,2018-01-12 15:59:00-05:00,6767.641689094185,21.5,26.75,2.141689094184585,0.08006314370783495,cutoff
9_upper,2018-01-16,2018,upper,2018-01-16 10:23:00+00:00,2018-01-16 09:37:00-05:00,6809.770647884909,11.75,17.5,-17.5,-1.0,SL
11_upper,2018-01-17,2018,upper,2018-01-17 19:53:00+00:00,2018-01-17 15:59:00-05:00,6825.380439588893,43.25,43.75,2.130439588892841,0.04869576203183637,cutoff
12_upper,2018-01-22,2018,upper,2018-01-22 15:09:00+00:00,2018-01-22 10:36:00-05:00,6862.577746742863,16.75,23.0,-23.0,-1.0,SL
15_upper,2018-01-24,2018,upper,2018-01-24 15:14:00+00:00,2018-01-24 10:57:00-05:00,6998.255469793344,20.0,26.25,20.0,0.7619047619047619,TP
16_lower,2018-01-24,2018,lower,2018-01-24 16:34:00+00:00,2018-01-24 13:09:00-05:00,6929.169585261671,21.5,28.75,-28.75,-1.0,SL
18_upper,2018-01-26,2018,upper,2018-01-26 20:19:00+00:00,2018-01-26 15:59:00-05:00,7013.902387490326,29.5,33.25,-13.347612509674036,-0.4014319551781665,cutoff
19_lower,2018-01-30,2018,lower,2018-01-30 03:52:00+00:00,2018-01-29 23:14:00-05:00,6956.366742923148,23.75,29.75,-29.75,-1.0,SL
