session_date,touched_at,exit_time,pnl,event
2018-01-03,2018-01-03 09:06:00+00:00,2018-01-03 09:59:00-05:00,-32.25,SAL_activated
2018-01-16,2018-01-16 10:23:00+00:00,2018-01-16 09:37:00-05:00,-17.5,SAL_activated
2018-02-02,2018-02-02 09:21:00+00:00,2018-02-02 09:54:00-05:00,-40.75,SAL_activated
2018-03-08,2018-03-08 07:11:00+00:00,2018-03-08 15:59:00-05:00,-21.58974984931956,SAL_activated
2018-03-22,2018-03-22 07:59:00+00:00,2018-03-22 08:42:00-04:00,-35.75,SAL_activated
2018-04-17,2018-04-17 06:19:00+00:00,2018-04-17 10:00:00-04:00,-29.5,SAL_activated
2018-05-15,2018-05-15 12:39:00+00:00,2018-05-15 09:32:00-04:00,-26.75,SAL_activated
2018-05-23,2018-05-23 07:24:00+00:00,2018-05-23 04:25:00-04:00,-27.25,SAL_activated
2018-05-23,2018-05-23 09:42:00+00:00,,,blocked_by_SAL
2018-05-23,2018-05-23 09:42:00+00:00,,,blocked_by_SAL
2018-06-05,2018-06-05 08:00:00+00:00,2018-06-05 10:31:00-04:00,-27.25,SAL_activated
2018-06-20,2018-06-20 12:54:00+00:00,2018-06-20 12:03:00-04:00,-35.75,SAL_activated
2018-06-25,2018-06-25 09:03:00+00:00,2018-06-25 09:39:00-04:00,-31.5,SAL_activated
2018-07-06,2018-07-06 05:32:00+00:00,2018-07-06 11:35:00-04:00,-51.0,SAL_activated
2018-10-23,2018-10-23 09:17:00+00:00,2018-10-23 10:02:00-04:00,-46.5,SAL_activated
2018-10-31,2018-10-31 08:37:00+00:00,2018-10-31 09:30:00-04:00,-46.75,SAL_activated
2018-11-07,2018-11-07 08:20:00+00:00,2018-11-07 04:54:00-05:00,-35.75,SAL_activated
2018-11-09,2018-11-09 11:37:00+00:00,2018-11-09 10:09:00-05:00,-29.25,SAL_activated
2018-11-20,2018-11-20 13:40:00+00:00,2018-11-20 10:14:00-05:00,-76.75,SAL_activated
2018-11-26,2018-11-26 08:15:00+00:00,2018-11-26 10:00:00-05:00,-36.75,SAL_activated
2018-11-28,2018-11-28 06:10:00+00:00,2018-11-28 12:00:00-05:00,-30.5,SAL_activated
2018-12-11,2018-12-11 10:53:00+00:00,2018-12-11 08:26:00-05:00,-44.5,SAL_activated
2020-01-27,2020-01-27 10:03:00+00:00,2020-01-27 09:30:00-05:00,-60.0,SAL_activated
2020-02-04,2020-02-04 08:23:00+00:00,2020-02-04 09:30:00-05:00,-48.0,SAL_activated
2020-02-19,2020-02-19 12:58:00+00:00,2020-02-19 09:53:00-05:00,-29.75,SAL_activated
2020-02-24,2020-02-24 09:16:00+00:00,2020-02-24 09:30:00-05:00,-71.25,SAL_activated
2020-03-06,2020-03-06 09:37:00+00:00,2020-03-06 05:10:00-05:00,-69.5,SAL_activated
2020-03-20,2020-03-20 07:26:00+00:00,2020-03-20 04:03:00-04:00,-91.0,SAL_activated
2020-03-24,2020-03-24 08:07:00+00:00,2020-03-24 09:34:00-04:00,-80.5,SAL_activated
2020-03-25,2020-03-25 07:59:00+00:00,2020-03-25 05:09:00-04:00,-89.75,SAL_activated
2020-04-07,2020-04-07 06:58:00+00:00,2020-04-07 06:02:00-04:00,-106.0,SAL_activated
2020-04-28,2020-04-28 09:20:00+00:00,2020-04-28 06:00:00-04:00,-42.25,SAL_activated
2020-05-25,2020-05-25 10:50:00+00:00,2020-05-25 12:59:00-04:00,-15.02640409524065,SAL_activated
2020-06-02,2020-06-02 06:29:00+00:00,2020-06-02 05:27:00-04:00,-42.25,SAL_activated
2020-06-15,2020-06-15 05:36:00+00:00,2020-06-15 02:00:00-04:00,-60.25,SAL_activated
2020-06-15,2020-06-15 06:05:00+00:00,,,blocked_by_SAL
2020-06-23,2020-06-23 07:15:00+00:00,2020-06-23 10:42:00-04:00,-64.75,SAL_activated
2020-07-02,2020-07-02 08:27:00+00:00,2020-07-02 09:32:00-04:00,-57.25,SAL_activated
2020-07-13,2020-07-13 11:06:00+00:00,2020-07-13 09:40:00-04:00,-56.0,SAL_activated
2020-07-14,2020-07-14 12:51:00+00:00,2020-07-14 09:52:00-04:00,-109.75,SAL_activated
2020-07-24,2020-07-24 06:57:00+00:00,2020-07-24 09:38:00-04:00,-87.75,SAL_activated
2020-08-05,2020-08-05 06:05:00+00:00,2020-08-05 05:45:00-04:00,-33.0,SAL_activated
2020-08-24,2020-08-24 08:00:00+00:00,2020-08-24 09:35:00-04:00,-48.75,SAL_activated
2020-08-26,2020-08-26 10:54:00+00:00,2020-08-26 10:33:00-04:00,-42.5,SAL_activated
2020-09-01,2020-09-01 06:16:00+00:00,2020-09-01 03:32:00-04:00,-48.0,SAL_activated
2020-09-08,2020-09-08 10:25:00+00:00,2020-09-08 08:13:00-04:00,-84.25,SAL_activated
2020-09-17,2020-09-17 12:30:00+00:00,2020-09-17 09:13:00-04:00,-87.0,SAL_activated
2020-09-28,2020-09-28 08:10:00+00:00,2020-09-28 06:11:00-04:00,-66.75,SAL_activated
2020-09-28,2020-09-28 10:17:00+00:00,,,blocked_by_SAL
2020-09-28,2020-09-28 12:06:00+00:00,,,blocked_by_SAL
2020-10-01,2020-10-01 09:41:00+00:00,2020-10-01 15:59:00-04:00,-40.1625269051292,SAL_activated
2020-10-12,2020-10-12 07:58:00+00:00,2020-10-12 04:23:00-04:00,-42.75,SAL_activated
2020-11-05,2020-11-05 07:26:00+00:00,2020-11-05 05:16:00-05:00,-100.5,SAL_activated
2020-12-10,2020-12-10 06:44:00+00:00,2020-12-10 09:12:00-05:00,-66.25,SAL_activated
2020-12-17,2020-12-17 07:21:00+00:00,2020-12-17 09:32:00-05:00,-34.0,SAL_activated
2020-12-21,2020-12-21 10:07:00+00:00,2020-12-21 05:47:00-05:00,-65.75,SAL_activated
2023-01-19,2023-01-19 10:26:00+00:00,2023-01-19 08:31:00-05:00,-63.75,SAL_activated
2023-02-10,2023-02-10 09:56:00+00:00,2023-02-10 12:04:00-05:00,-78.5,SAL_activated
2023-02-17,2023-02-17 07:02:00+00:00,2023-02-17 09:53:00-05:00,-69.5,SAL_activated
