window,kind,blocks,n_blocks,n_trades,net_pts,PF,avg_R,max_dd_R,lower_n,lower_net_pts,lower_avg_R,upper_n,upper_net_pts,upper_avg_R,y2018_n,y2018_net,y2018_PF,y2020_n,y2020_net,y2020_PF,y2023_n,y2023_net,y2023_PF,y2026_n,y2026_net,y2026_PF
contig:A,contig,A,1,107,-1020.16,0.7305,-0.108,-12.5213,33,-558.0,-0.1897,74,-462.16,-0.0715,29,-156.25,0.7321,42,-520.66,0.6499,16,-96.0,0.8165,20,-247.25,0.7924
contig:A-B,contig,AB,2,150,-518.84,0.8911,-0.0104,-9.4111,52,-200.0,0.0221,98,-318.84,-0.0277,42,-56.68,0.9208,60,-504.16,0.7559,24,86.75,1.1221,24,-44.75,0.9648
contig:A-B-C,contig,ABC,3,204,-279.4,0.9554,0.0086,-11.0759,75,192.25,0.0913,129,-471.65,-0.0395,56,-104.18,0.8927,77,-660.41,0.7539,42,277.25,1.2395,29,207.94,1.1426
contig:A-B-C-D,contig,ABCD,4,245,-233.34,0.9683,0.0033,-12.7132,96,661.0,0.1479,149,-894.34,-0.0899,68,-51.93,0.9545,91,-786.1,0.748,52,196.75,1.1326,34,407.94,1.2522
contig:A-B-C-D-E,contig,ABCDE,5,293,902.7,1.1091,0.0717,-9.1964,116,1011.75,0.1665,177,-109.05,0.0096,77,96.07,1.0772,100,-608.6,0.8164,74,374.03,1.1846,42,1041.19,1.6167
contig:A-B-C-D-E-F,contig,ABCDEF,6,470,1512.46,1.1211,0.0605,-20.1504,199,1226.38,0.1164,271,286.08,0.0195,126,173.65,1.087,142,-1006.33,0.7814,134,1202.28,1.3713,68,1142.86,1.4312
contig:A-B-C-D-E-F-G,contig,ABCDEFG,7,731,828.25,1.0434,0.0031,-33.9188,334,1272.68,0.055,397,-444.43,-0.0405,218,-782.34,0.8079,204,-816.89,0.8665,217,1114.87,1.2138,92,1312.61,1.3551
contig:A-B-C-D-E-F-G-H,contig,ABCDEFGH,8,806,692.01,1.0341,-0.0004,-40.3269,377,1281.47,0.0494,429,-589.46,-0.0441,237,-982.45,0.7758,231,-982.13,0.8529,241,1285.53,1.2372,97,1371.06,1.3609
contig:B,contig,B,1,51,501.6,1.4409,0.227,-3.0,21,341.25,0.3541,30,160.35,0.138,13,99.57,1.751,22,131.0,1.2266,10,183.25,1.7924,6,87.78,1.4485
contig:B-C,contig,BC,2,110,657.04,1.236,0.1236,-7.0925,47,672.75,0.2564,63,-15.71,0.0246,30,80.32,1.1935,41,-137.5,0.8949,28,373.75,1.5511,11,340.47,1.8913
contig:B-C-D,contig,BCD,3,154,759.1,1.1924,0.0898,-9.211,69,1070.0,0.2668,85,-310.9,-0.0539,42,132.57,1.2269,56,-155.44,0.9109,40,241.5,1.2246,16,540.47,1.9986
contig:B-C-D-E,contig,BCDE,4,204,1925.39,1.3934,0.1675,-7.6097,89,1420.75,0.2643,115,504.64,0.0926,52,244.82,1.3383,65,22.06,1.0114,62,418.78,1.2589,25,1239.72,3.0258
contig:B-C-D-E-F,contig,BCDEF,5,386,2780.46,1.3031,0.1135,-13.6091,173,1843.88,0.1664,213,936.58,0.0706,104,352.4,1.235,109,-121.18,0.9625,123,1204.28,1.4192,50,1344.95,1.8562
contig:B-C-D-E-F-G,contig,BCDEFG,6,647,2096.26,1.1328,0.0273,-26.327,308,1890.18,0.0779,339,206.08,-0.0187,196,-603.59,0.8313,171,68.26,1.0144,206,1116.87,1.2303,74,1514.7,1.5789
