candidate,skip_counts,n_trades,net_pts,PF,avg_R,max_dd_pts,max_dd_R,avg_hold_minutes,n_TP,n_SL,n_BE,n_LOCK,n_SCRATCH,n_cutoff,lower_n,lower_net_pts,lower_avg_R,upper_n,upper_net_pts,upper_avg_R,ex_2026_net_pts,ex_2026_PF,yearly_json
no_be_control,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 85, ""same_bar_reentry"": 10}",247,2132.91,1.3836,0.124,-494.12,-12.8936,82.3,130,102,0,0,0,15,108,862.88,0.0992,139,1270.03,0.1432,1331.99,1.2943,"{""2018"": {""n"": 67, ""net_pts"": 167.83, ""PF"": 1.1629, ""avg_R"": 0.0631}, ""2020"": {""n"": 60, ""net_pts"": 275.52, ""PF"": 1.1696, ""avg_R"": 0.0163}, ""2023"": {""n"": 85, ""net_pts"": 888.64, ""PF"": 1.4747, ""avg_R"": 0.1784}, ""2026"": {""n"": 35, ""net_pts"": 800.92, ""PF"": 1.7753, ""avg_R"": 0.2932}}"
historical_BE45,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 82, ""same_bar_reentry"": 9}",251,2041.29,1.4262,0.1061,-408.87,-11.7336,68.6,116,92,34,0,0,9,109,950.38,0.1024,142,1090.91,0.109,1339.33,1.3359,"{""2018"": {""n"": 68, ""net_pts"": 192.08, ""PF"": 1.207, ""avg_R"": 0.0541}, ""2020"": {""n"": 61, ""net_pts"": 288.14, ""PF"": 1.2166, ""avg_R"": -0.0071}, ""2023"": {""n"": 87, ""net_pts"": 859.11, ""PF"": 1.4968, ""avg_R"": 0.1706}, ""2026"": {""n"": 35, ""net_pts"": 701.96, ""PF"": 1.8753, ""avg_R"": 0.2443}}"
exact_r_be_0.25R,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 66, ""same_bar_reentry"": 7}",269,833.28,1.2909,0.0366,-377.25,-7.1929,34.1,66,57,144,0,0,2,115,98.5,-0.0036,154,734.78,0.0667,522.08,1.204,"{""2018"": {""n"": 68, ""net_pts"": 161.33, ""PF"": 1.2774, ""avg_R"": 0.0415}, ""2020"": {""n"": 65, ""net_pts"": 134.75, ""PF"": 1.148, ""avg_R"": -0.0084}, ""2023"": {""n"": 97, ""net_pts"": 226.0, ""PF"": 1.2119, ""avg_R"": 0.0306}, ""2026"": {""n"": 39, ""net_pts"": 311.2, ""PF"": 2.0195, ""avg_R"": 0.1181}}"
exact_r_be_0.50R,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 81, ""same_bar_reentry"": 9}",252,1295.38,1.3195,0.0631,-510.94,-11.6255,56.6,92,79,74,0,0,7,110,335.88,0.025,142,959.5,0.0926,697.25,1.1991,"{""2018"": {""n"": 67, ""net_pts"": 236.28, ""PF"": 1.2859, ""avg_R"": 0.0789}, ""2020"": {""n"": 60, ""net_pts"": -38.28, ""PF"": 0.9683, ""avg_R"": -0.0888}, ""2023"": {""n"": 89, ""net_pts"": 499.25, ""PF"": 1.3401, ""avg_R"": 0.0922}, ""2026"": {""n"": 36, ""net_pts"": 598.13, ""PF"": 2.083, ""avg_R"": 0.2146}}"
exact_r_be_0.75R,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 83, ""same_bar_reentry"": 10}",249,1982.18,1.422,0.1042,-408.5,-10.8936,69.9,115,91,33,0,0,10,110,877.63,0.0996,139,1104.55,0.1079,1133.05,1.2788,"{""2018"": {""n"": 67, ""net_pts"": 217.08, ""PF"": 1.2212, ""avg_R"": 0.0781}, ""2020"": {""n"": 60, ""net_pts"": 196.12, ""PF"": 1.1376, ""avg_R"": -0.021}, ""2023"": {""n"": 86, ""net_pts"": 719.86, ""PF"": 1.4343, ""avg_R"": 0.136}, ""2026"": {""n"": 36, ""net_pts"": 849.13, ""PF"": 2.3413, ""avg_R"": 0.2859}}"
exact_r_be_1.00R,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 85, ""same_bar_reentry"": 10}",247,2016.93,1.3783,0.1127,-494.12,-12.8936,79.4,126,100,8,0,0,13,108,924.38,0.0969,139,1092.55,0.1251,1196.24,1.2643,"{""2018"": {""n"": 67, ""net_pts"": 167.83, ""PF"": 1.1629, ""avg_R"": 0.0631}, ""2020"": {""n"": 60, ""net_pts"": 275.52, ""PF"": 1.1696, ""avg_R"": 0.0163}, ""2023"": {""n"": 85, ""net_pts"": 752.89, ""PF"": 1.4022, ""avg_R"": 0.1524}, ""2026"": {""n"": 35, ""net_pts"": 820.7, ""PF"": 2.0188, ""avg_R"": 0.2767}}"
tp_progress_be_25pct,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 65, ""same_bar_reentry"": 7}",270,937.28,1.3126,0.0369,-400.75,-7.7222,35.3,64,57,147,0,0,2,115,82.0,-0.0149,155,855.28,0.0753,421.33,1.1565,"{""2018"": {""n"": 68, ""net_pts"": 33.58, ""PF"": 1.056, ""avg_R"": -0.0025}, ""2020"": {""n"": 65, ""net_pts"": 134.75, ""PF"": 1.148, ""avg_R"": -0.0084}, ""2023"": {""n"": 98, ""net_pts"": 253.0, ""PF"": 1.2139, ""avg_R"": 0.0362}, ""2026"": {""n"": 39, ""net_pts"": 515.95, ""PF"": 2.6902, ""avg_R"": 0.1825}}"
tp_progress_be_50pct,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 80, ""same_bar_reentry"": 10}",252,1454.63,1.3471,0.0622,-408.94,-10.2126,57.3,91,80,74,0,0,7,110,398.63,0.0228,142,1056.0,0.0927,676.5,1.1859,"{""2018"": {""n"": 67, ""net_pts"": 192.53, ""PF"": 1.2435, ""avg_R"": 0.0482}, ""2020"": {""n"": 60, ""net_pts"": 27.97, ""PF"": 1.0203, ""avg_R"": -0.0805}, ""2023"": {""n"": 89, ""net_pts"": 456.0, ""PF"": 1.3107, ""avg_R"": 0.0818}, ""2026"": {""n"": 36, ""net_pts"": 778.13, ""PF"": 2.4089, ""avg_R"": 0.2774}}"
tp_progress_be_75pct,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 84, ""same_bar_reentry"": 10}",248,1875.78,1.3784,0.0979,-384.12,-10.7422,73.9,114,92,30,0,0,12,109,867.88,0.0815,139,1007.89,0.1107,1055.08,1.2541,"{""2018"": {""n"": 67, ""net_pts"": 190.58, ""PF"": 1.1991, ""avg_R"": 0.0678}, ""2020"": {""n"": 60, ""net_pts"": 231.12, ""PF"": 1.1569, ""avg_R"": -0.0003}, ""2023"": {""n"": 86, ""net_pts"": 633.39, ""PF"": 1.3679, ""avg_R"": 0.117}, ""2026"": {""n"": 35, ""net_pts"": 820.7, ""PF"": 2.0188, ""avg_R"": 0.2767}}"
profit_lock_0.50R,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 81, ""same_bar_reentry"": 9}",252,1212.89,1.2991,0.0566,-505.94,-11.7912,52.5,83,79,0,84,0,6,110,483.61,0.0418,142,729.28,0.0681,550.25,1.1571,"{""2018"": {""n"": 67, ""net_pts"": 182.48, ""PF"": 1.2208, ""avg_R"": 0.0688}, ""2020"": {""n"": 60, ""net_pts"": -69.85, ""PF"": 0.9422, ""avg_R"": -0.1021}, ""2023"": {""n"": 89, ""net_pts"": 437.62, ""PF"": 1.2982, ""avg_R"": 0.0815}, ""2026"": {""n"": 36, ""net_pts"": 662.64, ""PF"": 2.1997, ""avg_R"": 0.237}}"
profit_lock_0.75R,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 83, ""same_bar_reentry"": 10}",249,1968.98,1.4192,0.107,-380.27,-10.6936,67.0,113,91,0,36,0,9,110,844.26,0.1023,139,1124.73,0.1107,1231.0,1.3029,"{""2018"": {""n"": 67, ""net_pts"": 200.05, ""PF"": 1.2039, ""avg_R"": 0.0688}, ""2020"": {""n"": 60, ""net_pts"": 247.72, ""PF"": 1.1738, ""avg_R"": -0.006}, ""2023"": {""n"": 86, ""net_pts"": 783.23, ""PF"": 1.4725, ""avg_R"": 0.1499}, ""2026"": {""n"": 36, ""net_pts"": 737.99, ""PF"": 2.1657, ""avg_R"": 0.2638}}"
profit_lock_1.00R,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 85, ""same_bar_reentry"": 10}",247,2088.53,1.3917,0.116,-494.12,-12.8936,79.1,126,100,0,8,0,13,108,960.68,0.1006,139,1127.85,0.1279,1208.56,1.267,"{""2018"": {""n"": 67, ""net_pts"": 167.83, ""PF"": 1.1629, ""avg_R"": 0.0631}, ""2020"": {""n"": 60, ""net_pts"": 275.52, ""PF"": 1.1696, ""avg_R"": 0.0163}, ""2023"": {""n"": 85, ""net_pts"": 765.22, ""PF"": 1.4088, ""avg_R"": 0.1548}, ""2026"": {""n"": 35, ""net_pts"": 879.97, ""PF"": 2.0924, ""avg_R"": 0.2939}}"
time_delayed_be_15min,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""position_open"": 78, ""same_bar_reentry"": 8}",256,1321.53,1.3831,0.0762,-326.5,-7.6694,40.5,84,66,104,0,0,2,111,433.0,0.0449,145,888.53,0.1001,957.33,1.342,"{""2018"": {""n"": 68, ""net_pts"": 238.08, ""PF"": 1.4093, ""avg_R"": 0.0785}, ""2020"": {""n"": 61, ""net_pts"": 202.5, ""PF"": 1.2016, ""avg_R"": 0.0087}, ""2023"": {""n"": 90, ""net_pts"": 516.75, ""PF"": 1.426, ""avg_R"": 0.0906}, ""2026"": {""n"": 37, ""net_pts"": 364.2, ""PF"": 1.5599, ""avg_R"": 0.148}}"
