level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
4_upper,2018-01-09,2018,upper,2018-01-09 13:26:00+00:00,2018-01-09 09:38:00-05:00,6700.852925468027,11.5,16.5,11.5,0.696969696969697,TP,72
4_lower,2018-01-10,2018,lower,2018-01-10 15:02:00+00:00,2018-01-10 10:10:00-05:00,6629.772074531973,15.5,23.0,15.5,0.6739130434782609,TP,8
12_upper,2018-01-22,2018,upper,2018-01-22 15:09:00+00:00,2018-01-22 10:36:00-05:00,6862.577746742863,16.75,23.0,-23.0,-1.0,SL,27
15_upper,2018-01-24,2018,upper,2018-01-24 15:14:00+00:00,2018-01-24 10:57:00-05:00,6998.255469793344,20.0,26.25,20.0,0.7619047619047619,TP,43
18_lower,2018-01-30,2018,lower,2018-01-30 15:05:00+00:00,2018-01-30 10:27:00-05:00,6909.722612509674,24.75,31.25,24.75,0.792,TP,22
25_upper,2018-02-07,2018,upper,2018-02-07 15:08:00+00:00,2018-02-07 15:59:00-05:00,6684.944584107352,107.25,83.75,105.44458410735206,1.2590398102370395,cutoff,351
27_lower,2018-02-08,2018,lower,2018-02-08 15:54:00+00:00,2018-02-08 11:10:00-05:00,6489.755992857791,51.5,50.75,5.074999999999818,0.09999999999999641,LOCK,16
28_upper,2018-02-12,2018,upper,2018-02-12 14:44:00+00:00,2018-02-12 10:05:00-05:00,6513.528021066135,75.5,65.25,6.524999999999636,0.09999999999999443,LOCK,21
35_lower,2018-03-02,2018,lower,2018-03-02 13:01:00+00:00,2018-03-02 11:50:00-05:00,6674.644394150568,74.75,67.25,74.75,1.1115241635687731,TP,229
42_upper,2018-03-08,2018,upper,2018-03-08 14:08:00+00:00,2018-03-08 10:21:00-05:00,6967.241668711537,35.75,35.75,3.574999999999818,0.09999999999999491,LOCK,73
40_upper,2018-03-09,2018,upper,2018-03-09 13:36:00+00:00,2018-03-09 08:42:00-05:00,7057.28680551017,15.5,20.5,15.5,0.7560975609756098,TP,6
49_upper,2018-03-13,2018,upper,2018-03-13 13:42:00+00:00,2018-03-13 10:18:00-04:00,7211.202029295153,25.0,30.5,3.050000000000182,0.10000000000000596,LOCK,36
69_upper,2018-04-12,2018,upper,2018-04-12 13:59:00+00:00,2018-04-12 12:00:00-04:00,6674.120573515432,28.0,30.75,3.074999999999818,0.09999999999999408,LOCK,121
72_upper,2018-04-17,2018,upper,2018-04-17 14:54:00+00:00,2018-04-17 12:14:00-04:00,6791.429923534902,23.0,27.75,-27.75,-1.0,SL,80
78_lower,2018-04-24,2018,lower,2018-04-24 14:24:00+00:00,2018-04-24 11:05:00-04:00,6615.554947578565,32.75,37.5,-37.5,-1.0,SL,41
80_upper,2018-04-26,2018,upper,2018-04-26 14:04:00+00:00,2018-04-26 13:35:00-04:00,6618.426920574853,43.5,45.0,-45.0,-1.0,SL,211
78_upper,2018-04-27,2018,upper,2018-04-27 12:47:00+00:00,2018-04-27 09:36:00-04:00,6767.945052421435,46.25,42.25,46.25,1.0946745562130178,TP,49
86_upper,2018-05-04,2018,upper,2018-05-04 14:25:00+00:00,2018-05-04 10:43:00-04:00,6692.836225843241,39.0,42.5,-42.5,-1.0,SL,18
92_upper,2018-05-14,2018,upper,2018-05-14 14:30:00+00:00,2018-05-14 11:40:00-04:00,7007.349699090812,15.75,22.0,15.75,0.7159090909090909,TP,70
93_lower,2018-05-15,2018,lower,2018-05-15 12:39:00+00:00,2018-05-15 09:32:00-04:00,6928.543047509258,21.5,26.75,-26.75,-1.0,SL,53
91_lower,2018-05-15,2018,lower,2018-05-15 13:55:00+00:00,2018-05-15 10:33:00-04:00,6870.515226696004,26.25,31.75,26.25,0.8267716535433071,TP,38
95_upper,2018-05-17,2018,upper,2018-05-17 14:57:00+00:00,2018-05-17 11:52:00-04:00,6960.568010688974,23.0,28.5,23.0,0.8070175438596491,TP,55
106_upper,2018-06-01,2018,upper,2018-06-01 13:55:00+00:00,2018-06-01 10:19:00-04:00,7034.913711385827,24.75,29.0,2.899999999999636,0.09999999999998746,LOCK,24
112_upper,2018-06-11,2018,upper,2018-06-11 13:46:00+00:00,2018-06-11 10:41:00-04:00,7194.487916844135,22.5,25.75,22.5,0.8737864077669902,TP,55
111_upper,2018-06-13,2018,upper,2018-06-13 14:20:00+00:00,2018-06-13 14:06:00-04:00,7269.677208812118,19.0,24.25,19.0,0.7835051546391752,TP,226
115_upper,2018-06-14,2018,upper,2018-06-14 14:20:00+00:00,2018-06-14 11:00:00-04:00,7303.289655676041,24.5,30.25,24.5,0.8099173553719008,TP,40
117_lower,2018-06-18,2018,lower,2018-06-18 13:34:00+00:00,2018-06-18 09:48:00-04:00,7214.541889345101,23.75,27.25,23.75,0.8715596330275229,TP,14
114_lower,2018-06-19,2018,lower,2018-06-19 14:30:00+00:00,2018-06-19 10:47:00-04:00,7161.698294926542,29.5,34.75,29.5,0.8489208633093526,TP,17
118_upper,2018-06-20,2018,upper,2018-06-20 12:54:00+00:00,2018-06-20 12:03:00-04:00,7287.904347496284,34.75,35.75,-35.75,-1.0,SL,189
120_lower,2018-06-21,2018,lower,2018-06-21 14:22:00+00:00,2018-06-21 10:37:00-04:00,7237.780430387864,33.0,37.0,3.699999999999818,0.09999999999999508,LOCK,15
121_lower,2018-06-22,2018,lower,2018-06-22 14:34:00+00:00,2018-06-22 12:16:00-04:00,7198.555087663368,42.0,44.25,42.0,0.9491525423728814,TP,102
113_lower,2018-06-25,2018,lower,2018-06-25 13:39:00+00:00,2018-06-25 10:11:00-04:00,7127.38217917601,26.75,30.25,-30.25,-1.0,SL,32
