candidate,skip_counts,n_trades,net_pts,PF,avg_R,max_dd_pts,max_dd_R,n_TP,n_SL,n_BE,n_LOCK,n_cutoff,true_tp_win_rate,lower_n,lower_net_pts,upper_n,upper_net_pts,ex_2026_net_pts,ex_2026_PF,yearly_json
no_filter,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 0, ""position_open"": 83, ""same_bar_reentry"": 10}",249,1968.98,1.4192,0.107,-380.27,-10.6936,113,91,0,36,9,0.4538,110,844.26,139,1124.73,1231.0,1.3029,"{""2018"": {""n"": 67, ""net_pts"": 200.05, ""PF"": 1.2039}, ""2020"": {""n"": 60, ""net_pts"": 247.72, ""PF"": 1.1738}, ""2023"": {""n"": 86, ""net_pts"": 783.23, ""PF"": 1.4725}, ""2026"": {""n"": 36, ""net_pts"": 737.99, ""PF"": 2.1657}}"
garch_LOW_only_3367,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 230, ""position_open"": 24, ""same_bar_reentry"": 5}",83,214.72,1.1427,-0.0194,-262.0,-9.8638,33,35,0,11,4,0.3976,30,-124.52,53,339.25,18.41,1.0136,"{""2018"": {""n"": 20, ""net_pts"": -51.55, ""PF"": 0.8239}, ""2020"": {""n"": 18, ""net_pts"": -95.12, ""PF"": 0.7455}, ""2023"": {""n"": 35, ""net_pts"": 165.08, ""PF"": 1.2413}, ""2026"": {""n"": 10, ""net_pts"": 196.31, ""PF"": 2.2748}}"
garch_MID_only_3367,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 237, ""position_open"": 29, ""same_bar_reentry"": 2}",74,591.15,1.4018,0.133,-301.03,-6.3948,33,25,0,12,4,0.4459,26,124.0,48,467.15,383.31,1.314,"{""2018"": {""n"": 14, ""net_pts"": -17.73, ""PF"": 0.9172}, ""2020"": {""n"": 22, ""net_pts"": 25.39, ""PF"": 1.0541}, ""2023"": {""n"": 26, ""net_pts"": 375.65, ""PF"": 1.6995}, ""2026"": {""n"": 12, ""net_pts"": 207.84, ""PF"": 1.8303}}"
garch_HIGH_only_3367,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 242, ""position_open"": 17, ""same_bar_reentry"": 2}",81,898.93,1.5335,0.1522,-266.67,-4.2231,37,28,0,15,1,0.4568,52,894.36,29,4.57,558.78,1.3837,"{""2018"": {""n"": 13, ""net_pts"": 29.13, ""PF"": 1.1318}, ""2020"": {""n"": 22, ""net_pts"": 426.08, ""PF"": 1.7321}, ""2023"": {""n"": 31, ""net_pts"": 103.58, ""PF"": 1.1586}, ""2026"": {""n"": 15, ""net_pts"": 340.15, ""PF"": 2.487}}"
garch_exclude_LOW_3367,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 137, ""position_open"": 50, ""same_bar_reentry"": 5}",150,1543.95,1.5157,0.159,-252.62,-6.0308,69,50,0,26,5,0.46,76,966.11,74,577.85,995.97,1.3961,"{""2018"": {""n"": 27, ""net_pts"": 11.4, ""PF"": 1.0262}, ""2020"": {""n"": 42, ""net_pts"": 342.84, ""PF"": 1.326}, ""2023"": {""n"": 54, ""net_pts"": 641.73, ""PF"": 1.6244}, ""2026"": {""n"": 27, ""net_pts"": 547.99, ""PF"": 2.1439}}"
garch_exclude_HIGH_3367,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 125, ""position_open"": 58, ""same_bar_reentry"": 6}",153,844.18,1.2889,0.0586,-473.11,-13.1407,66,59,0,21,7,0.4314,54,48.65,99,795.53,446.34,1.1773,"{""2018"": {""n"": 33, ""net_pts"": -73.83, ""PF"": 0.8544}, ""2020"": {""n"": 40, ""net_pts"": -69.73, ""PF"": 0.9173}, ""2023"": {""n"": 59, ""net_pts"": 589.91, ""PF"": 1.5055}, ""2026"": {""n"": 21, ""net_pts"": 397.84, ""PF"": 1.984}}"
garch_LOW_only_2575,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 247, ""position_open"": 19, ""same_bar_reentry"": 5}",71,317.51,1.2554,0.0504,-247.25,-6.0,31,28,0,10,2,0.4366,26,-117.85,45,435.36,212.51,1.1951,"{""2018"": {""n"": 16, ""net_pts"": 60.37, ""PF"": 1.3338}, ""2020"": {""n"": 16, ""net_pts"": -34.62, ""PF"": 0.8895}, ""2023"": {""n"": 31, ""net_pts"": 186.76, ""PF"": 1.3138}, ""2026"": {""n"": 8, ""net_pts"": 105.0, ""PF"": 1.6818}}"
garch_MID_only_2575,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 200, ""position_open"": 39, ""same_bar_reentry"": 2}",101,212.95,1.0978,0.0055,-560.51,-12.565,39,40,0,17,5,0.3861,39,61.55,62,151.4,-16.51,0.9911,"{""2018"": {""n"": 21, ""net_pts"": -192.4, ""PF"": 0.5401}, ""2020"": {""n"": 25, ""net_pts"": -80.86, ""PF"": 0.8596}, ""2023"": {""n"": 40, ""net_pts"": 256.75, ""PF"": 1.2984}, ""2026"": {""n"": 15, ""net_pts"": 229.46, ""PF"": 1.7092}}"
garch_HIGH_only_2575,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 262, ""position_open"": 13, ""same_bar_reentry"": 2}",65,1239.58,2.0563,0.2685,-266.67,-3.4029,33,19,0,12,1,0.5077,44,904.38,21,335.2,836.06,1.8213,"{""2018"": {""n"": 10, ""net_pts"": 91.88, ""PF"": 1.7137}, ""2020"": {""n"": 22, ""net_pts"": 426.08, ""PF"": 1.7321}, ""2023"": {""n"": 20, ""net_pts"": 318.1, ""PF"": 2.0353}, ""2026"": {""n"": 13, ""net_pts"": 403.52, ""PF"": 3.595}}"
garch_exclude_LOW_2575,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 120, ""position_open"": 55, ""same_bar_reentry"": 5}",162,1440.66,1.4426,0.1154,-346.27,-8.8141,71,57,0,28,6,0.4383,80,959.43,82,481.23,807.67,1.291,"{""2018"": {""n"": 31, ""net_pts"": -100.52, ""PF"": 0.8163}, ""2020"": {""n"": 44, ""net_pts"": 282.34, ""PF"": 1.2539}, ""2023"": {""n"": 59, ""net_pts"": 625.85, ""PF"": 1.5604}, ""2026"": {""n"": 28, ""net_pts"": 632.99, ""PF"": 2.3213}}"
