level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
114_lower,2018-06-19,2018,lower,2018-06-19 14:30:00+00:00,2018-06-19 10:47:00-04:00,7161.698294926542,29.5,34.75,29.5,0.8489208633093526,TP,17
120_lower,2018-06-21,2018,lower,2018-06-21 14:22:00+00:00,2018-06-21 10:57:00-04:00,7237.780430387864,33.0,37.0,33.0,0.8918918918918919,TP,35
119_lower,2018-06-25,2018,lower,2018-06-25 14:03:00+00:00,2018-06-25 11:04:00-04:00,7107.463816585056,27.5,34.5,-34.5,-1.0,SL,61
136_lower,2018-07-30,2018,lower,2018-07-30 13:44:00+00:00,2018-07-30 12:48:00-04:00,7226.908261951898,57.25,52.0,-52.0,-1.0,SL,184
153_lower,2018-08-15,2018,lower,2018-08-15 14:05:00+00:00,2018-08-15 15:33:00-04:00,7345.192609359348,23.5,30.25,23.5,0.7768595041322314,TP,328
174_lower,2018-09-05,2018,lower,2018-09-05 14:01:00+00:00,2018-09-05 10:35:00-04:00,7549.8898326392355,35.0,40.25,-40.25,-1.0,SL,34
168_lower,2018-09-06,2018,lower,2018-09-06 14:12:00+00:00,2018-09-06 11:07:00-04:00,7472.1733116501155,46.5,48.75,-48.75,-1.0,SL,55
198_lower,2018-10-10,2018,lower,2018-10-10 13:50:00+00:00,2018-10-10 10:03:00-04:00,7286.224538054712,45.75,45.5,-45.5,-1.0,SL,13
217_lower,2018-11-05,2018,lower,2018-11-05 14:44:00+00:00,2018-11-05 15:59:00-05:00,6903.866612075746,56.75,49.25,39.13338792425384,0.7945865568376413,cutoff,375
227_lower,2018-11-19,2018,lower,2018-11-19 15:34:00+00:00,2018-11-19 10:50:00-05:00,6729.6333303671845,31.25,37.0,31.25,0.8445945945945946,TP,16
230_lower,2018-11-23,2018,lower,2018-11-23 13:43:00+00:00,2018-11-23 08:59:00-05:00,6499.389445867615,22.5,26.75,22.5,0.8411214953271028,TP,16
232_upper,2018-11-26,2018,upper,2018-11-26 14:59:00+00:00,2018-11-26 10:50:00-05:00,6655.437697558632,27.5,30.25,27.5,0.9090909090909091,TP,51
234_lower,2018-12-17,2018,lower,2018-12-17 14:53:00+00:00,2018-12-17 10:11:00-05:00,6528.160513975401,43.75,42.75,43.75,1.023391812865497,TP,18
543_lower,2020-02-21,2020,lower,2020-02-21 14:49:00+00:00,2020-02-21 10:39:00-05:00,9489.09312293196,61.25,54.25,5.424999999999272,0.09999999999998659,LOCK,50
578_lower,2020-04-02,2020,lower,2020-04-02 13:14:00+00:00,2020-04-02 09:34:00-04:00,7388.1058233536705,106.75,90.0,106.75,1.1861111111111111,TP,20
583_upper,2020-04-09,2020,upper,2020-04-09 13:43:00+00:00,2020-04-09 10:09:00-04:00,8316.921889912834,90.75,77.5,90.75,1.1709677419354838,TP,26
587_upper,2020-04-16,2020,upper,2020-04-16 14:58:00+00:00,2020-04-16 11:29:00-04:00,8708.551354323605,58.5,56.75,-56.75,-1.0,SL,31
588_lower,2020-04-21,2020,lower,2020-04-21 14:49:00+00:00,2020-04-21 10:57:00-04:00,8458.051185239154,47.5,50.0,-50.0,-1.0,SL,8
592_upper,2020-04-23,2020,upper,2020-04-23 14:23:00+00:00,2020-04-23 12:45:00-04:00,8752.552576739732,71.75,65.25,71.75,1.0996168582375478,TP,142
595_lower,2020-04-28,2020,lower,2020-04-28 14:58:00+00:00,2020-04-28 11:33:00-04:00,8698.205896333413,47.0,49.75,47.0,0.9447236180904522,TP,35
607_upper,2020-05-18,2020,upper,2020-05-18 14:59:00+00:00,2020-05-18 15:59:00-04:00,9331.220279581725,61.0,57.5,11.220279581724753,0.19513529707347396,cutoff,300
614_lower,2020-05-27,2020,lower,2020-05-27 14:46:00+00:00,2020-05-27 11:38:00-04:00,9202.02640409524,69.75,64.5,6.450000000000728,0.10000000000001127,LOCK,52
625_upper,2020-06-09,2020,upper,2020-06-09 14:45:00+00:00,2020-06-09 13:23:00-04:00,9943.600120332674,44.0,45.25,-45.25,-1.0,SL,158
638_lower,2020-06-29,2020,lower,2020-06-29 13:41:00+00:00,2020-06-29 10:13:00-04:00,9758.955832485262,74.25,61.75,74.25,1.2024291497975708,TP,32
637_upper,2020-07-02,2020,upper,2020-07-02 12:53:00+00:00,2020-07-02 11:44:00-04:00,10378.76301438694,60.0,53.75,5.375,0.1,LOCK,171
647_lower,2020-07-14,2020,lower,2020-07-14 12:51:00+00:00,2020-07-14 09:52:00-04:00,10556.529124282211,154.0,109.75,-109.75,-1.0,SL,61
645_lower,2020-07-14,2020,lower,2020-07-14 13:53:00+00:00,2020-07-14 10:54:00-04:00,10402.45834130706,166.25,119.0,166.25,1.3970588235294117,TP,61
652_upper,2020-07-20,2020,upper,2020-07-20 14:27:00+00:00,2020-07-20 12:10:00-04:00,10766.167459552898,43.5,47.5,-47.5,-1.0,SL,103
