level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
95_upper,2018-05-17,2018,upper,2018-05-17 14:57:00+00:00,2018-05-17 11:52:00-04:00,6960.568010688974,23.0,28.5,23.0,0.8070175438596491,TP,55
106_upper,2018-06-01,2018,upper,2018-06-01 13:55:00+00:00,2018-06-01 10:50:00-04:00,7034.913711385827,24.75,29.0,-29.0,-1.0,SL,55
112_upper,2018-06-11,2018,upper,2018-06-11 13:46:00+00:00,2018-06-11 10:41:00-04:00,7194.487916844135,22.5,25.75,22.5,0.8737864077669902,TP,55
111_upper,2018-06-13,2018,upper,2018-06-13 14:20:00+00:00,2018-06-13 14:06:00-04:00,7269.677208812118,19.0,24.25,19.0,0.7835051546391752,TP,226
117_lower,2018-06-18,2018,lower,2018-06-18 13:34:00+00:00,2018-06-18 09:48:00-04:00,7214.541889345101,23.75,27.25,23.75,0.8715596330275229,TP,14
118_upper,2018-06-20,2018,upper,2018-06-20 12:54:00+00:00,2018-06-20 12:03:00-04:00,7287.904347496284,34.75,35.75,-35.75,-1.0,SL,189
113_lower,2018-06-25,2018,lower,2018-06-25 13:39:00+00:00,2018-06-25 10:11:00-04:00,7127.38217917601,26.75,30.25,-30.25,-1.0,SL,32
135_upper,2018-07-12,2018,upper,2018-07-12 14:07:00+00:00,2018-07-12 11:57:00-04:00,7328.303579632185,24.25,29.75,-29.75,-1.0,SL,110
141_lower,2018-07-23,2018,lower,2018-07-23 13:40:00+00:00,2018-07-23 10:00:00-04:00,7317.598652863049,17.75,22.25,17.75,0.797752808988764,TP,20
140_upper,2018-07-24,2018,upper,2018-07-24 13:36:00+00:00,2018-07-24 11:06:00-04:00,7478.0641178731985,37.75,38.25,37.75,0.9869281045751634,TP,90
146_upper,2018-08-07,2018,upper,2018-08-07 13:35:00+00:00,2018-08-07 09:48:00-04:00,7482.682503501307,16.5,20.5,16.5,0.8048780487804879,TP,13
161_lower,2018-08-17,2018,lower,2018-08-17 12:08:00+00:00,2018-08-17 09:39:00-04:00,7360.173904777643,21.0,25.0,21.0,0.84,TP,91
157_upper,2018-08-24,2018,upper,2018-08-24 14:35:00+00:00,2018-08-24 15:59:00-04:00,7480.329347584688,18.5,24.25,-12.670652415312361,-0.5225011305283448,cutoff,324
156_upper,2018-08-27,2018,upper,2018-08-27 13:30:00+00:00,2018-08-27 10:20:00-04:00,7534.904976134861,21.0,24.25,-24.25,-1.0,SL,50
169_upper,2018-08-29,2018,upper,2018-08-29 14:41:00+00:00,2018-08-29 11:28:00-04:00,7634.351839522623,12.25,18.75,-18.75,-1.0,SL,47
171_lower,2018-09-04,2018,lower,2018-09-04 13:39:00+00:00,2018-09-04 09:42:00-04:00,7604.500703523443,12.0,17.75,-17.75,-1.0,SL,3
178_upper,2018-09-13,2018,upper,2018-09-13 13:32:00+00:00,2018-09-13 15:59:00-04:00,7547.622652900693,46.25,45.5,-16.12734709930737,-0.3544471889957664,cutoff,387
182_lower,2018-09-17,2018,lower,2018-09-17 13:36:00+00:00,2018-09-17 10:01:00-04:00,7544.14004620946,24.5,27.75,-27.75,-1.0,SL,25
