level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
115_upper,2018-06-14,2018,upper,2018-06-14 14:20:00+00:00,2018-06-14 11:00:00-04:00,7303.289655676041,24.5,30.25,24.5,0.8099173553719008,TP,40
121_lower,2018-06-22,2018,lower,2018-06-22 14:34:00+00:00,2018-06-22 12:16:00-04:00,7198.555087663368,42.0,44.25,42.0,0.9491525423728814,TP,102
124_upper,2018-07-06,2018,upper,2018-07-06 14:12:00+00:00,2018-07-06 11:35:00-04:00,7169.8256782714725,31.25,35.75,-35.75,-1.0,SL,83
154_lower,2018-08-10,2018,lower,2018-08-10 14:04:00+00:00,2018-08-10 10:10:00-04:00,7413.1515343948895,16.5,23.0,16.5,0.717391304347826,TP,6
157_lower,2018-08-15,2018,lower,2018-08-15 14:00:00+00:00,2018-08-15 10:05:00-04:00,7372.920652415312,23.5,30.25,-30.25,-1.0,SL,5
165_upper,2018-08-23,2018,upper,2018-08-23 13:42:00+00:00,2018-08-23 11:18:00-04:00,7452.447510363063,21.0,24.75,21.0,0.8484848484848485,TP,96
167_lower,2018-09-07,2018,lower,2018-09-07 13:00:00+00:00,2018-09-07 09:53:00-04:00,7401.824362995334,60.0,58.75,60.0,1.0212765957446808,TP,53
180_upper,2018-09-13,2018,upper,2018-09-13 13:43:00+00:00,2018-09-13 11:14:00-04:00,7571.28304460421,46.25,45.5,4.550000000000182,0.100000000000004,LOCK,91
184_upper,2018-09-20,2018,upper,2018-09-20 13:43:00+00:00,2018-09-20 15:59:00-04:00,7584.795092564204,30.0,32.75,-16.204907435795576,-0.4948063339174222,cutoff,376
194_lower,2018-10-04,2018,lower,2018-10-04 13:40:00+00:00,2018-10-04 10:16:00-04:00,7588.947492919474,22.0,26.75,-26.75,-1.0,SL,36
191_lower,2018-10-04,2018,lower,2018-10-04 14:20:00+00:00,2018-10-04 11:33:00-04:00,7560.755566578939,21.0,28.5,-28.5,-1.0,SL,73
