level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
78_upper,2018-04-27,2018,upper,2018-04-27 12:47:00+00:00,2018-04-27 09:36:00-04:00,6767.945052421435,46.25,42.25,46.25,1.0946745562130178,TP,49
92_upper,2018-05-14,2018,upper,2018-05-14 14:30:00+00:00,2018-05-14 11:40:00-04:00,7007.349699090812,15.75,22.0,15.75,0.7159090909090909,TP,70
117_lower,2018-06-18,2018,lower,2018-06-18 13:34:00+00:00,2018-06-18 09:48:00-04:00,7214.541889345101,23.75,27.25,23.75,0.8715596330275229,TP,14
140_upper,2018-07-24,2018,upper,2018-07-24 13:36:00+00:00,2018-07-24 11:06:00-04:00,7478.0641178731985,37.75,38.25,37.75,0.9869281045751634,TP,90
156_upper,2018-08-27,2018,upper,2018-08-27 13:30:00+00:00,2018-08-27 10:20:00-04:00,7534.904976134861,21.0,24.25,-24.25,-1.0,SL,50
555_lower,2020-03-09,2020,lower,2020-03-09 13:30:00+00:00,2020-03-09 09:34:00-04:00,7929.763238923582,49.25,36.0,-36.0,-1.0,SL,4
561_lower,2020-03-12,2020,lower,2020-03-12 13:30:00+00:00,2020-03-12 13:30:00+00:00,7504.25,51.75,37.0,-37.0,-1.0,SL,0
610_upper,2020-05-20,2020,upper,2020-05-20 13:30:00+00:00,2020-05-20 10:00:00-04:00,9425.837628444118,36.0,36.75,-36.75,-1.0,SL,30
628_upper,2020-06-19,2020,upper,2020-06-19 12:36:00+00:00,2020-06-19 11:20:00-04:00,10095.59396073106,40.5,40.25,40.5,1.0062111801242235,TP,164
638_upper,2020-07-01,2020,upper,2020-07-01 13:33:00+00:00,2020-07-01 09:37:00-04:00,10189.419167514738,33.5,36.75,33.5,0.9115646258503401,TP,4
636_upper,2020-07-02,2020,upper,2020-07-02 12:30:00+00:00,2020-07-02 09:34:00-04:00,10344.29260296773,60.0,53.75,-53.75,-1.0,SL,64
