level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
42_upper,2018-03-08,2018,upper,2018-03-08 14:08:00+00:00,2018-03-08 13:28:00-05:00,6967.241668711537,35.75,35.75,35.75,1.0,TP,260
49_upper,2018-03-13,2018,upper,2018-03-13 13:42:00+00:00,2018-03-13 10:18:00-04:00,7211.202029295153,25.0,30.5,3.050000000000182,0.10000000000000596,LOCK,36
93_lower,2018-05-15,2018,lower,2018-05-15 12:39:00+00:00,2018-05-15 09:32:00-04:00,6928.543047509258,21.5,26.75,-26.75,-1.0,SL,53
111_upper,2018-06-13,2018,upper,2018-06-13 14:20:00+00:00,2018-06-13 14:06:00-04:00,7269.677208812118,19.0,24.25,19.0,0.7835051546391752,TP,226
118_upper,2018-06-20,2018,upper,2018-06-20 12:54:00+00:00,2018-06-20 12:03:00-04:00,7287.904347496284,34.75,35.75,-35.75,-1.0,SL,189
113_lower,2018-06-25,2018,lower,2018-06-25 13:39:00+00:00,2018-06-25 10:11:00-04:00,7127.38217917601,26.75,30.25,-30.25,-1.0,SL,32
161_lower,2018-08-17,2018,lower,2018-08-17 12:08:00+00:00,2018-08-17 09:39:00-04:00,7360.173904777643,21.0,25.0,21.0,0.84,TP,91
171_lower,2018-09-04,2018,lower,2018-09-04 13:39:00+00:00,2018-09-04 09:42:00-04:00,7604.500703523443,12.0,17.75,-17.75,-1.0,SL,3
178_upper,2018-09-13,2018,upper,2018-09-13 13:32:00+00:00,2018-09-13 15:59:00-04:00,7547.622652900693,46.25,45.5,-16.12734709930737,-0.3544471889957664,cutoff,387
545_upper,2020-02-19,2020,upper,2020-02-19 14:36:00+00:00,2020-02-19 12:46:00-05:00,9706.908512159982,30.0,32.5,-32.5,-1.0,SL,190
582_upper,2020-04-14,2020,upper,2020-04-14 13:34:00+00:00,2020-04-14 09:50:00-04:00,8503.366634118818,69.0,59.25,-59.25,-1.0,SL,16
607_upper,2020-05-18,2020,upper,2020-05-18 14:59:00+00:00,2020-05-18 15:59:00-04:00,9331.220279581725,61.0,57.5,11.220279581724753,0.19513529707347396,cutoff,300
616_upper,2020-06-03,2020,upper,2020-06-03 14:01:00+00:00,2020-06-03 12:08:00-04:00,9702.493545767027,46.0,47.25,46.0,0.9735449735449735,TP,127
621_upper,2020-06-04,2020,upper,2020-06-04 13:50:00+00:00,2020-06-04 11:06:00-04:00,9728.37040825345,30.25,35.0,30.25,0.8642857142857143,TP,76
627_lower,2020-06-11,2020,lower,2020-06-11 12:22:00+00:00,2020-06-11 09:37:00-04:00,9906.19433490329,60.0,55.5,5.549999999999272,0.09999999999998689,LOCK,75
629_upper,2020-06-16,2020,upper,2020-06-16 12:57:00+00:00,2020-06-16 09:45:00-04:00,9998.480141994416,83.0,66.75,6.674999999999272,0.0999999999999891,LOCK,48
633_upper,2020-06-19,2020,upper,2020-06-19 13:28:00+00:00,2020-06-19 09:51:00-04:00,10112.11935459612,48.5,47.0,4.700000000000728,0.10000000000001548,LOCK,23
634_upper,2020-06-23,2020,upper,2020-06-23 14:42:00+00:00,2020-06-23 13:40:00-04:00,10230.51639084718,69.25,62.0,-62.0,-1.0,SL,178
637_upper,2020-07-02,2020,upper,2020-07-02 12:53:00+00:00,2020-07-02 11:44:00-04:00,10378.76301438694,60.0,53.75,5.375,0.1,LOCK,171
642_upper,2020-07-06,2020,upper,2020-07-06 14:00:00+00:00,2020-07-06 10:48:00-04:00,10530.716111433376,23.75,30.25,-30.25,-1.0,SL,48
652_lower,2020-07-24,2020,lower,2020-07-24 13:37:00+00:00,2020-07-24 10:54:00-04:00,10357.582540447102,108.5,84.25,108.5,1.2878338278931751,TP,77
656_upper,2020-08-03,2020,upper,2020-08-03 13:33:00+00:00,2020-08-03 15:59:00-04:00,11023.64486768893,58.25,52.25,-15.10513231106961,-0.28909344136018394,cutoff,386
671_upper,2020-08-13,2020,upper,2020-08-13 13:40:00+00:00,2020-08-13 10:29:00-04:00,11226.37510379692,76.0,63.75,6.375,0.1,LOCK,49
676_upper,2020-08-21,2020,upper,2020-08-21 14:55:00+00:00,2020-08-21 12:36:00-04:00,11549.90659303957,74.25,66.25,6.625,0.1,LOCK,101
694_lower,2020-09-17,2020,lower,2020-09-17 12:30:00+00:00,2020-09-17 09:13:00-04:00,10994.689272151754,109.25,87.0,-87.0,-1.0,SL,43
701_upper,2020-09-28,2020,upper,2020-09-28 12:06:00+00:00,2020-09-28 09:48:00-04:00,11360.491702084564,81.75,66.75,81.75,1.2247191011235956,TP,102
695_upper,2020-10-09,2020,upper,2020-10-09 13:35:00+00:00,2020-10-09 10:47:00-04:00,11618.987828672012,32.5,35.0,-35.0,-1.0,SL,72
746_upper,2020-11-27,2020,upper,2020-11-27 15:17:00+00:00,2020-11-27 10:31:00-05:00,12270.439816503806,25.75,31.0,-31.0,-1.0,SL,14
762_upper,2020-12-29,2020,upper,2020-12-29 14:30:00+00:00,2020-12-29 09:56:00-05:00,12901.412761652437,44.0,41.0,44.0,1.0731707317073171,TP,26
1302_lower,2023-01-25,2023,lower,2023-01-25 14:30:00+00:00,2023-01-25 09:54:00-05:00,11693.33517488565,47.5,46.25,-46.25,-1.0,SL,24
1302_upper,2023-01-26,2023,upper,2023-01-26 14:32:00+00:00,2023-01-26 09:56:00-05:00,12061.53982511435,106.25,82.5,106.25,1.2878787878787878,TP,24
1316_upper,2023-02-14,2023,upper,2023-02-14 13:29:00+00:00,2023-02-14 08:30:00-05:00,12614.653492198106,68.0,58.25,68.0,1.167381974248927,TP,1
1346_lower,2023-03-28,2023,lower,2023-03-28 13:33:00+00:00,2023-03-28 09:42:00-04:00,12736.870630244795,49.0,45.75,-45.75,-1.0,SL,9
1344_upper,2023-03-30,2023,upper,2023-03-30 14:00:00+00:00,2023-03-30 10:24:00-04:00,13081.25240379964,63.5,58.0,5.799999999999272,0.09999999999998746,LOCK,24
1369_upper,2023-05-10,2023,upper,2023-05-10 13:32:00+00:00,2023-05-10 09:40:00-04:00,13410.064913270078,44.0,48.0,44.0,0.9166666666666666,TP,8
