level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
30_upper,2018-02-14,2018,upper,2018-02-14 07:34:00+00:00,2018-02-14 08:30:00-05:00,6590.569710186437,28.75,31.5,28.75,0.9126984126984127,TP,356
46_upper,2018-03-08,2018,upper,2018-03-08 07:11:00+00:00,2018-03-08 15:59:00-05:00,6945.66025015068,35.25,34.75,-21.58974984931956,-0.6212877654480449,cutoff,828
48_lower,2018-03-19,2018,lower,2018-03-19 05:09:00+00:00,2018-03-19 01:29:00-04:00,6984.070799723797,16.75,21.0,16.75,0.7976190476190477,TP,20
103_lower,2018-05-29,2018,lower,2018-05-29 06:47:00+00:00,2018-05-29 03:04:00-04:00,6935.904766379892,15.0,21.75,15.0,0.6896551724137931,TP,17
110_upper,2018-06-07,2018,upper,2018-06-07 06:32:00+00:00,2018-06-07 07:43:00-04:00,7231.326699234774,21.75,25.5,21.75,0.8529411764705882,TP,311
131_upper,2018-07-06,2018,upper,2018-07-06 05:32:00+00:00,2018-07-06 08:36:00-04:00,7154.980786813723,50.75,51.0,5.100000000000364,0.10000000000000714,LOCK,424
183_upper,2018-09-21,2018,upper,2018-09-21 06:47:00+00:00,2018-09-21 09:27:00-04:00,7631.354115860666,34.75,35.0,3.5,0.1,LOCK,400
215_upper,2018-11-02,2018,upper,2018-11-02 05:04:00+00:00,2018-11-02 09:11:00-04:00,7089.567462295751,55.5,56.5,55.5,0.9823008849557522,TP,487
533_lower,2020-01-30,2020,lower,2020-01-30 07:06:00+00:00,2020-01-30 04:06:00-05:00,9012.488205660382,32.5,35.5,32.5,0.9154929577464789,TP,120
577_lower,2020-04-01,2020,lower,2020-04-01 05:49:00+00:00,2020-04-01 03:26:00-04:00,7578.254553993011,60.5,56.0,5.600000000000364,0.1000000000000065,LOCK,97
577_upper,2020-04-07,2020,upper,2020-04-07 06:58:00+00:00,2020-04-07 06:02:00-04:00,8151.870446006989,145.75,106.0,-106.0,-1.0,SL,184
591_upper,2020-04-27,2020,upper,2020-04-27 04:00:00+00:00,2020-04-27 14:49:00-04:00,8842.999663098304,71.25,60.0,6.0,0.1,LOCK,889
612_lower,2020-05-22,2020,lower,2020-05-22 05:29:00+00:00,2020-05-22 03:00:00-04:00,9267.835063848652,48.75,47.5,4.75,0.1,LOCK,91
619_upper,2020-06-02,2020,upper,2020-06-02 06:29:00+00:00,2020-06-02 05:27:00-04:00,9608.202720566169,43.0,42.25,-42.25,-1.0,SL,178
621_lower,2020-06-15,2020,lower,2020-06-15 05:36:00+00:00,2020-06-15 02:00:00-04:00,9460.75459174655,69.0,60.25,-60.25,-1.0,SL,24
620_lower,2020-06-15,2020,lower,2020-06-15 06:05:00+00:00,2020-06-15 04:55:00-04:00,9384.324041946536,103.5,86.0,103.5,1.2034883720930232,TP,170
654_lower,2020-07-24,2020,lower,2020-07-24 06:57:00+00:00,2020-07-24 09:38:00-04:00,10437.617993932472,120.0,87.75,-87.75,-1.0,SL,401
705_lower,2020-09-30,2020,lower,2020-09-30 06:10:00+00:00,2020-09-30 02:56:00-04:00,11169.921437132629,55.25,56.25,55.25,0.9822222222222222,TP,46
707_lower,2020-10-02,2020,lower,2020-10-02 05:30:00+00:00,2020-10-02 02:29:00-04:00,11332.60493006846,81.5,76.5,81.5,1.065359477124183,TP,59
709_upper,2020-10-08,2020,upper,2020-10-08 06:42:00+00:00,2020-10-08 10:24:00-04:00,11565.107239575818,60.5,54.5,60.5,1.110091743119266,TP,462
708_lower,2020-10-30,2020,lower,2020-10-30 05:45:00+00:00,2020-10-30 05:33:00-04:00,11084.857133183816,87.25,76.0,87.25,1.1480263157894737,TP,228
731_upper,2020-11-05,2020,upper,2020-11-05 07:26:00+00:00,2020-11-05 05:16:00-05:00,11991.199723329855,142.0,100.5,-100.5,-1.0,SL,170
1335_upper,2023-03-13,2023,upper,2023-03-13 06:12:00+00:00,2023-03-13 04:02:00-04:00,12213.8751113092,77.5,65.5,77.5,1.183206106870229,TP,110
1406_lower,2023-06-22,2023,lower,2023-06-22 06:13:00+00:00,2023-06-22 09:47:00-04:00,14975.540735129563,89.75,71.5,89.75,1.2552447552447552,TP,454
1481_lower,2023-10-04,2023,lower,2023-10-04 06:18:00+00:00,2023-10-04 06:24:00-04:00,14608.482636343826,105.0,83.0,105.0,1.2650602409638554,TP,246
2064_lower,2026-01-19,2026,lower,2026-01-19 07:10:00+00:00,2026-01-19 04:09:00-05:00,25353.252695582774,77.0,65.5,6.549999999999272,0.09999999999998889,LOCK,119
2073_upper,2026-01-27,2026,upper,2026-01-27 06:06:00+00:00,2026-01-27 09:53:00-05:00,26026.77634869439,129.75,91.75,9.174999999999272,0.09999999999999207,LOCK,527
2095_lower,2026-03-02,2026,lower,2026-03-02 06:48:00+00:00,2026-03-02 03:00:00-05:00,24588.439612813825,96.0,81.0,-81.0,-1.0,SL,72
2155_upper,2026-05-21,2026,upper,2026-05-21 04:59:00+00:00,2026-05-21 02:49:00-04:00,29420.86955887296,127.25,93.25,127.25,1.3646112600536193,TP,110
