level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
17_lower,2018-02-02,2018,lower,2018-02-02 09:21:00+00:00,2018-02-02 09:54:00-05:00,6880.975997086674,37.75,40.75,-40.75,-1.0,SL,333
56_lower,2018-03-22,2018,lower,2018-03-22 07:59:00+00:00,2018-03-22 08:42:00-04:00,6818.242298500356,33.25,35.75,-35.75,-1.0,SL,283
75_lower,2018-04-20,2018,lower,2018-04-20 07:30:00+00:00,2018-04-20 07:00:00-04:00,6754.992006121582,26.75,30.0,26.75,0.8916666666666667,TP,210
96_lower,2018-05-23,2018,lower,2018-05-23 07:24:00+00:00,2018-05-23 04:25:00-04:00,6862.149696078842,23.25,27.25,-27.25,-1.0,SL,61
96_upper,2018-05-24,2018,upper,2018-05-24 07:19:00+00:00,2018-05-24 09:49:00-04:00,6973.725303921158,41.5,41.25,41.5,1.006060606060606,TP,390
102_lower,2018-05-29,2018,lower,2018-05-29 08:32:00+00:00,2018-05-29 05:12:00-04:00,6899.922722627305,17.25,24.25,17.25,0.711340206185567,TP,40
110_lower,2018-06-08,2018,lower,2018-06-08 08:10:00+00:00,2018-06-08 09:30:00-04:00,7113.548300765226,36.25,39.0,36.25,0.9294871794871795,TP,320
118_lower,2018-06-19,2018,lower,2018-06-19 07:07:00+00:00,2018-06-19 07:29:00-04:00,7172.345652503716,36.0,39.25,3.925000000000182,0.10000000000000464,LOCK,262
193_lower,2018-10-02,2018,lower,2018-10-02 08:46:00+00:00,2018-10-02 09:31:00-04:00,7641.621028945046,27.25,30.75,27.25,0.8861788617886179,TP,285
214_upper,2018-10-31,2018,upper,2018-10-31 08:37:00+00:00,2018-10-31 09:30:00-04:00,6889.683844244571,49.5,46.75,-46.75,-1.0,SL,293
218_upper,2018-11-07,2018,upper,2018-11-07 08:20:00+00:00,2018-11-07 04:54:00-05:00,7081.0047610942565,34.5,35.75,-35.75,-1.0,SL,94
231_upper,2018-11-26,2018,upper,2018-11-26 08:15:00+00:00,2018-11-26 10:00:00-05:00,6623.8814122187305,34.5,36.75,-36.75,-1.0,SL,405
529_upper,2020-01-24,2020,upper,2020-01-24 08:07:00+00:00,2020-01-24 10:20:00-05:00,9274.55896358009,29.5,31.0,29.5,0.9516129032258065,TP,433
536_upper,2020-02-04,2020,upper,2020-02-04 08:23:00+00:00,2020-02-04 09:30:00-05:00,9218.804595713063,50.75,48.0,-48.0,-1.0,SL,367
537_lower,2020-02-24,2020,lower,2020-02-24 09:16:00+00:00,2020-02-24 08:50:00-05:00,9156.767105704166,82.0,71.25,7.125,0.1,LOCK,274
558_lower,2020-03-06,2020,lower,2020-03-06 09:37:00+00:00,2020-03-06 05:10:00-05:00,8518.953269957827,79.0,69.5,-69.5,-1.0,SL,33
568_upper,2020-03-20,2020,upper,2020-03-20 07:26:00+00:00,2020-03-20 04:03:00-04:00,7511.458736501807,118.25,91.0,-91.0,-1.0,SL,37
571_upper,2020-03-24,2020,upper,2020-03-24 08:07:00+00:00,2020-03-24 05:01:00-04:00,7322.838733246481,110.0,80.5,8.050000000000182,0.10000000000000225,LOCK,54
572_upper,2020-03-25,2020,upper,2020-03-25 07:59:00+00:00,2020-03-25 05:09:00-04:00,7646.30369503761,122.5,89.75,-89.75,-1.0,SL,70
600_upper,2020-05-05,2020,upper,2020-05-05 07:30:00+00:00,2020-05-05 04:58:00-04:00,8892.408305458119,61.75,55.25,61.75,1.1176470588235294,TP,88
608_upper,2020-05-15,2020,upper,2020-05-15 07:07:00+00:00,2020-05-15 06:34:00-04:00,9130.678190866349,60.0,52.75,60.0,1.1374407582938388,TP,207
615_upper,2020-06-02,2020,upper,2020-06-02 07:31:00+00:00,2020-06-02 05:47:00-04:00,9624.147499658488,39.0,40.5,-40.5,-1.0,SL,136
653_lower,2020-07-24,2020,lower,2020-07-24 07:14:00+00:00,2020-07-24 07:47:00-04:00,10405.520316001515,118.0,91.5,9.149999999999636,0.09999999999999602,LOCK,273
697_lower,2020-09-21,2020,lower,2020-09-21 08:48:00+00:00,2020-09-21 05:43:00-04:00,10727.425618727217,126.0,97.75,9.774999999999636,0.09999999999999627,LOCK,55
697_upper,2020-09-28,2020,upper,2020-09-28 08:10:00+00:00,2020-09-28 06:11:00-04:00,11249.324381272783,82.5,66.75,-66.75,-1.0,SL,121
717_upper,2020-11-05,2020,upper,2020-11-05 08:23:00+00:00,2020-11-05 15:59:00-05:00,12032.936790196214,162.0,110.0,-33.56320980378587,-0.30512008912532607,cutoff,756
735_upper,2020-11-12,2020,upper,2020-11-12 09:58:00+00:00,2020-11-12 09:37:00-05:00,11943.547030998565,75.0,64.0,6.399999999999636,0.09999999999999432,LOCK,279
761_upper,2020-12-18,2020,upper,2020-12-18 09:09:00+00:00,2020-12-18 05:25:00-05:00,12771.969398294714,28.5,32.5,28.5,0.8769230769230769,TP,76
1287_lower,2023-01-06,2023,lower,2023-01-06 09:35:00+00:00,2023-01-06 06:42:00-05:00,10779.425622787592,62.75,58.25,5.825000000000728,0.1000000000000125,LOCK,127
1312_lower,2023-02-10,2023,lower,2023-02-10 09:56:00+00:00,2023-02-10 10:42:00-05:00,12340.168862818882,97.25,78.5,7.850000000000364,0.10000000000000464,LOCK,346
1319_lower,2023-02-17,2023,lower,2023-02-17 08:36:00+00:00,2023-02-17 06:03:00-05:00,12344.34054521155,92.25,75.5,7.549999999999272,0.09999999999999036,LOCK,147
1321_lower,2023-02-21,2023,lower,2023-02-21 08:46:00+00:00,2023-02-21 03:51:00-05:00,12259.764318305486,21.75,28.25,-28.25,-1.0,SL,5
1371_upper,2023-05-11,2023,upper,2023-05-11 07:46:00+00:00,2023-05-11 08:16:00-04:00,13454.855520657637,65.0,57.75,5.774999999999636,0.0999999999999937,LOCK,270
1431_upper,2023-07-27,2023,upper,2023-07-27 08:09:00+00:00,2023-07-27 08:30:00-04:00,15778.833445787948,69.25,62.25,-62.25,-1.0,SL,261
1436_lower,2023-08-02,2023,lower,2023-08-02 08:02:00+00:00,2023-08-02 06:35:00-04:00,15614.468371465437,54.25,55.0,54.25,0.9863636363636363,TP,153
1430_lower,2023-08-03,2023,lower,2023-08-03 07:31:00+00:00,2023-08-03 08:33:00-04:00,15359.097887679556,102.25,82.0,8.200000000000728,0.10000000000000887,LOCK,302
1449_upper,2023-08-21,2023,upper,2023-08-21 08:24:00+00:00,2023-08-21 09:38:00-04:00,14823.580191280837,55.5,54.5,-54.5,-1.0,SL,314
1450_upper,2023-08-22,2023,upper,2023-08-22 07:44:00+00:00,2023-08-22 08:07:00-04:00,15046.702045487342,76.5,66.0,-66.0,-1.0,SL,263
1460_lower,2023-09-05,2023,lower,2023-09-05 08:12:00+00:00,2023-09-05 05:24:00-04:00,15439.378375806677,24.75,31.0,24.75,0.7983870967741935,TP,72
1473_lower,2023-09-25,2023,lower,2023-09-25 08:44:00+00:00,2023-09-25 05:02:00-04:00,14797.891152351334,46.25,47.75,46.25,0.9685863874345549,TP,18
1490_lower,2023-10-19,2023,lower,2023-10-19 07:46:00+00:00,2023-10-19 06:05:00-04:00,14977.196253654804,70.5,62.25,70.5,1.1325301204819278,TP,139
1483_lower,2023-10-23,2023,lower,2023-10-23 07:43:00+00:00,2023-10-23 05:30:00-04:00,14637.371414457424,56.25,52.0,-52.0,-1.0,SL,107
2067_lower,2026-01-19,2026,lower,2026-01-19 09:25:00+00:00,2026-01-19 09:35:00-05:00,25317.811823945234,82.5,69.75,-69.75,-1.0,SL,310
2059_lower,2026-01-20,2026,lower,2026-01-20 08:31:00+00:00,2026-01-20 04:26:00-05:00,25216.808747005507,86.0,76.25,-76.25,-1.0,SL,55
2093_lower,2026-03-03,2026,lower,2026-03-03 09:46:00+00:00,2026-03-03 08:31:00-05:00,24473.331852930038,207.75,139.75,13.974999999998545,0.09999999999998958,LOCK,225
2104_upper,2026-03-10,2026,upper,2026-03-10 08:08:00+00:00,2026-03-10 10:42:00-04:00,25119.94149499076,228.25,139.75,13.974999999998545,0.09999999999998958,LOCK,394
2112_lower,2026-03-19,2026,lower,2026-03-19 07:57:00+00:00,2026-03-19 07:20:00-04:00,24550.4725595392,155.0,110.0,11.0,0.1,LOCK,203
