level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
20_lower,2018-02-02,2018,lower,2018-02-02 10:14:00+00:00,2018-02-02 09:49:00-05:00,6858.1542886397965,49.25,49.75,4.975000000000364,0.10000000000000732,LOCK,275
34_lower,2018-02-20,2018,lower,2018-02-20 10:04:00+00:00,2018-02-20 08:44:00-05:00,6727.800168995409,23.0,29.0,23.0,0.7931034482758621,TP,220
208_lower,2018-10-23,2018,lower,2018-10-23 09:17:00+00:00,2018-10-23 10:02:00-04:00,7032.3496815496055,48.5,46.5,-46.5,-1.0,SL,285
211_lower,2018-10-26,2018,lower,2018-10-26 09:25:00+00:00,2018-10-26 09:36:00-04:00,6762.610909414232,76.0,65.75,76.0,1.155893536121673,TP,251
242_upper,2018-12-11,2018,upper,2018-12-11 10:53:00+00:00,2018-12-11 08:26:00-05:00,6741.269055832232,44.0,44.5,-44.5,-1.0,SL,153
514_lower,2020-01-03,2020,lower,2020-01-03 10:56:00+00:00,2020-01-03 08:20:00-05:00,8743.715344071625,56.25,52.75,56.25,1.066350710900474,TP,144
523_lower,2020-01-27,2020,lower,2020-01-27 10:03:00+00:00,2020-01-27 09:30:00-05:00,8991.946156459002,66.25,60.0,-60.0,-1.0,SL,267
570_upper,2020-03-25,2020,upper,2020-03-25 09:07:00+00:00,2020-03-25 06:21:00-04:00,7726.54366907242,113.25,86.75,113.25,1.3054755043227666,TP,74
576_upper,2020-03-31,2020,upper,2020-03-31 09:22:00+00:00,2020-03-31 07:46:00-04:00,7949.624439029813,107.75,79.5,107.75,1.3553459119496856,TP,144
593_upper,2020-04-28,2020,upper,2020-04-28 09:20:00+00:00,2020-04-28 06:00:00-04:00,8898.367238360446,43.5,42.25,-42.25,-1.0,SL,40
704_upper,2020-10-01,2020,upper,2020-10-01 09:41:00+00:00,2020-10-01 11:24:00-04:00,11532.33747309487,88.0,72.25,7.225000000000364,0.10000000000000503,LOCK,343
762_lower,2020-12-21,2020,lower,2020-12-21 10:07:00+00:00,2020-12-21 05:47:00-05:00,12570.712238347563,69.0,65.75,-65.75,-1.0,SL,40
1310_lower,2023-02-10,2023,lower,2023-02-10 10:02:00+00:00,2023-02-10 09:40:00-05:00,12320.31182394092,107.25,87.5,8.75,0.1,LOCK,278
1355_upper,2023-04-11,2023,upper,2023-04-11 09:02:00+00:00,2023-04-11 07:14:00-04:00,13195.157886365982,54.0,48.5,54.0,1.1134020618556701,TP,132
1390_upper,2023-05-30,2023,upper,2023-05-30 09:20:00+00:00,2023-05-30 08:07:00-04:00,14500.603669049202,36.75,40.5,-40.5,-1.0,SL,167
1392_upper,2023-06-02,2023,upper,2023-06-02 09:14:00+00:00,2023-06-02 08:34:00-04:00,14550.866559532677,72.5,61.25,6.125,0.1,LOCK,200
1494_lower,2023-10-23,2023,lower,2023-10-23 09:05:00+00:00,2023-10-23 05:33:00-04:00,14609.982422914663,66.75,59.25,-59.25,-1.0,SL,28
1484_lower,2023-10-23,2023,lower,2023-10-23 09:48:00+00:00,2023-10-23 07:38:00-04:00,14524.195341913888,66.75,60.75,66.75,1.0987654320987654,TP,110
2090_lower,2026-03-03,2026,lower,2026-03-03 10:08:00+00:00,2026-03-03 09:37:00-05:00,24434.03288107502,196.25,136.0,196.25,1.443014705882353,TP,269
2110_lower,2026-03-19,2026,lower,2026-03-19 09:25:00+00:00,2026-03-19 07:35:00-04:00,24504.40746154799,170.75,118.5,11.849999999998545,0.09999999999998772,LOCK,130
