level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
20_lower,2018-02-02,2018,lower,2018-02-02 10:14:00+00:00,2018-02-02 09:49:00-05:00,6858.1542886397965,49.25,49.75,4.975000000000364,0.10000000000000732,LOCK,275
34_lower,2018-02-20,2018,lower,2018-02-20 10:04:00+00:00,2018-02-20 08:44:00-05:00,6727.800168995409,23.0,29.0,23.0,0.7931034482758621,TP,220
46_lower,2018-03-22,2018,lower,2018-03-22 10:50:00+00:00,2018-03-22 10:57:00-04:00,6796.46474984932,46.0,46.0,-46.0,-1.0,SL,247
73_upper,2018-04-17,2018,upper,2018-04-17 10:13:00+00:00,2018-04-17 10:00:00-04:00,6747.283059462454,20.5,24.75,-24.75,-1.0,SL,227
156_lower,2018-08-10,2018,lower,2018-08-10 10:04:00+00:00,2018-08-10 09:44:00-04:00,7424.720023865139,19.75,26.0,19.75,0.7596153846153846,TP,220
173_lower,2018-09-04,2018,lower,2018-09-04 11:41:00+00:00,2018-09-04 09:31:00-04:00,7633.061168833607,11.5,18.25,11.5,0.6301369863013698,TP,110
208_lower,2018-10-23,2018,lower,2018-10-23 09:17:00+00:00,2018-10-23 10:02:00-04:00,7032.3496815496055,48.5,46.5,-46.5,-1.0,SL,285
211_lower,2018-10-26,2018,lower,2018-10-26 09:25:00+00:00,2018-10-26 09:36:00-04:00,6762.610909414232,76.0,65.75,76.0,1.155893536121673,TP,251
221_lower,2018-11-09,2018,lower,2018-11-09 11:37:00+00:00,2018-11-09 09:29:00-05:00,7094.461029890275,26.5,29.25,2.925000000000182,0.10000000000000622,LOCK,172
242_upper,2018-12-11,2018,upper,2018-12-11 10:53:00+00:00,2018-12-11 08:26:00-05:00,6741.269055832232,44.0,44.5,-44.5,-1.0,SL,153
514_lower,2020-01-03,2020,lower,2020-01-03 10:56:00+00:00,2020-01-03 08:20:00-05:00,8743.715344071625,56.25,52.75,56.25,1.066350710900474,TP,144
523_lower,2020-01-27,2020,lower,2020-01-27 10:03:00+00:00,2020-01-27 09:30:00-05:00,8991.946156459002,66.25,60.0,-60.0,-1.0,SL,267
533_upper,2020-02-04,2020,upper,2020-02-04 12:40:00+00:00,2020-02-04 11:21:00-05:00,9252.011794339618,54.25,51.0,-51.0,-1.0,SL,221
547_upper,2020-02-19,2020,upper,2020-02-19 12:58:00+00:00,2020-02-19 09:53:00-05:00,9684.604784625351,28.25,29.75,-29.75,-1.0,SL,115
570_upper,2020-03-25,2020,upper,2020-03-25 09:07:00+00:00,2020-03-25 06:21:00-04:00,7726.54366907242,113.25,86.75,113.25,1.3054755043227666,TP,74
576_upper,2020-03-31,2020,upper,2020-03-31 09:22:00+00:00,2020-03-31 07:46:00-04:00,7949.624439029813,107.75,79.5,107.75,1.3553459119496856,TP,144
