level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
20_lower,2018-02-02,2018,lower,2018-02-02 10:14:00+00:00,2018-02-02 09:49:00-05:00,6858.1542886397965,49.25,49.75,4.975000000000364,0.10000000000000732,LOCK,275
34_lower,2018-02-20,2018,lower,2018-02-20 10:04:00+00:00,2018-02-20 08:44:00-05:00,6727.800168995409,23.0,29.0,23.0,0.7931034482758621,TP,220
35_lower,2018-03-02,2018,lower,2018-03-02 13:01:00+00:00,2018-03-02 11:50:00-05:00,6674.644394150568,74.75,67.25,74.75,1.1115241635687731,TP,229
42_upper,2018-03-08,2018,upper,2018-03-08 14:08:00+00:00,2018-03-08 13:28:00-05:00,6967.241668711537,35.75,35.75,35.75,1.0,TP,260
40_upper,2018-03-09,2018,upper,2018-03-09 13:36:00+00:00,2018-03-09 08:42:00-05:00,7057.28680551017,15.5,20.5,15.5,0.7560975609756098,TP,6
46_lower,2018-03-22,2018,lower,2018-03-22 10:50:00+00:00,2018-03-22 10:57:00-04:00,6796.46474984932,46.0,46.0,-46.0,-1.0,SL,247
73_upper,2018-04-17,2018,upper,2018-04-17 10:13:00+00:00,2018-04-17 10:00:00-04:00,6747.283059462454,20.5,24.75,-24.75,-1.0,SL,227
93_lower,2018-05-15,2018,lower,2018-05-15 12:39:00+00:00,2018-05-15 09:32:00-04:00,6928.543047509258,21.5,26.75,-26.75,-1.0,SL,53
118_upper,2018-06-20,2018,upper,2018-06-20 12:54:00+00:00,2018-06-20 12:03:00-04:00,7287.904347496284,34.75,35.75,-35.75,-1.0,SL,189
156_lower,2018-08-10,2018,lower,2018-08-10 10:04:00+00:00,2018-08-10 09:44:00-04:00,7424.720023865139,19.75,26.0,19.75,0.7596153846153846,TP,220
161_lower,2018-08-17,2018,lower,2018-08-17 12:08:00+00:00,2018-08-17 09:39:00-04:00,7360.173904777643,21.0,25.0,21.0,0.84,TP,91
173_lower,2018-09-04,2018,lower,2018-09-04 11:41:00+00:00,2018-09-04 09:31:00-04:00,7633.061168833607,11.5,18.25,11.5,0.6301369863013698,TP,110
167_lower,2018-09-07,2018,lower,2018-09-07 13:00:00+00:00,2018-09-07 09:53:00-04:00,7401.824362995334,60.0,58.75,60.0,1.0212765957446808,TP,53
208_lower,2018-10-23,2018,lower,2018-10-23 09:17:00+00:00,2018-10-23 10:02:00-04:00,7032.3496815496055,48.5,46.5,-46.5,-1.0,SL,285
211_lower,2018-10-26,2018,lower,2018-10-26 09:25:00+00:00,2018-10-26 09:36:00-04:00,6762.610909414232,76.0,65.75,76.0,1.155893536121673,TP,251
221_lower,2018-11-09,2018,lower,2018-11-09 11:37:00+00:00,2018-11-09 09:29:00-05:00,7094.461029890275,26.5,29.25,2.925000000000182,0.10000000000000622,LOCK,172
