candidate,cutoff_minutes,skip_counts,n_trades,net_pts,total_R,PF,avg_R,max_dd_pts,max_dd_R,true_tp_win_rate,lower_n,lower_net_pts,upper_n,upper_net_pts,ex_2026_net_pts,ex_2026_PF,ex_2026_total_R,yearly_json
best_contig_EFGHI_cutoff1260,1260,"{""blocked_reserved_year"": 1840, ""blocked_window"": 742, ""blocked_regime"": 73, ""blocked_at_or_after_cutoff"": 122, ""position_open"": 79, ""same_bar_reentry"": 8}",250,1803.78,19.1968,1.3691,0.0768,-450.03,-10.2919,0.42,123,1012.09,127,791.68,928.77,1.2237,9.2506,"{""2018"": {""n"": 67, ""net_pts"": 17.03, ""PF"": 1.0154, ""avg_R"": -0.0036, ""total_R"": -0.2397}, ""2020"": {""n"": 59, ""net_pts"": 190.16, ""PF"": 1.1309, ""avg_R"": -0.0524, ""total_R"": -3.0936}, ""2023"": {""n"": 85, ""net_pts"": 721.59, ""PF"": 1.4523, ""avg_R"": 0.148, ""total_R"": 12.5838}, ""2026"": {""n"": 39, ""net_pts"": 875.01, ""PF"": 2.19, ""avg_R"": 0.255, ""total_R"": 9.9462}}"
best_contig_EFGHI_cutoff1319,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 864, ""blocked_regime"": 73, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 79, ""same_bar_reentry"": 8}",250,1929.89,21.4357,1.4004,0.0857,-429.78,-9.6054,0.424,123,1037.46,127,892.43,1037.38,1.2529,11.3136,"{""2018"": {""n"": 67, ""net_pts"": 48.28, ""PF"": 1.0441, ""avg_R"": 0.0037, ""total_R"": 0.247}, ""2020"": {""n"": 59, ""net_pts"": 240.91, ""PF"": 1.1707, ""avg_R"": -0.0335, ""total_R"": -1.976}, ""2023"": {""n"": 85, ""net_pts"": 748.2, ""PF"": 1.469, ""avg_R"": 0.1534, ""total_R"": 13.0427}, ""2026"": {""n"": 39, ""net_pts"": 892.51, ""PF"": 2.2434, ""avg_R"": 0.2595, ""total_R"": 10.1221}}"
best_broken_london_or_ny_cutoff1260,1260,"{""blocked_reserved_year"": 1840, ""blocked_window"": 706, ""blocked_regime"": 88, ""blocked_at_or_after_cutoff"": 122, ""position_open"": 90, ""same_bar_reentry"": 7}",261,1320.2,14.124,1.2463,0.0541,-657.02,-14.9337,0.4138,128,1203.04,133,117.15,1049.41,1.2297,11.3903,"{""2018"": {""n"": 71, ""net_pts"": 34.96, ""PF"": 1.0299, ""avg_R"": -0.021, ""total_R"": -1.4878}, ""2020"": {""n"": 71, ""net_pts"": 145.64, ""PF"": 1.0782, ""avg_R"": -0.0137, ""total_R"": -0.9692}, ""2023"": {""n"": 85, ""net_pts"": 868.81, ""PF"": 1.5655, ""avg_R"": 0.1629, ""total_R"": 13.8473}, ""2026"": {""n"": 34, ""net_pts"": 270.79, ""PF"": 1.3418, ""avg_R"": 0.0804, ""total_R"": 2.7337}}"
best_broken_london_or_ny_cutoff1319,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 828, ""blocked_regime"": 88, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 90, ""same_bar_reentry"": 7}",261,1432.06,15.9249,1.2698,0.061,-650.77,-14.7456,0.4176,128,1228.41,133,203.65,1143.78,1.2523,13.0154,"{""2018"": {""n"": 71, ""net_pts"": 65.96, ""PF"": 1.0568, ""avg_R"": -0.0142, ""total_R"": -1.0084}, ""2020"": {""n"": 71, ""net_pts"": 182.39, ""PF"": 1.0994, ""avg_R"": -0.004, ""total_R"": -0.2825}, ""2023"": {""n"": 85, ""net_pts"": 895.43, ""PF"": 1.5829, ""avg_R"": 0.1683, ""total_R"": 14.3062}, ""2026"": {""n"": 34, ""net_pts"": 288.29, ""PF"": 1.3721, ""avg_R"": 0.0856, ""total_R"": 2.9095}}"
control_08_11_GHI_cutoff1260,1260,"{""blocked_reserved_year"": 1840, ""blocked_window"": 810, ""blocked_regime"": 57, ""blocked_at_or_after_cutoff"": 122, ""position_open"": 65, ""same_bar_reentry"": 6}",214,1587.01,18.5698,1.3777,0.0868,-393.44,-9.3547,0.4346,103,772.44,111,814.57,949.5,1.267,10.5882,"{""2018"": {""n"": 58, ""net_pts"": 45.55, ""PF"": 1.0484, ""avg_R"": 0.0055, ""total_R"": 0.3216}, ""2020"": {""n"": 49, ""net_pts"": 226.29, ""PF"": 1.1901, ""avg_R"": -0.0174, ""total_R"": -0.8534}, ""2023"": {""n"": 74, ""net_pts"": 677.66, ""PF"": 1.4759, ""avg_R"": 0.1503, ""total_R"": 11.12}, ""2026"": {""n"": 33, ""net_pts"": 637.51, ""PF"": 1.9864, ""avg_R"": 0.2419, ""total_R"": 7.9817}}"
control_08_11_GHI_cutoff1319,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 57, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 65, ""same_bar_reentry"": 6}",214,1699.13,20.378,1.4095,0.0952,-387.19,-9.1665,0.4393,103,797.81,111,901.32,1044.12,1.2966,12.2204,"{""2018"": {""n"": 58, ""net_pts"": 76.8, ""PF"": 1.0822, ""avg_R"": 0.0139, ""total_R"": 0.8082}, ""2020"": {""n"": 49, ""net_pts"": 263.04, ""PF"": 1.2262, ""avg_R"": -0.0034, ""total_R"": -0.1667}, ""2023"": {""n"": 74, ""net_pts"": 704.28, ""PF"": 1.4946, ""avg_R"": 0.1565, ""total_R"": 11.5789}, ""2026"": {""n"": 33, ""net_pts"": 655.01, ""PF"": 2.0417, ""avg_R"": 0.2472, ""total_R"": 8.1575}}"
old_19_11_cutoff1260,1260,"{""blocked_reserved_year"": 1840, ""blocked_window"": 433, ""blocked_regime"": 192, ""blocked_at_or_after_cutoff"": 122, ""position_open"": 138, ""same_bar_reentry"": 14}",375,1356.09,16.9727,1.1651,0.0453,-886.54,-18.0434,0.3947,180,1111.62,195,244.47,434.13,1.0664,5.1044,"{""2018"": {""n"": 96, ""net_pts"": -61.16, ""PF"": 0.9609, ""avg_R"": -0.0336, ""total_R"": -3.2213}, ""2020"": {""n"": 113, ""net_pts"": -492.64, ""PF"": 0.842, ""avg_R"": -0.069, ""total_R"": -7.8026}, ""2023"": {""n"": 105, ""net_pts"": 987.94, ""PF"": 1.5314, ""avg_R"": 0.1536, ""total_R"": 16.1284}, ""2026"": {""n"": 61, ""net_pts"": 921.96, ""PF"": 1.5507, ""avg_R"": 0.1946, ""total_R"": 11.8683}}"
old_19_11_cutoff1319,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 555, ""blocked_regime"": 192, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 138, ""same_bar_reentry"": 14}",375,1508.01,19.696,1.1851,0.0525,-803.48,-16.2462,0.4,180,1136.98,195,371.03,568.55,1.0876,7.6518,"{""2018"": {""n"": 96, ""net_pts"": -30.16, ""PF"": 0.9806, ""avg_R"": -0.0286, ""total_R"": -2.7419}, ""2020"": {""n"": 113, ""net_pts"": -415.84, ""PF"": 0.8648, ""avg_R"": -0.0548, ""total_R"": -6.1935}, ""2023"": {""n"": 105, ""net_pts"": 1014.55, ""PF"": 1.5458, ""avg_R"": 0.158, ""total_R"": 16.5872}, ""2026"": {""n"": 61, ""net_pts"": 939.46, ""PF"": 1.5671, ""avg_R"": 0.1974, ""total_R"": 12.0442}}"
best_PF_HI_0900_1100_cutoff1260,1260,"{""blocked_reserved_year"": 1840, ""blocked_window"": 870, ""blocked_regime"": 32, ""blocked_at_or_after_cutoff"": 122, ""position_open"": 56, ""same_bar_reentry"": 5}",189,1475.31,14.7706,1.398,0.0782,-364.44,-9.866,0.4339,90,978.37,99,496.94,1104.03,1.3608,10.437,"{""2018"": {""n"": 52, ""net_pts"": 61.8, ""PF"": 1.0741, ""avg_R"": -0.0181, ""total_R"": -0.9406}, ""2020"": {""n"": 45, ""net_pts"": 439.32, ""PF"": 1.4423, ""avg_R"": 0.0207, ""total_R"": 0.933}, ""2023"": {""n"": 64, ""net_pts"": 602.91, ""PF"": 1.4891, ""avg_R"": 0.1632, ""total_R"": 10.4446}, ""2026"": {""n"": 28, ""net_pts"": 371.29, ""PF"": 1.5745, ""avg_R"": 0.1548, ""total_R"": 4.3337}}"
best_PF_HI_0900_1100_cutoff1319,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 992, ""blocked_regime"": 32, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 56, ""same_bar_reentry"": 5}",189,1587.43,16.5788,1.4344,0.0877,-358.19,-9.6779,0.4392,90,1003.73,99,583.69,1198.64,1.3962,12.0692,"{""2018"": {""n"": 52, ""net_pts"": 93.05, ""PF"": 1.1126, ""avg_R"": -0.0087, ""total_R"": -0.4539}, ""2020"": {""n"": 45, ""net_pts"": 476.07, ""PF"": 1.4928, ""avg_R"": 0.036, ""total_R"": 1.6197}, ""2023"": {""n"": 64, ""net_pts"": 629.53, ""PF"": 1.5107, ""avg_R"": 0.1704, ""total_R"": 10.9034}, ""2026"": {""n"": 28, ""net_pts"": 388.79, ""PF"": 1.6183, ""avg_R"": 0.1611, ""total_R"": 4.5095}}"
