level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,anchor,cap,v_score,exit_reason,pnl
30_upper,2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,2018-02-14 08:30:00-05:00,6590.569710186437,6578.569710186437,8.0,12.0,0.010706638115631691,TP,12.0
58_upper,2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,2018-03-26 21:20:00-04:00,6796.0404081907745,6820.4154081907745,16.25,24.375,0.012295081967213115,SL,-24.375
110_lower,2018-06-08,2018,lower,2018-06-08 04:10:00-04:00,2018-06-08 05:03:00-04:00,7113.548300765226,7113.548300765226,27.25,40.875,0.010669170365312394,BE,0.0
116_lower,2018-06-19,2018,lower,2018-06-18 21:55:00-04:00,2018-06-19 02:00:00-04:00,7207.821104982877,7187.946104982877,13.25,19.875,0.010749113475177305,SL,-19.875
131_upper,2018-07-06,2018,upper,2018-07-06 01:32:00-04:00,2018-07-06 09:40:00-04:00,7154.980786813723,7154.980786813723,37.5,56.25,0.011351636747624076,BE,-0.0
244_lower,2018-12-14,2018,lower,2018-12-13 21:07:00-05:00,2018-12-14 00:49:00-05:00,6708.373377780335,6708.373377780335,46.25,69.375,0.010700389105058366,BE,0.0
444_upper,2019-09-24,2019,upper,2019-09-23 19:02:00-04:00,2019-09-23 19:03:00-04:00,7904.190003267094,7891.440003267094,8.5,12.75,0.013452380952380952,TP,12.75
568_upper,2020-03-20,2020,upper,2020-03-20 03:26:00-04:00,2020-03-20 09:44:00-04:00,7511.458736501807,7311.458736501807,169.5,200.0,0.020571544385893797,TP,200.0
571_upper,2020-03-24,2020,upper,2020-03-24 04:07:00-04:00,2020-03-24 05:12:00-04:00,7322.838733246481,7322.838733246481,60.5,90.75,0.015794436586515793,BE,-0.0
569_upper,2020-03-25,2020,upper,2020-03-25 04:29:00-04:00,2020-03-25 06:53:00-04:00,7668.104140993251,7494.479140993251,115.75,173.625,0.012763371150729336,TP,173.625
575_upper,2020-03-31,2020,upper,2020-03-30 20:01:00-04:00,2020-03-30 20:48:00-04:00,7888.718408387388,7888.718408387388,31.0,46.5,0.02577319587628866,BE,-0.0
573_upper,2020-03-31,2020,upper,2020-03-30 21:02:00-04:00,2020-03-30 21:50:00-04:00,7909.778477294267,7909.778477294267,29.0,43.5,0.013109978150036417,BE,-0.0
576_upper,2020-03-31,2020,upper,2020-03-31 05:22:00-04:00,2020-03-31 06:21:00-04:00,7949.624439029813,7893.374439029813,37.5,56.25,0.011389096340552652,TP,56.25
577_lower,2020-04-01,2020,lower,2020-04-01 01:49:00-04:00,2020-04-01 10:16:00-04:00,7578.254553993011,7635.254553993011,38.0,57.0,0.01705702647657841,TP,57.0
578_upper,2020-04-06,2020,upper,2020-04-05 20:31:00-04:00,2020-04-06 01:41:00-04:00,7776.1441766463295,7824.8941766463295,32.5,48.75,0.011161991986262164,SL,-48.75
577_upper,2020-04-07,2020,upper,2020-04-07 02:58:00-04:00,2020-04-07 06:02:00-04:00,8151.870446006989,8260.62044600699,72.5,108.75,0.012946754194018964,SL,-108.75
589_lower,2020-04-21,2020,lower,2020-04-20 22:38:00-04:00,2020-04-21 03:04:00-04:00,8627.887119112991,8702.512119112991,49.75,74.625,0.012502232541525273,TP,74.625
591_upper,2020-04-27,2020,upper,2020-04-27 00:00:00-04:00,2020-04-27 00:32:00-04:00,8842.999663098304,8873.749663098304,20.5,30.75,0.013869625520110958,SL,-30.75
593_upper,2020-04-28,2020,upper,2020-04-28 05:20:00-04:00,2020-04-28 05:50:00-04:00,8898.367238360446,8930.992238360446,21.75,32.625,0.011920827710301394,SL,-32.625
